"TreeFarm","StandNo","SubPlot","Owner","V1","V2","V3","Vmax","DW","JulianDate","AirTemp"
"SP","12605",5,"ODF",0,0,0,0,6,138,14.5
"SP","12605",6,"ODF",0,0,0,0,1,138,14
"SP","12605",7,"ODF",0,0,0,0,2,138,16
"SP","12638",1,"ODF",0,0,0,0,8,130,5
"SP","12638",2,"ODF",0,0,0,0,3,130,6
"SP","12638",3,"ODF",0,0,0,0,0,130,7
"SP","12638",4,"ODF",0,0,0,0,3,130,8
"SP","12638",5,"ODF",0,0,0,0,6,130,8
"SP","12638",6,"ODF",0,0,0,0,2,130,8.5
"SP","12638",7,"ODF",0,0,0,0,2,130,9
"SP","20031",1,"WY",0,0,0,0,7,133,19
"SP","20031",2,"WY",0,0,0,0,3,133,21
"SP","20031",3,"WY",0,0,0,0,2,133,24
"SP","20031",4,"WY",0,0,0,0,6,133,25.5
"SP","20031",5,"WY",0,0,0,0,3,133,23
"SP","20031",6,"WY",0,0,0,0,2,133,25
"SP","20031",7,"WY",0,0,0,0,6,133,26.5
"SP","20039",1,"WY",0,0,0,0,7,126,13.5
"SP","20039",2,"WY",0,0,0,0,4,126,13
"SP","20039",3,"WY",0,0,0,0,2,126,12
"SP","20039",4,"WY",0,0,0,0,4,126,12
"SP","20039",5,"WY",0,0,0,0,3,126,13
"SP","20039",6,"WY",0,0,0,0,4,126,12
"SP","20039",7,"WY",0,0,0,0,2,126,12
"SP","20053",1,"WY",0,0,0,0,5,126,7.5
"SP","20053",2,"WY",0,0,0,0,4,126,7.5
"SP","20053",3,"WY",0,0,0,0,4,126,7
"SP","20053",4,"WY",0,0,2,2,3,126,7
"SP","20053",5,"WY",1,0,0,1,7,126,7.5
"SP","20053",6,"WY",0,0,0,0,7,126,8
"SP","20053",7,"WY",0,0,0,0,7,126,8
"SP","20088",1,"WY",0,0,0,0,2,116,9
"SP","20088",2,"WY",0,0,0,0,3,116,5
"SP","20088",3,"WY",0,1,0,1,3,116,10
"SP","20088",4,"WY",0,0,0,0,2,116,7.5
"SP","20088",5,"WY",0,0,0,0,3,116,7
"SP","20088",6,"WY",0,0,0,0,5,116,8.5
"SP","20088",7,"WY",0,0,0,0,4,116,11
"SP","20090",1,"WY",0,0,0,0,2,154,13.5
"SP","20090",2,"WY",0,0,0,0,4,154,13
"SP","20090",3,"WY",0,0,0,0,7,154,15.5
"SP","20090",4,"WY",0,0,0,0,2,154,15.5
"SP","20090",5,"WY",0,0,0,0,0,154,16
"SP","20090",6,"WY",0,0,0,0,1,154,18.5
"SP","20090",7,"WY",0,0,0,0,4,154,21
"SP","20194",1,"WY",0,0,0,0,3,118,5
"SP","20194",2,"WY",0,0,0,0,2,118,6
"SP","20194",3,"WY",0,0,0,0,0,118,5.5
"SP","20194",4,"WY",0,0,0,0,5,118,5.5
"SP","20194",5,"WY",0,0,0,0,1,118,6
"SP","20194",6,"WY",0,1,0,1,3,118,5.5
"SP","20194",7,"WY",0,0,0,0,3,118,5
"SP","20232",1,"WY",0,0,0,0,2,172,24
"SP","20232",2,"WY",0,0,0,0,8,172,20
"SP","20232",3,"WY",0,0,0,0,3,172,23
"SP","20232",4,"WY",0,0,0,0,1,172,23.5
"SP","20232",5,"WY",0,0,0,0,3,172,26
"SP","20232",6,"WY",0,0,0,0,3,172,24
"SP","20232",7,"WY",0,0,0,0,4,172,25
"SP","20236",1,"WY",0,0,0,0,0,159,20
"SP","20236",2,"WY",0,0,0,0,1,159,20.5
"SP","20236",3,"WY",1,0,0,1,9,159,21
"SP","20236",4,"WY",0,0,0,0,4,159,22
"SP","20236",5,"WY",0,0,0,0,3,159,22.5
"SP","20236",6,"WY",0,0,0,0,1,159,23
"SP","20236",7,"WY",0,0,0,0,6,159,23
"SP","20237",1,"WY",0,0,0,0,2,139,11.5
"SP","20237",2,"WY",0,0,0,0,1,139,12
"SP","20237",3,"WY",0,0,0,0,3,139,13
"SP","20237",4,"WY",0,0,1,1,6,139,14.5
"SP","20237",5,"WY",0,0,0,0,6,139,14.5
"SP","20237",6,"WY",0,0,0,0,10,139,14
"SP","20237",7,"WY",0,0,0,0,10,139,14.5
"SP","20281",1,"WY",0,0,0,0,3,167,9.5
"SP","20281",2,"WY",0,0,0,0,3,167,12
"SP","20281",3,"WY",0,0,0,0,2,167,12.5
"SP","20281",4,"WY",0,0,0,0,2,167,10
"SP","20281",5,"WY",0,0,0,0,2,167,14
"SP","20281",6,"WY",0,0,0,0,1,167,15
"SP","20281",7,"WY",0,2,0,2,1,167,13
"SP","20283",1,"WY",1,0,0,1,3,147,8
"SP","20283",2,"WY",0,0,0,0,3,147,8.5
"SP","20283",3,"WY",0,0,0,0,12,147,10
"SP","20283",4,"WY",1,0,0,1,4,147,10
"SP","20283",5,"WY",0,0,1,1,12,147,11
"SP","20283",6,"WY",0,0,0,0,7,147,11
"SP","20283",7,"WY",0,0,0,0,0,147,11
"SP","20288",1,"WY",0,0,0,0,0,140,12
"SP","20288",2,"WY",0,0,0,0,4,140,12
"SP","20288",3,"WY",0,0,0,0,4,140,12
"SP","20288",4,"WY",0,0,0,0,2,140,13
"SP","20288",5,"WY",0,0,0,0,3,140,11
"SP","20288",6,"WY",0,0,0,0,1,140,11
"SP","20288",7,"WY",0,0,0,0,2,140,11
"SP","20291",1,"WY",0,0,0,0,2,123,18
"SP","20291",2,"WY",0,0,0,0,0,123,18.5
"SP","20291",3,"WY",0,0,0,0,3,123,21
"SP","20291",4,"WY",0,0,0,0,4,123,18.5
"SP","20291",5,"WY",0,0,0,0,2,123,20
"SP","20291",6,"WY",0,0,0,0,0,123,20.5
"SP","20291",7,"WY",0,0,0,0,3,123,21
"SP","20360",1,"WY",0,0,0,0,4,144,10
"SP","20360",2,"WY",0,0,0,0,2,144,10
"SP","20360",3,"WY",0,0,0,0,2,144,10
"SP","20360",4,"WY",0,0,0,0,1,144,12
"SP","20360",5,"WY",0,0,0,0,2,144,12
"SP","20360",6,"WY",0,0,0,0,6,144,12
"SP","20360",7,"WY",0,0,0,0,4,144,12.5
"SP","20361",1,"WY",0,0,0,0,6,165,12
"SP","20361",2,"WY",0,0,0,0,8,165,16
"SP","20361",3,"WY",0,0,0,0,4,165,14.5
"SP","20361",4,"WY",0,0,0,0,4,165,15
"SP","20361",5,"WY",0,0,0,0,4,165,15
"SP","20361",6,"WY",0,0,0,0,8,165,15
"SP","20361",7,"WY",0,0,0,0,5,165,15.5
"SP","20497",1,"WY",0,0,0,0,3,160,17.5
"SP","20497",2,"WY",0,0,0,0,2,160,19
"SP","20497",3,"WY",0,0,0,0,2,160,18.5
"SP","20497",4,"WY",0,0,0,0,1,160,18
"SP","20497",5,"WY",0,0,0,0,7,160,14.5
"SP","20497",6,"WY",0,0,0,0,5,160,15.5
"SP","20497",7,"WY",0,0,0,0,4,160,17.5
"SP","20535",1,"WY",0,0,0,0,1,112,12
"SP","20535",2,"WY",0,0,0,0,0,112,14
"SP","20535",3,"WY",0,0,1,1,1,112,14
"SP","20535",4,"WY",0,0,0,0,1,112,15
"SP","20535",5,"WY",0,0,0,0,2,112,15.5
"SP","20535",6,"WY",0,0,0,0,2,112,16
"SP","20535",7,"WY",0,0,0,0,1,112,16
"SP","20536",1,"WY",0,0,0,0,9,153,18
"SP","20536",2,"WY",0,0,0,0,4,153,18.5
"SP","20536",3,"WY",0,0,0,0,3,153,21
"SP","20536",4,"WY",0,0,0,0,4,153,21
"SP","20536",5,"WY",0,0,0,0,1,153,24
"SP","20536",6,"WY",0,0,0,0,8,153,26
"SP","20536",7,"WY",0,0,0,0,5,153,25
"SP","20538",1,"WY",0,0,0,0,7,117,5
"SP","20538",2,"WY",0,0,0,0,5,117,5
"SP","20538",3,"WY",0,0,0,0,3,117,6.5
"SP","20538",4,"WY",0,0,0,0,7,117,8
"SP","20538",5,"WY",0,0,0,0,2,117,7
"SP","20538",6,"WY",0,0,0,0,4,117,7.5
"SP","20538",7,"WY",0,0,0,0,4,117,6.5
"SP","20540",1,"WY",0,0,0,0,7,125,10
"SP","20540",2,"WY",0,0,0,0,5,125,10
"SP","20540",3,"WY",0,0,0,0,2,125,8.5
"SP","20540",4,"WY",0,0,0,0,1,125,8
"SP","20540",5,"WY",0,0,0,0,2,125,9
"SP","20540",6,"WY",0,0,0,0,2,125,9
"SP","20540",7,"WY",0,0,0,0,3,125,10
"SP","20543",1,"WY",NA,NA,NA,NA,NA,NA,NA
"SP","20543",2,"WY",NA,NA,NA,NA,NA,NA,NA
"SP","20543",3,"WY",NA,NA,NA,NA,NA,NA,NA
"SP","20543",4,"WY",NA,NA,NA,NA,NA,NA,NA
"SP","20543",5,"WY",NA,NA,NA,NA,NA,NA,NA
"SP","20543",6,"WY",NA,NA,NA,NA,NA,NA,NA
"SP","20543",7,"WY",NA,NA,NA,NA,NA,NA,NA
"SP","20550",1,"WY",1,0,0,1,2,131,11
"SP","20550",2,"WY",0,0,0,0,1,131,12
"SP","20550",3,"WY",1,0,0,1,2,131,11.5
"SP","20550",4,"WY",0,0,0,0,0,131,16
"SP","20550",5,"WY",0,1,0,1,3,131,15
"SP","20550",6,"WY",1,0,0,1,0,131,15
"SP","20550",7,"WY",1,0,NA,1,1,131,16
"SP","20560",1,"WY",0,1,0,1,8,145,10
"SP","20560",2,"WY",0,1,0,1,5,145,10.5
"SP","20560",3,"WY",0,0,0,0,8,145,10.5
"SP","20560",4,"WY",0,0,0,0,2,145,12.5
"SP","20560",5,"WY",0,0,0,0,7,145,12
"SP","20560",6,"WY",1,0,0,1,3,145,12
"SP","20560",7,"WY",0,0,0,0,7,145,12
"SP","20565",1,"WY",0,0,0,0,4,151,10
"SP","20565",2,"WY",0,0,0,0,5,151,15
"SP","20565",3,"WY",0,0,0,0,9,151,14
"SP","20565",4,"WY",0,0,0,0,2,151,17
"SP","20565",5,"WY",0,0,0,0,5,151,19
"SP","20565",6,"WY",0,0,0,0,2,151,18
