landowner,stand,site_rep,trt,year,date,obs,subplot,sample_id,recap,pass,spp,cover_obj,substrate,svl,age_class
BLM,13924,1,UU,2024,4/1/2024,JW,3,JW01,0,1,OSS,W,W,39,A
BLM,13924,1,UU,2024,4/1/2024,RMM,1,,0,3,PLDU,R,R,,A
BLM,13924,1,UU,2024,4/1/2024,JW,1,,0,2,PLDU,R,R,,A
BLM,15562,1,BU,2024,4/1/2024,SLG,7,SG01,0,2,OSS,W,W,40,A
BLM,29431,1,UU,2024,4/2/2024,RMM,1,RM01,0,2,OSS,W,L,40,A
WY,10422,1,BS,2024,4/9/2024,JW,5,JW01,0,1,OSS,W,W,42,A
WY,10422,1,BS,2024,4/9/2024,RMM,5,RM01,0,2,OSS,W,D,45,A
WY,10463,1,BS,2024,4/9/2024,JW,3,JW01,0,1,OSS,W,W,44,A
WY,10467,1,HB,2024,4/9/2024,SLG,1,SG01,0,2,OSS,W,W,36,A
PB,9757,1,BU,2024,4/10/2024,JW,4,JW01,0,1,OSS,W,W,46,A
PB,408178,1,BS,2024,4/10/2024,JW,7,,0,3,ENES,W,W,,A
PB,408178,2,HB,2024,4/10/2024,JW,3,,0,1,ENES,W,W,,A
PB,408178,2,HB,2024,4/10/2024,RMM,1,RM01,0,1,OSS,W,L,42,A
PB,408178,2,HB,2024,4/10/2024,RMM,7,RM02,0,3,OSS,W,L,43,A
BLM,12213,1,UU,2024,4/11/2024,RMM,7,,0,3,ENES,W,L,52,A
BLM,12213,1,UU,2024,4/11/2024,RMM,6,RM01,0,3,OSS,W,L,41,A
BLM,12239,1,UU,2024,4/11/2024,RMM,1,,0,1,ENES,W,L,,A
BLM,12239,1,UU,2024,4/11/2024,SLG,6,SG01,0,2,OSS,W,W,35,A
ODF,12362,1,HB,2024,4/15/2024,RMM,6,RM01,0,3,OSS,W,L,39,A
ODF,12362,1,HB,2024,4/15/2024,RMM,6,RM02,0,3,OSS,W,L,41,A
ODF,12362,1,HB,2024,4/15/2024,JW,4,JW01,0,2,OSS,W,W,42,A
ODF,12364,1,HB,2024,4/15/2024,SLG,1,SG01,0,3,OSS,W,W,36,A
BLM,29429,1,UU,2024,4/16/2024,RMM,4,RM01,0,3,OSS,W,D,34,A
BLM,29429,1,UU,2024,4/16/2024,RMM,3,RM02,0,3,OSS,W,W,37,A
BLM,29429,1,UU,2024,4/16/2024,RMM,3,,0,3,OSS,W,W,40,A
BLM,29429,1,UU,2024,4/16/2024,SLG,1,SG01,0,2,OSS,W,W,31,A
BLM,29429,1,UU,2024,4/16/2024,JW,1,JW01,0,3,OSS,W,W,39,A
BLM,29429,1,UU,2024,4/16/2024,JW,2,JW02,0,3,OSS,W,W,40,A
BLM,29889,1,UU,2024,4/16/2024,RMM,6,RM01,0,1,OSS,W,L,32,A
ODF,12560,1,BU,2024,4/18/2024,RMM,6,,0,1,ENES,W,W,,A
ODF,12560,1,BU,2024,4/18/2024,RMM,5,RM01,0,2,OSS,W,L,37,A
PB,33689,1,HU,2024,4/22/2024,RMM,7,RM01,0,1,OSS,W,L,35,A
PB,34007,1,HB,2024,4/22/2024,SLG,7,,0,1,ENES,W,W,,A
PB,34007,1,HB,2024,4/22/2024,SLG,3,,0,3,ENES,W,W,,A
PB,34007,1,HB,2024,4/22/2024,JW,4,,0,1,ENES,W,W,,A
PB,34007,1,HB,2024,4/22/2024,RMM,7,,0,3,ENES,W,L,46,A
PB,34007,1,HB,2024,4/22/2024,SLG,7,SG01,0,1,OSS,W,W,35,A
PB,34007,1,HB,2024,4/22/2024,SLG,7,SG02,0,1,OSS,W,W,39,A
PB,33651,1,HB,2024,4/23/2024,JW,4,JW01,0,1,OSS,W,W,40,A
PB,33651,1,HB,2024,4/23/2024,JW,4,JW02,0,1,OSS,W,W,44,A
PB,408180,1,HB,2024,4/23/2024,SLG,1,SG01,0,2,OSS,W,W,32,A
PB,408180,1,HB,2024,4/23/2024,JW,3,JW01,0,1,OSS,W,W,40,A
BLM,10302,1,UU,2024,4/24/2024,RMM,7,RM01,0,1,OSS,W,L,56,A
BLM,10302,1,UU,2024,4/24/2024,RMM,6,RM03,0,1,OSS,W,L,38,A
BLM,10302,1,UU,2024,4/24/2024,RMM,4,RM04,0,3,OSS,W,L,36,A
BLM,10302,1,UU,2024,4/24/2024,JW,6,JW01,0,2,OSS,W,W,41,A
BLM,10302,1,UU,2024,4/24/2024,SLG,2,SG01,0,1,OSS,W,W,35,A
PB,408162,1,HU,2024,4/24/2024,JW,1,,0,2,ENES,W,W,,A
PB,408162,1,HU,2024,4/24/2024,JW,4,JW01,0,1,OSS,W,W,38,A
PB,408162,1,HU,2024,4/24/2024,JW,1,JW02,0,2,OSS,W,W,32,A
PB,408162,1,HU,2024,4/24/2024,JW,1,JW03,0,2,OSS,W,W,40,A
PB,408162,1,HU,2024,4/24/2024,JW,2,JW04,0,3,OSS,W,W,38,A
PB,408162,1,HU,2024,4/24/2024,RMM,2,RM01,0,1,OSS,W,L,43,A
PB,408162,1,HU,2024,4/24/2024,RMM,4,RM02,0,2,OSS,W,D,32,A
BLM,10439,1,UU,2024,4/25/2024,RMM,7,,0,3,ENES,O,D,,A
BLM,10439,1,UU,2024,4/25/2024,JW,6,,0,2,ENES,W,W,,A
BLM,10439,1,UU,2024,4/25/2024,JW,7,,0,2,ENES,W,W,,A
BLM,10439,1,UU,2024,4/25/2024,SLG,3,SG01,0,3,OSS,W,W,32,A
BLM,10439,1,UU,2024,4/25/2024,SLG,4,SG02,0,3,OSS,W,W,34,A
BLM,10439,1,UU,2024,4/25/2024,RMM,3,RM01,0,2,OSS,W,L,44,A
BLM,10439,1,UU,2024,4/25/2024,RMM,4,RM02,0,2,OSS,W,L,47,A
BLM,10439,1,UU,2024,4/25/2024,RMM,7,RM03,0,3,OSS,W,W,38,A
BLM,10439,1,UU,2024,4/25/2024,JW,6,JW01,0,2,OSS,W,W,39,A
BLM,10439,1,UU,2024,4/25/2024,JW,6,JW02,0,2,OSS,W,W,40,A
PB,33810,1,HU,2024,4/25/2024,JW,1,JW01,0,2,OSS,W,W,42,A
PB,33810,1,HU,2024,4/25/2024,RMM,7,RM01,0,2,OSS,W,W,47,A
WY,20053,1,HU,2024,5/1/2024,RMM,1,RM01,0,1,OSS,W,L,48,A
WY,20053,1,HU,2024,5/1/2024,RMM,4,,0,2,ENES,W,W,,A
WY,20053,1,HU,2024,5/1/2024,RMM,5,RM02,0,3,OSS,W,W,40,A
WY,20053,1,HU,2024,5/1/2024,SLG,6,SG01,0,1,OSS,W,W,35,A
WY,20053,1,HU,2024,5/1/2024,SLG,2,,0,2,ENES,W,W,,A
WY,20053,1,HU,2024,5/1/2024,SLG,1,SG02,0,3,OSS,W,W,39,A
WY,20053,1,HU,2024,5/1/2024,JW,4,,0,1,ENES,W,W,,A
WY,20039,1,HU,2024,5/1/2024,RMM,1,,0,2,ENES,W,W,,A
WY,20039,1,HU,2024,5/1/2024,SLG,3,,0,1,ENES,W,D,,A
WY,20039,1,HU,2024,5/1/2024,JW,3,,0,2,ENES,W,W,,A
WY,20039,1,HU,2024,5/1/2024,JW,5,,0,3,ENES,W,W,,A
ODF,12806,1,BU,2024,5/2/2024,RMM,6,RM01,0,1,OSS,W,L,36,A
ODF,12806,1,BU,2024,5/2/2024,RMM,3,RM03,0,3,OSS,W,W,40,A
ODF,12806,1,BU,2024,5/2/2024,RMM,3,RM04,0,3,OSS,W,W,32,A
ODF,12806,1,BU,2024,5/2/2024,SLG,4,SG01,0,1,OSS,W,W,37,A
ODF,12806,1,BU,2024,5/2/2024,SLG,3,SG02,0,1,OSS,W,W,35,A
ODF,12349,1,BU,2024,5/2/2024,SLG,5,,0,1,ENES,W,W,,A
ODF,12349,1,BU,2024,5/2/2024,SLG,5,SG01,0,1,OSS,W,W,36,A
ODF,12349,1,BU,2024,5/2/2024,SLG,3,,0,3,ENES,W,D,,A
ODF,12349,1,BU,2024,5/2/2024,SLG,3,,0,3,ENES,W,D,,A
ODF,12349,1,BU,2024,5/2/2024,SLG,6,SG02,0,3,OSS,W,W,39,A
ODF,12349,1,BU,2024,5/2/2024,CH,3,,0,1,ENES,W,D,,A
ODF,12349,1,BU,2024,5/2/2024,CH,3,,0,1,AMGR,W,W,,A
ODF,12349,1,BU,2024,5/2/2024,JW,3,,0,2,ENES,W,D,,A
ODF,12349,1,BU,2024,5/2/2024,RMM,6,RM01,0,1,OSS,W,L,40,A
ODF,12349,1,BU,2024,5/2/2024,RMM,6,RM02,0,1,OSS,W,L,45,A
ODF,12349,1,BU,2024,5/2/2024,RMM,6,,0,1,AMGR,W,L,,A
ODF,12805,1,BU,2024,4/30/2024,JW,6,,0,1,AMGR,W,D,,A
ODF,12805,1,BU,2024,4/30/2024,RMM,6,RM01,0,3,OSS,W,L,52,A
ODF,12804,1,BU,2024,4/30/2024,RMM,1,RM01,0,2,OSS,W,L,41,A
ODF,12804,1,BU,2024,4/30/2024,RMM,1,RM02,0,2,OSS,W,D,48,A
ODF,12804,1,BU,2024,4/30/2024,RMM,1,RM03,0,2,OSS,W,L,36,A
ODF,12804,1,BU,2024,4/30/2024,RMM,1,RM04,0,2,OSS,W,L,46,A
ODF,12804,1,BU,2024,4/30/2024,RMM,6,RM05,0,3,OSS,W,W,41,A
ODF,12804,1,BU,2024,4/30/2024,JW,2,JW01,0,1,OSS,W,W,45,A
ODF,12804,1,BU,2024,4/30/2024,JW,6,JW02,0,2,OSS,W,W,39,A
ODF,12804,1,BU,2024,4/30/2024,JW,6,JW03,0,2,OSS,W,W,42,A
ODF,12033,1,BU,2024,5/13/2024,JW,5,JW01,0,1,OSS,W,W,32,A
ODF,12033,1,BU,2024,5/13/2024,RMM,4,RM01,0,3,OSS,W,W,53,A
ODF,12421,1,BU,2024,5/14/2024,RMM,5,RM01,0,1,OSS,W,W,47,A
ODF,12421,1,BU,2024,5/14/2024,JW,3,,0,1,ENES,W,W,,A
ODF,12421,1,BU,2024,5/14/2024,JW,4,JW01,0,2,OSS,W,W,40,A
ODF,12441,1,BU,2024,5/14/2024,RMM,7,RM01,0,2,OSS,W,L,37,A
ODF,12441,1,BU,2024,5/14/2024,RMM,7,,0,2,ENES,W,L,,A
ODF,12441,1,BU,2024,5/14/2024,RMM,2,RM02,0,3,OSS,W,L,45,A
ODF,12441,1,BU,2024,5/14/2024,JW,7,JW01,0,1,OSS,W,W,31,A
ODF,12441,1,BU,2024,5/14/2024,JW,7,JW02,0,1,OSS,W,W,30,A
WY,10444,1,HU,2024,5/15/2024,LS,1,LS01,0,1,OSS,W,W,34,A
WY,10444,1,HU,2024,5/15/2024,JW,7,JW01,0,3,OSS,W,W,39,A
WY,11084,1,BS,2024,5/9/2024,JW,1,JW01,0,2,OSS,R,D,40,A
WY,11084,1,BS,2024,5/9/2024,RMM,6,RM01,0,3,OSS,W,L,,A
WY,10968,1,HU,2024,5/7/2024,SLG,4,SG01,0,2,OSS,W,W,33,A
WY,10968,1,HU,2024,5/7/2024,RMM,1,RM01,0,2,OSS,W,W,47,A
WY,10968,1,HU,2024,5/7/2024,RMM,7,RM02,0,2,OSS,W,W,41,A
WY,10399,1,HU,2024,5/7/2024,JW,6,JW02,0,2,OSS,W,D,38,A
WY,10153,1,BS,2024,5/8/2024,RMM,6,RM01,0,1,OSS,W,W,50,A
WY,10153,1,BS,2024,5/8/2024,RMM,6,RM02,0,1,OSS,W,W,46,A
WY,10153,1,BS,2024,5/8/2024,RMM,1,RM03,0,3,OSS,W,W,45,A
WY,10153,1,BS,2024,5/8/2024,JW,1,JW01,0,1,OSS,W,W,42,A
WY,10153,1,BS,2024,5/8/2024,JW,4,JW02,0,2,OSS,W,D,45,A
WY,10153,1,BS,2024,5/8/2024,JW,4,JW03,0,2,OSS,W,D,43,A
WY,10153,1,BS,2024,5/8/2024,SLG,7,SG01,0,2,OSS,W,W,42,A
WY,11081,1,BS,2024,5/9/2024,RMM,4,,0,1,ENES,W,L,,A
WY,10597,1,HB,2024,5/21/2024,RMM,7,RM01,0,2,OSS,W,L,54,A
WY,10471,1,BS,2024,5/27/2024,RMM,3,RM01,0,2,OSS,W,D,48,A
WY,10471,2,BS,2024,5/27/2024,SLG,7,SG01,0,1,OSS,W,D,42,A
ODF,12033,1,BU,2024,5/13/2024,RMM,3,,0,3,OSS,W,W,,J
ODF,12804,1,BU,2024,4/30/2024,JW,2,,0,1,OSS,W,W,19,J
BLM,29121,1,UU,2024,3/25/2024,JW,5,,0,1,ENES,W,W,,J
BLM,29122,1,UU,2024,3/27/2024,SLG,6,,0,1,ENES,W,W,20,J
BLM,29123,1,UU,2024,3/27/2024,JW,1,,0,3,ENES,W,L,,J
BLM,29123,1,UU,2024,3/27/2024,RMM,3,,0,2,ENES,W,W,,J
BLM,13924,1,UU,2024,4/1/2024,SLG,5,,0,2,ENES,W,W,23,J
BLM,29431,1,UU,2024,4/2/2024,RMM,2,,0,2,ENES,W,L,20,J
ODF,12364,1,HB,2024,4/15/2024,JW,4,,0,1,ENES,W,W,,J
BLM,29889,1,UU,2024,4/16/2024,JW,1,,0,1,ENES,W,W,,J
PB,33651,1,HB,2024,4/23/2024,RMM,4,RM01,0,2,OSS,W,L,24,J
PB,408162,1,HU,2024,4/24/2024,JW,5,,0,2,ENES,W,W,,J
BLM,10439,1,UU,2024,4/25/2024,RMM,7,,0,3,ENES,W,L,,J
BLM,10439,1,UU,2024,4/25/2024,JW,7,JW03,0,2,OSS,W,W,19,J
ODF,12806,1,BU,2024,5/2/2024,JW,2,,0,1,ENES,W,W,,J
ODF,12349,1,BU,2024,5/2/2024,CH,7,,0,2,ENES,W,D,,J
ODF,12805,1,BU,2024,4/30/2024,RMM,2,,0,3,ENES,W,L,,J
ODF,12441,1,BU,2024,5/14/2024,RMM,3,,0,1,TAGR,W,W,,J
ODF,12441,1,BU,2024,5/14/2024,RMM,4,,0,1,ENES,W,W,,J
WY,11081,1,BS,2024,5/9/2024,SLG,5,SG01,0,1,OSS,W,W,15,J
PB,408162,1,HU,2024,4/24/2024,RMM,7,,0,3,OSS,W,W,27,SA
BLM,10302,1,UU,2024,4/24/2024,SLG,7,RM02,1,3,OSS,W,W,29,SA
BLM,29121,1,UU,2024,3/25/2024,JW,5,,0,1,ENES,W,W,,SA
BLM,29121,1,UU,2024,3/25/2024,JW,5,,0,1,ENES,W,W,,SA
BLM,29121,1,UU,2024,3/25/2024,JW,4,JW01,0,1,OSS,W,W,29,SA
BLM,29121,1,UU,2024,3/25/2024,SLG,4,SG01,0,3,OSS,W,W,25,SA
BLM,29122,1,UU,2024,3/27/2024,JW,6,,0,2,ENES,W,D,,SA
BLM,13924,1,UU,2024,4/1/2024,RMM,2,,0,2,PLDU,R,R,,SA
BLM,29431,1,UU,2024,4/2/2024,RMM,5,,0,3,ENES,W,L,32,SA
WY,10422,1,BS,2024,4/9/2024,SLG,4,SG01,0,1,OSS,W,W,26,SA
PB,408178,1,BS,2024,4/10/2024,RMM,6,,0,1,ENES,W,L,,SA
PB,408178,2,HB,2024,4/10/2024,JW,4,,0,1,ENES,W,W,,SA
PB,408178,2,HB,2024,4/10/2024,JW,1,,0,3,ENES,W,W,,SA
PB,408178,2,HB,2024,4/10/2024,SLG,3,,0,3,ENES,W,D,,SA
BLM,12239,1,UU,2024,4/11/2024,JW,2,,0,2,ENES,W,W,,SA
BLM,29429,1,UU,2024,4/16/2024,RMM,2,,0,1,ENES,W,L,,SA
BLM,29429,1,UU,2024,4/16/2024,SLG,5,SG02,0,3,OSS,W,W,22,SA
BLM,29889,1,UU,2024,4/16/2024,JW,4,,0,2,ENES,W,W,,SA
ODF,12560,1,BU,2024,4/18/2024,JW,5,,0,1,ENES,W,W,,SA
ODF,12560,1,BU,2024,4/18/2024,RMM,6,,0,1,TAGR,W,L,,SA
PB,408180,1,HB,2024,4/23/2024,JW,3,JW02,0,1,OSS,W,W,30,SA
BLM,10302,1,UU,2024,4/24/2024,JW,6,,0,2,ENES,W,W,,SA
BLM,10302,1,UU,2024,4/24/2024,RMM,7,RM02,0,1,OSS,W,L,29,SA
BLM,10302,1,UU,2024,4/24/2024,JW,6,JW02,0,2,OSS,W,W,24,SA
PB,408162,1,HU,2024,4/24/2024,JW,2,JW05,0,3,OSS,W,W,28,SA
PB,408162,1,HU,2024,4/24/2024,SLG,7,SG01,0,1,OSS,W,W,22,SA
WY,20039,1,HU,2024,5/1/2024,JW,1,,0,1,ENES,W,W,,SA
ODF,12806,1,BU,2024,5/2/2024,RMM,7,,0,3,ENES,W,W,,SA
ODF,12806,1,BU,2024,5/2/2024,RMM,7,RM02,0,3,OSS,W,L,23,SA
ODF,12806,1,BU,2024,5/2/2024,JW,7,CH01,0,1,OSS,W,W,28,SA
ODF,12349,1,BU,2024,5/2/2024,SLG,6,SG03,0,3,OSS,W,W,28,SA
ODF,12349,1,BU,2024,5/2/2024,SLG,6,,0,3,ENES,W,L,,SA
ODF,12349,1,BU,2024,5/2/2024,CH,1,CH02,0,1,OSS,W,W,27,SA
ODF,12349,1,BU,2024,5/2/2024,CH,6,CH03,0,2,OSS,W,W,24,SA
ODF,12349,1,BU,2024,5/2/2024,CH,6,,0,2,ENES,W,W,,SA
ODF,12349,1,BU,2024,5/2/2024,RMM,4,,0,3,ENES,W,W,,SA
ODF,12805,1,BU,2024,4/30/2024,JW,2,JW01,0,2,OSS,W,W,29,SA
ODF,12033,1,BU,2024,5/13/2024,JW,3,,0,1,ENES,W,W,,SA
ODF,12033,1,BU,2024,5/13/2024,RMM,1,,0,1,TAGR,W,W,,SA
ODF,12033,1,BU,2024,5/13/2024,RMM,3,RM02,0,3,OSS,W,W,29,SA
ODF,12441,1,BU,2024,5/14/2024,JW,2,JW03,0,2,OSS,W,W,28,SA
WY,10968,1,HU,2024,5/7/2024,SLG,5,SG02,0,2,OSS,W,W,24,SA
WY,10968,1,HU,2024,5/7/2024,JW,4,JW01,0,3,OSS,W,W,27,SA
WY,10153,1,BS,2024,5/8/2024,JW,5,JW04,0,3,OSS,D,D,22,SA
ODF,12098,1,BU,2024,5/23/2024,JW,7,,0,1,ENES,W,D,,SA
ODF,12098,1,BU,2024,5/23/2024,SLG,4,SG01,0,1,OSS,W,W,30,SA
WY,10506,1,BS,2024,3/26/2024,RMM,3,JW01,1,3,OSS,W,D,,A
WY,10399,1,HU,2024,5/7/2024,RMM,7,JW01,1,2,OSS,D,W,,A
