"site_id","X1","X2","X3","X4","X5","X6","X7","veg_cov","canopy_cov","soil_moist","fwd_cov","dwd_count","avg_volume","trt","soilmoist-1","soilmoist-2","soilmoist-3","soilmoist-4","soilmoist-5","soilmoist-6","soilmoist-7","temp-1","temp-2","temp-3","temp-4","temp-5","temp-6","temp-7","rain-1","rain-2","rain-3","rain-4","rain-5","rain-6","rain-7","dwdcov-1","dwdcov-2","dwdcov-3","dwdcov-4","dwdcov-5","dwdcov-6","dwdcov-7","trt-1","trt-2","trt-3","trt-4","trt-5","trt-6","trt-7"
11,1,0,1,0,1,0,1,1,3.9,13.81,3.6,42,2.3247435,"UU",25.97,19.77,19.63,27.37,28.57,31.3,24.63,51.2,51.2,51.2,51.2,51.2,51.2,51.2,3,3,3,3,3,3,3,3,3,2,2,2,1,1,"UU","UU","UU","UU","UU","UU","UU"
12,0,0,0,0,1,0,0,3.4,0,24.68,3.4,52,2.3870669,"HU",20.93,19.83,19.13,18.47,19.67,25.3,14.1,50.7,50.7,50.7,50.7,50.7,50.7,50.7,0,0,0,0,0,0,0,1,1,1,0,2,1,1,"HU","HU","HU","HU","HU","HU","HU"
13,0,0,0,0,0,0,0,2.1,0.1,36.73,2.4,56,2.3151189,"HB",30.97,27.9,31.33,27.73,25.07,29.27,30.47,40.7,40.7,40.7,40.7,40.7,40.7,40.7,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"HB","HB","HB","HB","HB","HB","HB"
14,0,0,0,0,0,0,1,1.7,0,20.44,1.4,32,0.726581,"HB",17.4,14.77,21.07,20.9,19.73,22.3,14.37,58.9,58.9,58.9,58.9,58.9,58.9,58.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"HB","HB","HB","HB","HB","HB","HB"
15,0,0,0,0,0,0,0,2.1,0,11.7,2.1,48,0.7396768,"HB",17.97,24.43,21.6,25.07,24.7,21.5,27.2,64.5,64.5,64.5,64.5,64.5,64.5,64.5,7,7,7,7,7,7,7,1,1,1,1,1,2,2,"HB","HB","HB","HB","HB","HB","HB"
16,0,1,1,0,0,0,0,1.1,0,26.3,3.4,62,2.1742205,"BS",39.9,34.1,39.17,36.63,37.97,34.7,34.47,48,48,48,48,48,48,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"BS","BS","BS","BS","BS","BS","BS"
17,0,0,0,0,0,0,0,3,0,28.63,3,49,0.8013691,"BS",32.47,27,25.03,21.67,21.4,22,24.07,62.1,62.1,62.1,62.1,62.1,62.1,62.1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,"BS","BS","BS","BS","BS","BS","BS"
18,1,0,0,1,0,0,1,3.4,0,23.03,3,43,0.8023158,"HB",15.43,16.23,21.37,17.83,12.6,13.47,18.07,70.4,70.4,70.4,70.4,70.4,70.4,70.4,1,1,1,1,1,1,1,1,2,1,2,1,1,1,"HB","HB","HB","HB","HB","HB","HB"
19,0,0,0,0,0,0,0,1.6,3.6,25.32,2.7,36,2.4738464,"HB",31.27,26.07,22.03,27.8,20,17.83,25.67,45,45,45,45,45,45,45,0,0,0,0,0,0,0,1,2,1,1,1,1,2,"HB","HB","HB","HB","HB","HB","HB"
20,0,0,0,0,0,0,0,1.9,3.6,14.05,2.6,47,1.643919,"BS",25.23,26.63,22.67,25.87,24.1,27.37,27.43,43,43,43,43,43,43,43,0,0,0,0,0,0,0,2,2,2,2,2,1,2,"BS","BS","BS","BS","BS","BS","BS"
21,0,0,0,1,0,0,0,1,0,19.63,4,34,0.7623972,"UU",28.43,18,20.83,24.57,23.37,24.7,19.87,50.5,50.5,50.5,50.5,50.5,50.5,50.5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"UU","UU","UU","UU","UU","UU","UU"
22,0,0,0,0,0,0,0,3.6,0,7.99,2.9,63,1.3354574,"HB",33.1,25.27,34.4,29.03,24.67,32.17,30.33,70.8,70.8,70.8,70.8,70.8,70.8,70.8,7,7,7,7,7,7,7,2,1,1,1,1,1,2,"HB","HB","HB","HB","HB","HB","HB"
23,0,0,0,0,0,0,0,3.6,0,31.06,3.1,37,1.0079043,"HU",17.87,18.07,19.07,14.03,12.43,15.8,12,55.2,55.2,55.2,55.2,55.2,55.2,55.2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,"HU","HU","HU","HU","HU","HU","HU"
24,0,0,0,0,0,0,0,2.9,0,28.96,1,25,0.8625881,"HB",28.07,33.47,26.37,25.73,24.7,31.77,26.6,33.1,33.1,33.1,33.1,33.1,33.1,33.1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"HB","HB","HB","HB","HB","HB","HB"
25,0,1,0,0,1,0,1,3.7,0,23.94,1,43,1.173732,"BU",28.37,18.97,22.67,22.83,19.1,25,25.43,53.5,53.5,53.5,53.5,53.5,53.5,53.5,1,1,1,1,1,1,1,2,2,1,1,2,1,2,"BU","BU","BU","BU","BU","BU","BU"
26,0,0,0,0,0,1,0,3.4,0,26.38,1.3,61,1.5281078,"BU",28.23,24.9,29.4,16.2,19.9,23.93,24.03,55.6,55.6,55.6,55.6,55.6,55.6,55.6,1,1,1,1,1,1,1,1,1,2,1,2,2,1,"BU","BU","BU","BU","BU","BU","BU"
27,1,1,0,0,1,0,1,3.4,0,19.21,3.4,52,1.2059193,"UU",34.73,35.63,30.27,29.87,32.67,38.5,32.13,65.5,65.5,65.5,65.5,65.5,65.5,65.5,1,1,1,1,1,1,1,2,1,1,2,2,1,1,"UU","UU","UU","UU","UU","UU","UU"
28,0,0,0,0,0,0,0,1,0,18.65,0.9,30,0.4449421,"UU",23.03,25.7,28.93,31.83,20.37,42.63,8.87,47.9,47.9,47.9,47.9,47.9,47.9,47.9,0,0,0,0,0,0,0,2,1,2,1,1,1,2,"UU","UU","UU","UU","UU","UU","UU"
29,1,1,0,1,0,1,1,2.9,0,23.21,1,52,1.1281333,"BU",13.93,11.4,21.37,23.23,19.83,14.7,14.9,52,52,52,52,52,52,52,1,1,1,1,1,1,1,1,1,1,2,1,1,1,"BU","BU","BU","BU","BU","BU","BU"
30,0,0,0,0,0,0,0,1,0,36.7,1.4,60,2.1055859,"BU",12.67,7.13,9,7.93,9.93,12.33,10.83,39.4,39.4,39.4,39.4,39.4,39.4,39.4,0,0,0,0,0,0,0,2,1,1,1,2,1,1,"BU","BU","BU","BU","BU","BU","BU"
31,0,0,0,0,0,0,0,3.3,0,29.98,2.6,51,1.3584934,"HB",35.93,25.17,30.43,29.47,21.43,26.7,31.53,56.4,56.4,56.4,56.4,56.4,56.4,56.4,0,0,0,0,0,0,0,1,2,1,1,1,1,1,"HB","HB","HB","HB","HB","HB","HB"
32,0,0,0,0,0,0,0,1.1,0,24.8,2.6,47,1.4771446,"HB",30.27,30.37,29.8,34.43,35.3,29.47,28.5,41.9,41.9,41.9,41.9,41.9,41.9,41.9,1,1,1,1,1,1,1,1,1,1,1,1,1,2,"HB","HB","HB","HB","HB","HB","HB"
33,0,0,0,0,0,0,0,1.9,0,16.43,1.4,72,1.8785392,"BU",14.83,12.3,17.77,17.17,16,16.73,17.47,62.5,62.5,62.5,62.5,62.5,62.5,62.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"BU","BU","BU","BU","BU","BU","BU"
34,1,1,1,0,1,0,0,1.7,0,24.38,1,60,1.4713067,"BU",10.8,29.77,20.47,20.43,8.77,9.87,8.27,38.2,38.2,38.2,38.2,38.2,38.2,38.2,0,0,0,0,0,0,0,1,1,1,1,2,1,1,"BU","BU","BU","BU","BU","BU","BU"
35,0,0,1,1,1,0,0,3.1,0,16.7,1.4,55,1.0822191,"BU",27.63,23.57,26.33,22.1,20.97,24.7,28.57,50.7,50.7,50.7,50.7,50.7,50.7,50.7,1,1,1,1,1,1,1,2,0,2,2,3,2,1,"BU","BU","BU","BU","BU","BU","BU"
36,0,0,0,0,0,0,0,1.1,0,25.61,2.3,53,1.8294693,"BU",11,13.23,13.17,21.53,17.07,13.5,15.3,44.1,44.1,44.1,44.1,44.1,44.1,44.1,0,0,0,0,0,0,0,1,1,0,1,1,3,2,"BU","BU","BU","BU","BU","BU","BU"
37,1,0,0,0,1,1,1,2.6,0,20.36,3.3,36,1.0520829,"BU",25.9,27.53,31,35.3,28.13,26.73,28.77,50.5,50.5,50.5,50.5,50.5,50.5,50.5,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"BU","BU","BU","BU","BU","BU","BU"
38,0,0,0,0,0,0,0,2.4,3.7,22.82,3.9,35,0.7488281,"BU",24.13,23.83,28,20.27,22.07,24.57,21.47,49.1,49.1,49.1,49.1,49.1,49.1,49.1,0,0,0,0,0,0,0,1,3,1,1,1,1,2,"BU","BU","BU","BU","BU","BU","BU"
39,0,0,0,0,0,0,0,2.1,0,29.85,1.3,60,2.3514085,"UU",33.1,25.93,25.5,30.47,17.63,18.13,24.13,52.9,52.9,52.9,52.9,52.9,52.9,52.9,0,0,0,0,0,0,0,1,1,1,2,3,2,1,"UU","UU","UU","UU","UU","UU","UU"
40,0,0,0,0,1,0,0,1.3,0,15.61,3,30,0.5486041,"BU",29,38.53,35.17,41.27,32.3,32.4,42.3,59.1,59.1,59.1,59.1,59.1,59.1,59.1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,"BU","BU","BU","BU","BU","BU","BU"
41,0,0,0,0,0,0,0,2.7,0,29.6,3.4,42,0.4992187,"BU",29.63,31.4,26.3,23.63,30.4,36.23,29.37,43.8,43.8,43.8,43.8,43.8,43.8,43.8,0,0,0,0,0,0,0,0,1,0,1,1,1,1,"BU","BU","BU","BU","BU","BU","BU"
42,0,0,0,0,0,0,0,3.1,0,28.1,1.4,33,0.7821461,"HU",6.7,8.23,11.8,6.67,17.63,12.73,12.4,39.8,39.8,39.8,39.8,39.8,39.8,39.8,0,0,0,0,0,0,0,1,1,2,2,1,2,1,"HU","HU","HU","HU","HU","HU","HU"
43,0,0,0,0,0,0,0,3.7,0,16.64,1.6,28,0.1912304,"HU",5.63,5,5.57,8.13,6.07,8.43,4.6,69.5,69.5,69.5,69.5,69.5,69.5,69.5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,"HU","HU","HU","HU","HU","HU","HU"
44,0,0,0,0,0,0,0,4,0,23.52,1.1,45,0.602723,"HU",15.8,34.1,31.03,18.93,25.47,28.83,19.67,59.9,59.9,59.9,59.9,59.9,59.9,59.9,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"HU","HU","HU","HU","HU","HU","HU"
45,0,0,0,0,0,0,0,3.9,1.9,23.2,1.4,55,2.3187478,"UU",26.8,31.23,26.93,32.6,25.9,27.3,22.67,66.2,66.2,66.2,66.2,66.2,66.2,66.2,1,1,1,1,1,1,1,1,1,1,2,2,1,3,"UU","UU","UU","UU","UU","UU","UU"
46,0,0,0,0,0,0,0,3.9,1.6,21.78,1.9,42,1.3619646,"HU",15.17,19.87,12.9,12,18.77,14.07,20.77,61.8,61.8,61.8,61.8,61.8,61.8,61.8,5,5,5,5,5,5,5,2,1,1,1,2,1,2,"HU","HU","HU","HU","HU","HU","HU"
47,0,0,0,0,0,0,0,3.7,2,23.8,1.4,40,1.6333477,"HU",9.2,13.47,15.03,47.2,17.7,14.53,15.17,53.1,53.1,53.1,53.1,53.1,53.1,53.1,7,7,7,7,7,7,7,1,2,1,2,1,1,3,"HU","HU","HU","HU","HU","HU","HU"
48,0,0,0,0,0,0,0,4,1.9,29.93,1.9,26,1.4864537,"BU",16.73,18.83,13.2,19.9,15.23,16.97,20.7,49.6,49.6,49.6,49.6,49.6,49.6,49.6,0,0,0,0,0,0,0,1,1,1,1,0,1,1,"BU","BU","BU","BU","BU","BU","BU"
49,0,0,0,0,0,1,1,3.7,2.4,33.4,3.1,39,1.6694795,"UU",23.97,28.97,27.77,18.77,19.37,22.73,21.57,55.4,55.4,55.4,55.4,55.4,55.4,55.4,0,0,0,0,0,0,0,2,1,1,2,2,1,2,"UU","UU","UU","UU","UU","UU","UU"
50,1,1,0,0,1,1,1,3.9,2.1,32.8,1.6,15,0.6284412,"UU",26.93,15.8,23.37,22.97,31.3,21.7,18.53,60.1,60.1,60.1,60.1,60.1,60.1,60.1,3,3,3,3,3,3,3,2,2,1,1,1,2,1,"UU","UU","UU","UU","UU","UU","UU"
51,0,0,0,0,0,0,0,3.4,3,25.91,2.6,26,1.8932391,"UU",28.43,26.53,19.77,25.6,26.6,24.93,28.33,49.6,49.6,49.6,49.6,49.6,49.6,49.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"UU","UU","UU","UU","UU","UU","UU"
52,0,1,0,0,0,0,0,3.7,3.3,32.55,2.3,24,1.7348008,"UU",24.07,17.77,20.2,17.53,17.53,19.83,19.73,51.2,51.2,51.2,51.2,51.2,51.2,51.2,3,3,3,3,3,3,3,1,1,1,1,1,2,1,"UU","UU","UU","UU","UU","UU","UU"
53,0,0,1,0,0,0,0,3.6,1.1,17.05,1.4,34,1.6735818,"UU",24.7,17.23,27.1,19.4,21.6,16.53,16.5,55.4,55.4,55.4,55.4,55.4,55.4,55.4,7,7,7,7,7,7,7,1,2,2,1,2,1,1,"UU","UU","UU","UU","UU","UU","UU"
54,0,0,0,0,0,0,0,3.7,1.7,26.55,1.7,40,1.8551876,"UU",23.53,22.33,25.03,27.23,20.27,19.5,23,52.5,52.5,52.5,52.5,52.5,52.5,52.5,0,0,0,0,0,0,0,2,3,1,1,1,3,1,"UU","UU","UU","UU","UU","UU","UU"
55,0,1,0,0,0,0,0,4,1.3,9.98,1,27,1.2988522,"HB",29.77,29.13,29.93,29.83,28.73,29.37,29.17,66.1,66.1,66.1,66.1,66.1,66.1,66.1,14,14,14,14,14,14,14,1,1,1,1,1,1,1,"HB","HB","HB","HB","HB","HB","HB"
56,1,0,1,0,0,0,0,3.9,0,28.67,1.1,51,0.9883394,"HB",24.6,30,24.53,24.47,27.13,27,25.13,63.5,63.5,63.5,63.5,63.5,63.5,63.5,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"HB","HB","HB","HB","HB","HB","HB"
57,0,0,0,0,0,0,0,3.6,0,19.45,0.9,33,1.6218297,"HU",26.37,28.77,30.13,32.07,34.43,27.87,30.1,43.4,43.4,43.4,43.4,43.4,43.4,43.4,1,1,1,1,1,1,1,1,2,1,1,1,1,2,"HU","HU","HU","HU","HU","HU","HU"
58,0,0,0,0,0,1,0,3.7,0,31.16,1.1,25,0.4326352,"HU",30.93,30.5,33.07,32.47,26.13,32.87,36.03,58.7,58.7,58.7,58.7,58.7,58.7,58.7,0,0,0,0,0,0,0,1,1,1,2,1,1,1,"HU","HU","HU","HU","HU","HU","HU"
59,0,0,0,1,0,0,1,4,0,24.12,1,45,1.1754676,"HU",40.4,24.43,34.17,29.3,30.9,39.07,29.17,49,49,49,49,49,49,49,1,1,1,1,1,1,1,1,1,1,1,2,2,2,"HU","HU","HU","HU","HU","HU","HU"
60,0,1,0,1,0,1,0,3.1,1.3,16.04,1.1,18,0.6219722,"HB",20.7,20.1,22.33,26.6,21.8,23.6,26.67,56,56,56,56,56,56,56,2,2,2,2,2,2,2,1,1,2,2,2,1,1,"HB","HB","HB","HB","HB","HB","HB"
61,0,0,0,0,0,0,0,2.3,0.9,15.48,1.9,25,1.6140984,"HU",32.33,34.03,31.6,32.33,30.03,27.57,30.4,61.1,61.1,61.1,61.1,61.1,61.1,61.1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,"HU","HU","HU","HU","HU","HU","HU"
62,0,0,0,0,1,0,0,4,1,12.18,1.3,31,1.3190482,"HU",29.77,30.33,39.77,33.1,26.93,29.93,37.13,57.5,57.5,57.5,57.5,57.5,57.5,57.5,6,6,6,6,6,6,6,1,1,1,1,1,2,1,"HU","HU","HU","HU","HU","HU","HU"
63,0,0,0,0,0,0,0,3.6,1,24.84,1.4,34,3.6511811,"HU",34.87,30.7,28.17,29.33,22.03,22.27,30.17,75.1,75.1,75.1,75.1,75.1,75.1,75.1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,"HU","HU","HU","HU","HU","HU","HU"
64,0,0,1,1,1,0,0,4,1.6,27.51,1.7,25,1.1948746,"HU",29.67,31.13,36.27,28.43,26.53,12.72,25.07,65.8,65.8,65.8,65.8,65.8,65.8,65.8,6,6,6,6,6,6,6,1,1,1,1,2,1,1,"HU","HU","HU","HU","HU","HU","HU"
65,1,0,0,0,0,0,1,3.6,2,14.97,1.7,17,0.4960894,"BS",28.13,28.9,31.53,37.4,32.3,31.13,32.07,57.8,57.8,57.8,57.8,57.8,57.8,57.8,1,1,1,1,1,1,1,2,1,1,2,1,1,1,"BS","BS","BS","BS","BS","BS","BS"
66,0,0,0,0,1,0,0,3.6,2.6,15.39,3,23,0.774073,"HB",27.57,28.67,24.13,27.5,23.03,31.5,33.37,57.1,57.1,57.1,57.1,57.1,57.1,57.1,4,4,4,4,4,4,4,0,2,1,1,1,2,1,"HB","HB","HB","HB","HB","HB","HB"
67,0,0,0,0,1,1,0,3.9,1.7,25.37,3.1,18,0.7151418,"HB",21.7,22.4,26.03,27.53,23.13,17.63,18.73,69.4,69.4,69.4,69.4,69.4,69.4,69.4,4,4,4,4,4,4,4,1,1,2,1,1,1,1,"HB","HB","HB","HB","HB","HB","HB"
68,0,0,0,1,0,0,0,3.1,2.3,29.05,1.7,26,0.9660923,"BU",24.27,22,24.8,22.33,25.07,25.47,23,46.8,46.8,46.8,46.8,46.8,46.8,46.8,1,1,1,1,1,1,1,1,3,1,2,2,2,2,"BU","BU","BU","BU","BU","BU","BU"
69,0,0,0,0,0,0,0,3.7,2.1,28.38,2.1,34,1.967212,"BS",25.37,23.23,34.5,20.8,35.6,38.07,19.9,44.2,44.2,44.2,44.2,44.2,44.2,44.2,0,0,0,0,0,0,0,1,1,2,3,1,2,1,"BS","BS","BS","BS","BS","BS","BS"
70,0,0,0,0,0,0,0,3.4,1.6,23.48,2.4,42,2.3555108,"HB",28.63,24.23,28.23,27.2,23,25.23,25.87,46.3,46.3,46.3,46.3,46.3,46.3,46.3,1,1,1,1,1,1,1,2,2,1,1,1,2,1,"HB","HB","HB","HB","HB","HB","HB"
71,1,0,0,1,1,1,1,4,1.7,31.82,1.7,47,1.1543249,"BS",25.9,24.4,24.13,27.1,27.83,25.73,24.67,40.2,40.2,40.2,40.2,40.2,40.2,40.2,0,0,0,0,0,0,0,2,2,2,3,3,2,2,"BS","BS","BS","BS","BS","BS","BS"
72,0,1,0,1,0,1,1,3.9,2.3,30.26,1.9,28,1.1936124,"UU",14.53,14.33,13.53,13.9,16.63,12.87,10.87,49.6,49.6,49.6,49.6,49.6,49.6,49.6,0,0,0,0,0,0,0,2,1,2,3,3,3,2,"UU","UU","UU","UU","UU","UU","UU"
73,0,0,0,0,0,1,1,3,1.9,24.99,3.4,39,2.6370971,"HU",40.87,43.3,35.43,32.37,34.23,34.47,36.47,37.4,37.4,37.4,37.4,37.4,37.4,37.4,2,2,2,2,2,2,2,2,2,3,3,3,1,1,"HU","HU","HU","HU","HU","HU","HU"
74,0,0,0,0,0,0,0,3.7,3.6,21.49,2.7,21,1.3958612,"BS",7.8,10.2,10,11.17,10.73,23.7,8.27,61.2,61.2,61.2,61.2,61.2,61.2,61.2,3,3,3,3,3,3,3,1,1,2,2,1,1,3,"BS","BS","BS","BS","BS","BS","BS"
75,0,0,0,1,1,0,0,3.4,1.4,35.85,2.6,17,0.7866955,"BS",27,28.57,34.43,25.33,28.1,29.33,27.63,51,51,51,51,51,51,51,0,0,0,0,0,0,0,3,3,2,2,3,1,2,"BS","BS","BS","BS","BS","BS","BS"
76,0,0,1,1,0,1,1,4,1.1,38.6,1.4,22,1.4126122,"UU",12.93,13.47,14.57,12.37,10.8,15.57,18.67,54.4,54.4,54.4,54.4,54.4,54.4,54.4,3,3,3,3,3,3,3,2,2,1,1,2,3,2,"UU","UU","UU","UU","UU","UU","UU"
77,1,0,0,0,0,0,1,3.6,1.3,29.57,2.4,13,1.0641532,"HU",10.63,6.4,5.57,10.13,7.87,7.63,7.73,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0,0,0,0,0,0,0,2,1,2,2,2,2,3,"HU","HU","HU","HU","HU","HU","HU"
78,0,0,1,0,0,0,0,1,0,10.88,2.7,53,1.5839623,"BS",28.7,22.43,41.77,36.93,31.13,26.53,29.9,59.7,59.7,59.7,59.7,59.7,59.7,59.7,23,23,23,23,23,23,23,3,3,1,1,2,2,2,"BS","BS","BS","BS","BS","BS","BS"
79,1,0,0,0,0,0,0,2.4,0,26.41,3.3,80,1.1896678,"HB",19.57,22.63,23.13,24.8,25.77,26.23,25.47,48.2,48.2,48.2,48.2,48.2,48.2,48.2,0,0,0,0,0,0,0,1,1,1,1,1,2,1,"HB","HB","HB","HB","HB","HB","HB"
80,0,1,1,0,0,0,0,2.1,0,6.2,2.9,35,0.8780506,"BS",29.83,31.4,24.6,29.4,29.73,30.1,34.77,57.6,57.6,57.6,57.6,57.6,57.6,57.6,23,23,23,23,23,23,23,2,2,2,1,1,1,1,"BS","BS","BS","BS","BS","BS","BS"
81,0,0,0,0,0,0,0,3,0,31.26,3.1,51,0.9998574,"BS",20.9,14.9,15.4,14,24,32.8,20.5,40.9,40.9,40.9,40.9,40.9,40.9,40.9,0,0,0,0,0,0,0,1,2,2,3,1,2,1,"BS","BS","BS","BS","BS","BS","BS"
82,1,0,0,1,1,0,1,1,0,24.83,3.1,45,0.9056623,"HU",29.67,36.27,27.6,24.37,30.77,26.37,32.13,56.8,56.8,56.8,56.8,56.8,56.8,56.8,24,24,24,24,24,24,24,1,2,2,2,1,1,1,"HU","HU","HU","HU","HU","HU","HU"
83,0,0,0,0,1,0,0,0.9,0,26.23,3.4,25,0.491803,"BS",21.37,21.23,16.3,17.23,18.03,13.33,9,64.7,64.7,64.7,64.7,64.7,64.7,64.7,4,4,4,4,4,4,4,1,1,1,2,1,1,1,"BS","BS","BS","BS","BS","BS","BS"
84,1,0,0,0,0,1,0,3.7,3.6,27.63,1.7,41,2.2972896,"BS",16.43,28.93,22.83,20.03,24.87,21.1,30.43,65.7,65.7,65.7,65.7,65.7,65.7,65.7,6,6,6,6,6,6,6,1,1,2,1,2,1,1,"BS","BS","BS","BS","BS","BS","BS"
85,0,0,1,1,1,0,0,4,3.6,33.21,1.7,16,1.1433066,"BU",18.97,29.63,29.37,15.93,12.03,18.07,28.43,53.5,53.5,53.5,53.5,53.5,53.5,53.5,8,8,8,8,8,8,8,2,3,1,2,1,2,2,"BU","BU","BU","BU","BU","BU","BU"
86,0,0,0,0,0,1,0,3.9,0,28.73,2.3,36,0.9952818,"UU",31.43,41.47,28.9,39.8,42.83,16.23,28.93,64.5,64.5,64.5,64.5,64.5,64.5,64.5,0,0,0,0,0,0,0,1,1,1,1,2,1,1,"UU","UU","UU","UU","UU","UU","UU"
87,0,0,0,0,0,1,0,1,0,16.22,3.4,46,2.1210484,"UU",29.8,26.1,34.3,39.4,33.63,30.63,34,71.7,71.7,71.7,71.7,71.7,71.7,71.7,8,8,8,8,8,8,8,2,2,2,1,1,2,2,"UU","UU","UU","UU","UU","UU","UU"
88,1,0,0,0,1,1,0,1.7,0,18.9,2,62,2.2717291,"BU",29.33,32.4,32.83,0,34.3,30.37,26.6,81.4,81.4,81.4,81.4,81.4,81.4,81.4,8,8,8,8,8,8,8,2,1,2,3,2,3,2,"BU","BU","BU","BU","BU","BU","BU"
89,0,0,0,1,0,1,0,4,1.1,17.37,1,10,0.6085609,"HB",9.6,2.17,26.6,24.2,55.87,14.67,3.07,54.5,54.5,54.5,54.5,54.5,54.5,54.5,14,14,14,14,14,14,14,1,1,1,1,1,1,1,"HB","HB","HB","HB","HB","HB","HB"
90,1,0,0,0,0,0,0,3,3.3,23.3,2.1,41,2.6156914,"HB",21.23,22.57,26.2,30.1,23.67,21.63,23.43,75.4,75.4,75.4,75.4,75.4,75.4,75.4,6,6,6,6,6,6,6,2,1,2,1,1,1,1,"HB","HB","HB","HB","HB","HB","HB"
91,0,0,0,1,1,0,0,4,2.9,30.48,2.3,22,2.0384764,"BU",8.8,9.63,12.17,8.2,21.37,10.43,14.67,44.4,44.4,44.4,44.4,44.4,44.4,44.4,0,0,0,0,0,0,0,1,1,2,2,2,2,2,"BU","BU","BU","BU","BU","BU","BU"
