"site_id","landowner","stand","site_rep","trt","year","date","date_mdy","subplot","lat","long","time","weather","canopy_cov","dwd_cov","veg_cov","fwd_cov","soil_moist_avg"
"10153 _ 1 _ 2023","WY",10153,1,"BS",2023,"5/4/2023",2023-05-04,"1",45.11827,122.34462,"10:30","R",0,2,2,2,18.93333333
"10153 _ 1 _ 2023","WY",10153,1,"BS",2023,"5/4/2023",2023-05-04,"2",45.11856,122.34462,"11:00","R",0,2,3,1,21.86666667
"10153 _ 1 _ 2023","WY",10153,1,"BS",2023,"5/4/2023",2023-05-04,"3",45.11854,122.34429,"10:45","R",0,1,3,1,30.1
"10153 _ 1 _ 2023","WY",10153,1,"BS",2023,"5/4/2023",2023-05-04,"4",45.11827,122.34402,"11:00","R",0,1,2,1,27.03333333
"10153 _ 1 _ 2023","WY",10153,1,"BS",2023,"5/4/2023",2023-05-04,"5",45.118,122.34437,"11:30","R",0,1,2,1,21.03333333
"10153 _ 1 _ 2023","WY",10153,1,"BS",2023,"5/4/2023",2023-05-04,"6",45.118024,122.344716,"10:30","R",0,2,2,3,29.4
"10153 _ 1 _ 2023","WY",10153,1,"BS",2023,"5/4/2023",2023-05-04,"7",45.118355,122.334962,"11:03","R",0,1,3,3,31.6
"10185 _ 1 _ 2023","WY",10185,1,"BS",2023,"4/10/2023",2023-04-10,"1",45.08915,122.34858,"12:20","R",0,2,2,2,36.2
"10185 _ 1 _ 2023","WY",10185,1,"BS",2023,"4/10/2023",2023-04-10,"2",45.08883,122.34875,"11:00","R",0,1,4,1,32.4
"10185 _ 1 _ 2023","WY",10185,1,"BS",2023,"4/10/2023",2023-04-10,"3",45.08908,122.34908,"10:30","R",0,2,3,2,44.4
"10185 _ 1 _ 2023","WY",10185,1,"BS",2023,"4/10/2023",2023-04-10,"4",45.089363,122.348834,"10:00","R",0,2,2,3,27.36666667
"10185 _ 1 _ 2023","WY",10185,1,"BS",2023,"4/10/2023",2023-04-10,"5",45.08947,122.34829,"10:10","R",0,1,2,2,25.06666667
"10185 _ 1 _ 2023","WY",10185,1,"BS",2023,"4/10/2023",2023-04-10,"6",45.09081,122.34813,"10:40","R",0,1,3,2,32.2
"10185 _ 1 _ 2023","WY",10185,1,"BS",2023,"4/10/2023",2023-04-10,"7",45.088838,122.348303,"11:10","R",0,1,3,2,35.2
"10258 _ 1 _ 2023","WY",10258,1,"BS",2023,"3/20/2023",2023-03-20,"1",45.00723,122.50957,"","C",0,1,1,3,30.8
"10258 _ 1 _ 2023","WY",10258,1,"BS",2023,"3/20/2023",2023-03-20,"2",45.00746,122.5099,"","C",0,2,1,3,27.43333333
"10258 _ 1 _ 2023","WY",10258,1,"BS",2023,"3/20/2023",2023-03-20,"3",45.007509,122.509542,"","C",0,1,1,3,11.36666667
"10258 _ 1 _ 2023","WY",10258,1,"BS",2023,"3/20/2023",2023-03-20,"4",45.00738,122.50916,"","C",0,2,1,2,15.63333333
"10258 _ 1 _ 2023","WY",10258,1,"BS",2023,"3/20/2023",2023-03-20,"5",45.007175,122.509086,"","C",0,1,2,4,18.16666667
"10258 _ 1 _ 2023","WY",10258,1,"BS",2023,"3/20/2023",2023-03-20,"6",45.00692,122.50942,"","R",0,1,1,1,7.533333333
"10258 _ 1 _ 2023","WY",10258,1,"BS",2023,"3/20/2023",2023-03-20,"7",45.007015,122.509886,"","C",0,1,4,2,23.96666667
"10302 _ 1 _ 2023","BLM",10302,1,"UU",2023,"5/1/2023",2023-05-01,"1",45.148262,122.327983,"9:15","C",4,1,1,2,20.76666667
"10302 _ 1 _ 2023","BLM",10302,1,"UU",2023,"5/1/2023",2023-05-01,"2",45.148469,122.327512,"9:45","C",4,1,2,1,15.6
"10302 _ 1 _ 2023","BLM",10302,1,"UU",2023,"5/1/2023",2023-05-01,"3",45.14794,122.32777,"9:18","C",3,1,2,4,13.9
"10302 _ 1 _ 2023","BLM",10302,1,"UU",2023,"5/1/2023",2023-05-01,"4",45.14809,122.32824,"9:39","C",4,1,1,4,14
"10302 _ 1 _ 2023","BLM",10302,1,"UU",2023,"5/1/2023",2023-05-01,"5",45.14826,122.32848,"9:59","C",4,2,1,4,18.1
"10302 _ 1 _ 2023","BLM",10302,1,"UU",2023,"5/1/2023",2023-05-01,"6",45.14867,122.328,"9:45","C",4,1,1,3,15
"10302 _ 1 _ 2023","BLM",10302,1,"UU",2023,"5/1/2023",2023-05-01,"7",45.14862,122.32759,"10:15","R",4,2,1,2,14.53333333
"10399 _ 1 _ 2023","WY",10399,1,"HU",2023,"5/9/2023",2023-05-09,"1",45.007055,122.401084,"9:50","PC",0,2,3,4,25.73333333
"10399 _ 1 _ 2023","WY",10399,1,"HU",2023,"5/9/2023",2023-05-09,"2",45.006825,122.401007,"10:15","PC",0,2,3,3,22.86666667
"10399 _ 1 _ 2023","WY",10399,1,"HU",2023,"5/9/2023",2023-05-09,"3",45.00683,122.40134,"10:10","PC",0,2,4,4,25
"10399 _ 1 _ 2023","WY",10399,1,"HU",2023,"5/9/2023",2023-05-09,"4",45.00716,122.4015,"10:37","PC",0,2,4,4,25.3
"10399 _ 1 _ 2023","WY",10399,1,"HU",2023,"5/9/2023",2023-05-09,"5",45.00739,122.40111,"11:15","PC",0,1,3,3,21.63333333
"10399 _ 1 _ 2023","WY",10399,1,"HU",2023,"5/9/2023",2023-05-09,"6",45.00725,122.40076,"10:50","PC",0,2,4,3,25.93333333
"10399 _ 1 _ 2023","WY",10399,1,"HU",2023,"5/9/2023",2023-05-09,"7",45.007,122.40067,"10:20","PC",0,1,3,3,26.26666667
"10403 _ 1 _ 2023","WY",10403,1,"BS",2023,"3/22/2023",2023-03-22,"1",45.04679,122.41316,"","S",0,1,2,2,26.8
"10403 _ 1 _ 2023","WY",10403,1,"BS",2023,"3/22/2023",2023-03-22,"2",45.04707,122.41298,"","PC",0,1,2,1,17.2
"10403 _ 1 _ 2023","WY",10403,1,"BS",2023,"3/22/2023",2023-03-22,"3",45.04689,122.41275,"","PC",0,1,2,1,15.46666667
"10403 _ 1 _ 2023","WY",10403,1,"BS",2023,"3/22/2023",2023-03-22,"4",45.04662,122.41285,"","S",0,1,1,2,25.56666667
"10403 _ 1 _ 2023","WY",10403,1,"BS",2023,"3/22/2023",2023-03-22,"5",45.04656,122.914338,"","S",0,1,1,1,17.86666667
"10403 _ 1 _ 2023","WY",10403,1,"BS",2023,"3/22/2023",2023-03-22,"6",45.04686,122.41355,"","PC",0,1,3,1,24.46666667
"10403 _ 1 _ 2023","WY",10403,1,"BS",2023,"3/22/2023",2023-03-22,"7",45.047102,122.413356,"","S",0,1,1,2,15.7
"10422 _ 1 _ 2023","WY",10422,1,"BS",2023,"3/30/2023",2023-03-30,"1",45.07703,122.41845,"12:50","C",0,2,1,4,27.86666667
"10422 _ 1 _ 2023","WY",10422,1,"BS",2023,"3/30/2023",2023-03-30,"2",45.07673,122.41828,"13:30","C",0,2,1,3,31.43333333
"10422 _ 1 _ 2023","WY",10422,1,"BS",2023,"3/30/2023",2023-03-30,"3",45.07678,122.41866,"13:00","C",0,1,1,4,26.73333333
"10422 _ 1 _ 2023","WY",10422,1,"BS",2023,"3/30/2023",2023-03-30,"4",45.07701,122.41889,"13:26","C",0,2,1,4,21.66666667
"10422 _ 1 _ 2023","WY",10422,1,"BS",2023,"3/30/2023",2023-03-30,"5",45.07724,122.41867,"13:45","C",0,2,1,4,29.4
"10422 _ 1 _ 2023","WY",10422,1,"BS",2023,"3/30/2023",2023-03-30,"6",45.07729,122.41823,"13:25","C",0,1,2,2,19.96666667
"10422 _ 1 _ 2023","WY",10422,1,"BS",2023,"3/30/2023",2023-03-30,"7",45.07708,122.41798,"13:10","C",0,1,1,3,27.06666667
"10439 _ 1 _ 2023","BLM",10439,1,"UU",2023,"5/4/2023",2023-05-04,"1",45.141325,122.350265,"13:40","R",4,3,2,1,25.96666667
"10439 _ 1 _ 2023","BLM",10439,1,"UU",2023,"5/4/2023",2023-05-04,"2",45.1409,122.350091,"14:20","R",4,3,1,2,19.76666667
"10439 _ 1 _ 2023","BLM",10439,1,"UU",2023,"5/4/2023",2023-05-04,"3",45.14094,122.350611,"13:55","R",4,2,1,4,19.63333333
"10439 _ 1 _ 2023","BLM",10439,1,"UU",2023,"5/4/2023",2023-05-04,"4",45.141264,122.350761,"14:30","R",3,2,1,4,27.36666667
"10439 _ 1 _ 2023","BLM",10439,1,"UU",2023,"5/4/2023",2023-05-04,"5",45.141539,122.350516,"14:55","C",2,2,1,4,28.56666667
"10439 _ 1 _ 2023","BLM",10439,1,"UU",2023,"5/4/2023",2023-05-04,"6",45.14148,122.35032,"14:36","R",4,1,4,1,31.3
"10439 _ 1 _ 2023","BLM",10439,1,"UU",2023,"5/4/2023",2023-05-04,"7",45.14109,122.34996,"14:10","R",4,1,1,3,24.63333333
"10444 _ 1 _ 2023","WY",10444,1,"HU",2023,"3/22/2023",2023-03-22,"1",45.04747,122.4257,"","S",0,1,1,4,20.93333333
"10444 _ 1 _ 2023","WY",10444,1,"HU",2023,"3/22/2023",2023-03-22,"2",45.0476,122.42527,"","S",0,1,1,4,19.83333333
"10444 _ 1 _ 2023","WY",10444,1,"HU",2023,"3/22/2023",2023-03-22,"3",45.047355,122.425299,"","S",0,1,1,4,19.13333333
"10444 _ 1 _ 2023","WY",10444,1,"HU",2023,"3/22/2023",2023-03-22,"4",45.047157,122.425789,"","S",0,0,1,4,18.46666667
"10444 _ 1 _ 2023","WY",10444,1,"HU",2023,"3/22/2023",2023-03-22,"5",45.04745,122.42603,"","S",0,2,1,4,19.66666667
"10444 _ 1 _ 2023","WY",10444,1,"HU",2023,"3/22/2023",2023-03-22,"6",45.04761,122.42603,"","S",0,1,1,4,25.3
"10444 _ 1 _ 2023","WY",10444,1,"HU",2023,"3/22/2023",2023-03-22,"7",45.04781,122.42561,"","S",0,1,1,4,14.1
"10467 _ 1 _ 2023","WY",10467,1,"HB",2023,"3/14/2023",2023-03-14,"1",45.079726,122.410628,"","PC",0,1,1,1,30.96666667
"10467 _ 1 _ 2023","WY",10467,1,"HB",2023,"3/14/2023",2023-03-14,"2",45.079585,122.410308,"","PC",0,1,3,1,27.9
"10467 _ 1 _ 2023","WY",10467,1,"HB",2023,"3/14/2023",2023-03-14,"3",45.0749142,122.410755,"","PC",0,1,3,1,31.33333333
"10467 _ 1 _ 2023","WY",10467,1,"HB",2023,"3/14/2023",2023-03-14,"4",45.0796,122.41102,"","PC",0,1,4,1,27.73333333
"10467 _ 1 _ 2023","WY",10467,1,"HB",2023,"3/14/2023",2023-03-14,"5",45.079878,122.411029,"","PC",0,1,2,1,25.06666667
"10467 _ 1 _ 2023","WY",10467,1,"HB",2023,"3/14/2023",2023-03-14,"6",45.080006,122.410608,"","PC",0,1,4,1,29.26666667
"10467 _ 1 _ 2023","WY",10467,1,"HB",2023,"3/14/2023",2023-03-14,"7",45.079881,122.410216,"","PC",0,1,3,1,30.46666667
"10488 _ 1 _ 2023","WY",10488,1,"HB",2023,"3/21/2023",2023-03-21,"1",45.05027,122.40631,"","S",0,1,1,1,17.4
"10488 _ 1 _ 2023","WY",10488,1,"HB",2023,"3/21/2023",2023-03-21,"2",45.05058,122.40639,"","S",0,1,1,1,14.76666667
"10488 _ 1 _ 2023","WY",10488,1,"HB",2023,"3/21/2023",2023-03-21,"3",45.05057,122.40608,"","S",0,1,1,1,21.06666667
"10488 _ 1 _ 2023","WY",10488,1,"HB",2023,"3/21/2023",2023-03-21,"4",45.05014,122.40591,"","S",0,1,1,1,20.9
"10488 _ 1 _ 2023","WY",10488,1,"HB",2023,"3/21/2023",2023-03-21,"5",45.04998,122.40621,"","S",0,1,1,0,19.73333333
"10488 _ 1 _ 2023","WY",10488,1,"HB",2023,"3/21/2023",2023-03-21,"6",45.05005,122.40658,"","S",0,1,1,1,22.3
"10488 _ 1 _ 2023","WY",10488,1,"HB",2023,"3/21/2023",2023-03-21,"7",45.05033,122.40676,"","S",0,1,1,1,14.36666667
"10498 _ 1 _ 2023","WY",10498,1,"HB",2023,"5/10/2023",2023-05-10,"1",45.043,122.37724,"8:05","S",0,1,2,1,17.96666667
"10498 _ 1 _ 2023","WY",10498,1,"HB",2023,"5/10/2023",2023-05-10,"2",45.04311,122.37684,"8:30","S",0,1,3,1,24.43333333
"10498 _ 1 _ 2023","WY",10498,1,"HB",2023,"5/10/2023",2023-05-10,"3",45.042828,122.376854,"8:00","S",0,1,2,1,21.6
"10498 _ 1 _ 2023","WY",10498,1,"HB",2023,"5/10/2023",2023-05-10,"4",45.042664,122.377114,"8:30","S",0,1,3,1,25.06666667
"10498 _ 1 _ 2023","WY",10498,1,"HB",2023,"5/10/2023",2023-05-10,"5",45.042739,122.377531,"8:50","S",0,1,4,1,24.7
"10498 _ 1 _ 2023","WY",10498,1,"HB",2023,"5/10/2023",2023-05-10,"6",45.04303,122.37759,"8:33","S",0,2,3,1,21.5
"10498 _ 1 _ 2023","WY",10498,1,"HB",2023,"5/10/2023",2023-05-10,"7",45.04327,122.37729,"8:10","S",0,2,3,1,27.2
"10506 _ 1 _ 2023","WY",10506,1,"BS",2023,"3/13/2023",2023-03-13,"1",45.083879,122.422965,"","R",0,1,1,1,39.9
"10506 _ 1 _ 2023","WY",10506,1,"BS",2023,"3/13/2023",2023-03-13,"2",45.083989,122.422676,"","SN",0,1,1,2,34.1
"10506 _ 1 _ 2023","WY",10506,1,"BS",2023,"3/13/2023",2023-03-13,"3",45.083636,122.422833,"","R",0,1,1,1,39.16666667
"10506 _ 1 _ 2023","WY",10506,1,"BS",2023,"3/13/2023",2023-03-13,"4",45.083653,122.422996,"","R",0,1,1,1,36.63333333
"10506 _ 1 _ 2023","WY",10506,1,"BS",2023,"3/13/2023",2023-03-13,"5",45.083696,122.423232,"","R",0,1,1,2,37.96666667
"10506 _ 1 _ 2023","WY",10506,1,"BS",2023,"3/13/2023",2023-03-13,"6",45.083997,122.423215,"","SN",0,1,1,1,34.7
"10506 _ 1 _ 2023","WY",10506,1,"BS",2023,"3/13/2023",2023-03-13,"7",45.084065,122.4228998,"","R",0,1,1,2,34.46666667
"10550 _ 1 _ 2023","WY",10550,1,"BS",2023,"3/30/2023",2023-03-30,"1",45.08009,122.39731,"9:30","C",0,1,1,3,32.46666667
"10550 _ 1 _ 2023","WY",10550,1,"BS",2023,"3/30/2023",2023-03-30,"2",45.07988,122.39745,"9:40","C",0,1,1,1,27
"10550 _ 1 _ 2023","WY",10550,1,"BS",2023,"3/30/2023",2023-03-30,"3",45.0802,122.39772,"9:30","C",0,1,2,2,25.03333333
"10550 _ 1 _ 2023","WY",10550,1,"BS",2023,"3/30/2023",2023-03-30,"4",45.08036,122.39754,"9:50","C",0,1,1,1,21.66666667
"10550 _ 1 _ 2023","WY",10550,1,"BS",2023,"3/30/2023",2023-03-30,"5",45.08038,122.39717,"10:00","C",0,1,1,3,21.4
"10550 _ 1 _ 2023","WY",10550,1,"BS",2023,"3/30/2023",2023-03-30,"6",45.08018,122.3969,"10:24","C",0,2,1,4,22
"10550 _ 1 _ 2023","WY",10550,1,"BS",2023,"3/30/2023",2023-03-30,"7",45.08,122.2969,"10:00","C",0,3,1,4,24.06666667
"10553 _ 1 _ 2023","WY",10553,1,"HB",2023,"5/10/2023",2023-05-10,"1",45.049503,122.366246,"12:00","S",0,1,2,1,15.43333333
"10553 _ 1 _ 2023","WY",10553,1,"HB",2023,"5/10/2023",2023-05-10,"2",45.049429,122.366635,"12:30","S",0,2,2,2,16.23333333
"10553 _ 1 _ 2023","WY",10553,1,"HB",2023,"5/10/2023",2023-05-10,"3",45.0497,122.36659,"12:12","S",0,1,2,1,21.36666667
"10553 _ 1 _ 2023","WY",10553,1,"HB",2023,"5/10/2023",2023-05-10,"4",45.04979,122.36616,"12:35","PC",0,2,2,2,17.83333333
"10553 _ 1 _ 2023","WY",10553,1,"HB",2023,"5/10/2023",2023-05-10,"5",45.0496,122.36576,"13:00","S",0,1,2,1,12.6
"10553 _ 1 _ 2023","WY",10553,1,"HB",2023,"5/10/2023",2023-05-10,"6",45.0494,122.36583,"12:45","S",0,1,1,2,13.46666667
"10553 _ 1 _ 2023","WY",10553,1,"HB",2023,"5/10/2023",2023-05-10,"7",45.0492,122.36607,"12:20","S",0,1,2,1,18.06666667
"10597 _ 1 _ 2023","WY",10597,1,"HB",2023,"3/23/2023",2023-03-23,"1",45.08598,45.3476,"","SN",0,1,1,2,31.26666667
"10597 _ 1 _ 2023","WY",10597,1,"HB",2023,"3/23/2023",2023-03-23,"2",45.08578,122.3481,"","SN",0,2,1,1,26.06666667
"10597 _ 1 _ 2023","WY",10597,1,"HB",2023,"3/23/2023",2023-03-23,"3",45.085971,122.348164,"","SN",0,1,1,1,22.03333333
"10597 _ 1 _ 2023","WY",10597,1,"HB",2023,"3/23/2023",2023-03-23,"4",45.086223,122.347995,"","R",0,1,4,1,27.8
"10597 _ 1 _ 2023","WY",10597,1,"HB",2023,"3/23/2023",2023-03-23,"5",45.08622,122.34785,"","SN",0,1,2,1,20
"10597 _ 1 _ 2023","WY",10597,1,"HB",2023,"3/23/2023",2023-03-23,"6",45.085989,122.347278,"","SN",0,1,2,0,17.83333333
"10597 _ 1 _ 2023","WY",10597,1,"HB",2023,"3/23/2023",2023-03-23,"7",45.08571,122.34752,"","SN",0,2,1,1,25.66666667
"10956 _ 1 _ 2023","WY",10956,1,"BS",2023,"3/28/2023",2023-03-28,"1",45.09761,122.4143,"12:40","C",0,2,1,2,25.23333333
"10956 _ 1 _ 2023","WY",10956,1,"BS",2023,"3/28/2023",2023-03-28,"2",45.09789,122.41398,"12:50","C",0,2,2,2,26.63333333
"10956 _ 1 _ 2023","WY",10956,1,"BS",2023,"3/28/2023",2023-03-28,"3",45.09765,122.41381,"13:10","C",0,2,1,2,22.66666667
"10956 _ 1 _ 2023","WY",10956,1,"BS",2023,"3/28/2023",2023-03-28,"4",45.097386,122.414016,"12:40","C",0,2,1,3,25.86666667
"10956 _ 1 _ 2023","WY",10956,1,"BS",2023,"3/28/2023",2023-03-28,"5",45.097337,122.414513,"13:15","C",0,2,1,1,24.1
"10956 _ 1 _ 2023","WY",10956,1,"BS",2023,"3/28/2023",2023-03-28,"6",45.09765,122.41464,"13:35","C",0,1,1,2,27.36666667
"10956 _ 1 _ 2023","WY",10956,1,"BS",2023,"3/28/2023",2023-03-28,"7",45.09786,122.41439,"13:10","C",0,2,1,4,27.43333333
"10963 _ 1 _ 2023","WY",10963,1,"UU",2023,"3/21/2023",2023-03-21,"1",45.06031,122.41493,"","S",4,2,1,4,28.43333333
"10963 _ 1 _ 2023","WY",10963,1,"UU",2023,"3/21/2023",2023-03-21,"2",45.06015,122.4146,"","S",4,1,4,4,18
"10963 _ 1 _ 2023","WY",10963,1,"UU",2023,"3/21/2023",2023-03-21,"3",45.060078,122.415089,"","S",4,1,3,4,20.83333333
"10963 _ 1 _ 2023","WY",10963,1,"UU",2023,"3/21/2023",2023-03-21,"4",45.06048,122.41551,"","S",3,1,1,4,24.56666667
"10963 _ 1 _ 2023","WY",10963,1,"UU",2023,"3/21/2023",2023-03-21,"5",45.06065,122.41523,"","S",3,1,2,4,23.36666667
"10963 _ 1 _ 2023","WY",10963,1,"UU",2023,"3/21/2023",2023-03-21,"6",45.06068,122.414902,"","S",4,1,4,4,24.7
"10963 _ 1 _ 2023","WY",10963,1,"UU",2023,"3/21/2023",2023-03-21,"7",45.060511,122.414784,"","S",4,1,2,3,19.86666667
"10965 _ 1 _ 2023","WY",10965,1,"HB",2023,"5/9/2023",2023-05-09,"1",45.03403,122.38007,"13:30","PC",0,2,2,2,33.1
"10965 _ 1 _ 2023","WY",10965,1,"HB",2023,"5/9/2023",2023-05-09,"2",45.03373,122.3801,"13:54","PC",0,1,2,1,25.26666667
"10965 _ 1 _ 2023","WY",10965,1,"HB",2023,"5/9/2023",2023-05-09,"3",45.03382,122.38042,"13:45","PC",0,1,2,1,34.4
"10965 _ 1 _ 2023","WY",10965,1,"HB",2023,"5/9/2023",2023-05-09,"4",45.03408,122.38048,"14:05","PC",0,1,2,1,29.03333333
"10965 _ 1 _ 2023","WY",10965,1,"HB",2023,"5/9/2023",2023-05-09,"5",45.034289,122.380207,"14:20","PC",0,1,3,1,24.66666667
"10965 _ 1 _ 2023","WY",10965,1,"HB",2023,"5/9/2023",2023-05-09,"6",45.034214,122.379746,"14:00","PC",0,1,2,1,32.16666667
"10965 _ 1 _ 2023","WY",10965,1,"HB",2023,"5/9/2023",2023-05-09,"7",45.033884,122.379638,"13:35","C",0,2,2,2,30.33333333
"10968 _ 1 _ 2023","WY",10968,1,"HU",2023,"5/3/2023",2023-05-03,"1",45.019687,122.413868,"9:10","PC",0,1,2,3,17.86666667
"10968 _ 1 _ 2023","WY",10968,1,"HU",2023,"5/3/2023",2023-05-03,"2",45.019502,122.414072,"9:30","S",0,1,2,2,18.06666667
"10968 _ 1 _ 2023","WY",10968,1,"HU",2023,"5/3/2023",2023-05-03,"3",45.01973,122.41426,"9:23","S",0,2,1,4,19.06666667
"10968 _ 1 _ 2023","WY",10968,1,"HU",2023,"5/3/2023",2023-05-03,"4",45.01998,122.41393,"9:47","S",0,1,1,2,14.03333333
"10968 _ 1 _ 2023","WY",10968,1,"HU",2023,"5/3/2023",2023-05-03,"5",45.019826,122.413548,"10:00","PC",0,1,1,3,12.43333333
"10968 _ 1 _ 2023","WY",10968,1,"HU",2023,"5/3/2023",2023-05-03,"6",45.01962,122.41336,"9:55","PC",0,1,1,3,15.8
"10968 _ 1 _ 2023","WY",10968,1,"HU",2023,"5/3/2023",2023-05-03,"7",45.01937,122.41367,"9:30","S",0,1,1,4,12
"11079 _ 1 _ 2023","WY",11079,1,"HB",2023,"3/20/2023",2023-03-20,"1",45.01457,122.51431,"","C",0,1,2,2,28.06666667
"11079 _ 1 _ 2023","WY",11079,1,"HB",2023,"3/20/2023",2023-03-20,"2",45.01473,122.51467,"","C",0,1,3,1,33.46666667
"11079 _ 1 _ 2023","WY",11079,1,"HB",2023,"3/20/2023",2023-03-20,"3",45.014829,122.514361,"","C",0,1,3,1,26.36666667
"11079 _ 1 _ 2023","WY",11079,1,"HB",2023,"3/20/2023",2023-03-20,"4",45.014602,122.513933,"","R",0,1,4,1,25.73333333
"11079 _ 1 _ 2023","WY",11079,1,"HB",2023,"3/20/2023",2023-03-20,"5",45.01431,122.51402,"","R",0,1,3,3,24.7
"11079 _ 1 _ 2023","WY",11079,1,"HB",2023,"3/20/2023",2023-03-20,"6",45.01431,122.51431,"","C",0,1,3,1,31.76666667
"11079 _ 1 _ 2023","WY",11079,1,"HB",2023,"3/20/2023",2023-03-20,"7",45.014383,122.514662,"","C",0,1,4,1,26.6
"12033 _ 1 _ 2023","ODF",12033,1,"BU",2023,"4/26/2023",2023-04-26,"1",44.72604,122.41039,"12:26","S",1,2,4,2,28.36666667
"12033 _ 1 _ 2023","ODF",12033,1,"BU",2023,"4/26/2023",2023-04-26,"2",45.72581,122.41048,"12:57","S",1,2,4,3,18.96666667
"12033 _ 1 _ 2023","ODF",12033,1,"BU",2023,"4/26/2023",2023-04-26,"3",44.726,122.41079,"12:55","S",3,1,3,1,22.66666667
"12033 _ 1 _ 2023","ODF",12033,1,"BU",2023,"4/26/2023",2023-04-26,"4",44.72618,122.41078,"13:20","S",2,1,4,1,22.83333333
"12033 _ 1 _ 2023","ODF",12033,1,"BU",2023,"4/26/2023",2023-04-26,"5",44.7263,122.41032,"13:45","S",2,2,4,1,19.1
"12033 _ 1 _ 2023","ODF",12033,1,"BU",2023,"4/26/2023",2023-04-26,"6",44.726067,122.410061,"13:05","S",2,1,4,1,25
"12033 _ 1 _ 2023","ODF",12033,1,"BU",2023,"4/26/2023",2023-04-26,"7",44.725837,122.410052,"12:40","S",2,2,4,1,25.43333333
"12098 _ 1 _ 2023","ODF",12098,1,"BU",2023,"5/2/2023",2023-05-02,"1",44.81936,122.6042,"9:48","C",1,1,4,1,28.23333333
"12098 _ 1 _ 2023","ODF",12098,1,"BU",2023,"5/2/2023",2023-05-02,"2",44.81948,122.60449,"10:11","C",3,1,4,2,24.9
"12098 _ 1 _ 2023","ODF",12098,1,"BU",2023,"5/2/2023",2023-05-02,"3",44.81949,122.60403,"10:10","C",3,2,3,2,29.4
