"landowner","stand","trt","year","date","obs","subplot","pass","spp","cover_obj","substrate","age_class","date_mdy","svl","id","recap"
"PB","34007","HB",2024,"4/22/2024","JW",4,"1","ENES","W","W","A",2024-04-22,NA,"",0
"PB","34007","HB",2024,"4/22/2024","RMM",7,"3","ENES","W","L","A",2024-04-22,46,"",0
"PB","34007","HB",2024,"4/22/2024","SLG",7,"1","OSS","W","W","A",2024-04-22,35,"SG01",0
"PB","34007","HB",2024,"4/22/2024","SLG",7,"1","OSS","W","W","A",2024-04-22,39,"SG02",0
"PB","33651","HB",2024,"4/23/2024","JW",4,"1","OSS","W","W","A",2024-04-23,40,"JW01",0
"PB","33651","HB",2024,"4/23/2024","JW",4,"1","OSS","W","W","A",2024-04-23,44,"JW02",0
"PB","408180","HB",2024,"4/23/2024","SLG",1,"2","OSS","W","W","A",2024-04-23,32,"SG01",0
"PB","408180","HB",2024,"4/23/2024","JW",3,"1","OSS","W","W","A",2024-04-23,40,"JW01",0
"BLM","10302","UU",2024,"4/24/2024","RMM",7,"1","OSS","W","L","A",2024-04-24,56,"RM01",0
"BLM","10302","UU",2024,"4/24/2024","RMM",6,"1","OSS","W","L","A",2024-04-24,38,"RM03",0
"BLM","10302","UU",2024,"4/24/2024","RMM",4,"3","OSS","W","L","A",2024-04-24,36,"RM04",0
"BLM","10302","UU",2024,"4/24/2024","JW",6,"2","OSS","W","W","A",2024-04-24,41,"JW01",0
"BLM","10302","UU",2024,"4/24/2024","SLG",2,"1","OSS","W","W","A",2024-04-24,35,"SG01",0
"PB","408162","HU",2024,"4/24/2024","JW",1,"2","ENES","W","W","A",2024-04-24,NA,"",0
"PB","408162","HU",2024,"4/24/2024","JW",4,"1","OSS","W","W","A",2024-04-24,38,"JW01",0
"PB","408162","HU",2024,"4/24/2024","JW",1,"2","OSS","W","W","A",2024-04-24,32,"JW02",0
"PB","408162","HU",2024,"4/24/2024","JW",1,"2","OSS","W","W","A",2024-04-24,40,"JW03",0
"PB","408162","HU",2024,"4/24/2024","JW",2,"3","OSS","W","W","A",2024-04-24,38,"JW04",0
"PB","408162","HU",2024,"4/24/2024","RMM",2,"1","OSS","W","L","A",2024-04-24,43,"RM01",0
"PB","408162","HU",2024,"4/24/2024","RMM",4,"2","OSS","W","D","A",2024-04-24,32,"RM02",0
"BLM","10439","UU",2024,"4/25/2024","RMM",7,"3","ENES","O","D","A",2024-04-25,NA,"",0
"BLM","10439","UU",2024,"4/25/2024","JW",6,"2","ENES","W","W","A",2024-04-25,NA,"",0
"BLM","10439","UU",2024,"4/25/2024","JW",7,"2","ENES","W","W","A",2024-04-25,NA,"",0
"BLM","10439","UU",2024,"4/25/2024","SLG",3,"3","OSS","W","W","A",2024-04-25,32,"SG01",0
"BLM","10439","UU",2024,"4/25/2024","SLG",4,"3","OSS","W","W","A",2024-04-25,34,"SG02",0
"BLM","10439","UU",2024,"4/25/2024","RMM",3,"2","OSS","W","L","A",2024-04-25,44,"RM01",0
"BLM","10439","UU",2024,"4/25/2024","RMM",4,"2","OSS","W","L","A",2024-04-25,47,"RM02",0
"BLM","10439","UU",2024,"4/25/2024","RMM",7,"3","OSS","W","W","A",2024-04-25,38,"RM03",0
"BLM","10439","UU",2024,"4/25/2024","JW",6,"2","OSS","W","W","A",2024-04-25,39,"JW01",0
"BLM","10439","UU",2024,"4/25/2024","JW",6,"2","OSS","W","W","A",2024-04-25,40,"JW02",0
"PB","33810","HU",2024,"4/25/2024","JW",1,"2","OSS","W","W","A",2024-04-25,42,"JW01",0
"PB","33810","HU",2024,"4/25/2024","RMM",7,"2","OSS","W","W","A",2024-04-25,47,"RM01",0
"WY","20053","HU",2024,"5/1/2024","RMM",1,"1","OSS","W","L","A",2024-05-01,48,"RM01",0
"WY","20053","HU",2024,"5/1/2024","RMM",4,"2","ENES","W","W","A",2024-05-01,NA,"",0
"WY","20053","HU",2024,"5/1/2024","RMM",5,"3","OSS","W","W","A",2024-05-01,40,"RM02",0
"WY","20053","HU",2024,"5/1/2024","SLG",6,"1","OSS","W","W","A",2024-05-01,35,"SG01",0
"WY","20053","HU",2024,"5/1/2024","SLG",2,"2","ENES","W","W","A",2024-05-01,NA,"",0
"WY","20053","HU",2024,"5/1/2024","SLG",1,"3","OSS","W","W","A",2024-05-01,39,"SG02",0
"WY","20053","HU",2024,"5/1/2024","JW",4,"1","ENES","W","W","A",2024-05-01,NA,"",0
"WY","20039","HU",2024,"5/1/2024","RMM",1,"2","ENES","W","W","A",2024-05-01,NA,"",0
"WY","20039","HU",2024,"5/1/2024","SLG",3,"1","ENES","W","D","A",2024-05-01,NA,"",0
"WY","20039","HU",2024,"5/1/2024","JW",3,"2","ENES","W","W","A",2024-05-01,NA,"",0
"WY","20039","HU",2024,"5/1/2024","JW",5,"3","ENES","W","W","A",2024-05-01,NA,"",0
"ODF","12806","BU",2024,"5/2/2024","RMM",6,"1","OSS","W","L","A",2024-05-02,36,"RM01",0
"ODF","12806","BU",2024,"5/2/2024","RMM",3,"3","OSS","W","W","A",2024-05-02,40,"RM03",0
"ODF","12806","BU",2024,"5/2/2024","RMM",3,"3","OSS","W","W","A",2024-05-02,32,"RM04",0
"ODF","12806","BU",2024,"5/2/2024","SLG",4,"1","OSS","W","W","A",2024-05-02,37,"SG01",0
"ODF","12806","BU",2024,"5/2/2024","SLG",3,"1","OSS","W","W","A",2024-05-02,35,"SG02",0
"ODF","12349","BU",2024,"5/2/2024","SLG",5,"1","ENES","W","W","A",2024-05-02,NA,"",0
"ODF","12349","BU",2024,"5/2/2024","SLG",5,"1","OSS","W","W","A",2024-05-02,36,"SG01",0
"ODF","12349","BU",2024,"5/2/2024","SLG",3,"3","ENES","W","D","A",2024-05-02,NA,"",0
"ODF","12349","BU",2024,"5/2/2024","SLG",3,"3","ENES","W","D","A",2024-05-02,NA,"",0
"ODF","12349","BU",2024,"5/2/2024","SLG",6,"3","OSS","W","W","A",2024-05-02,39,"SG02",0
"ODF","12349","BU",2024,"5/2/2024","CH",3,"1","ENES","W","D","A",2024-05-02,NA,"",0
"ODF","12349","BU",2024,"5/2/2024","CH",3,"1","AMGR","W","W","A",2024-05-02,NA,"",0
"ODF","12349","BU",2024,"5/2/2024","JW",3,"2","ENES","W","D","A",2024-05-02,NA,"",0
"ODF","12349","BU",2024,"5/2/2024","RMM",6,"1","OSS","W","L","A",2024-05-02,40,"RM01",0
"ODF","12349","BU",2024,"5/2/2024","RMM",6,"1","OSS","W","L","A",2024-05-02,45,"RM02",0
"ODF","12349","BU",2024,"5/2/2024","RMM",6,"1","AMGR","W","L","A",2024-05-02,NA,"",0
"ODF","12805","BU",2024,"4/30/2024","JW",6,"1","AMGR","W","D","A",2024-04-30,NA,"",0
"ODF","12805","BU",2024,"4/30/2024","RMM",6,"3","OSS","W","L","A",2024-04-30,52,"RM01",0
"ODF","12804","BU",2024,"4/30/2024","RMM",1,"2","OSS","W","L","A",2024-04-30,41,"RM01",0
"ODF","12804","BU",2024,"4/30/2024","RMM",1,"2","OSS","W","D","A",2024-04-30,48,"RM02",0
"ODF","12804","BU",2024,"4/30/2024","RMM",1,"2","OSS","W","L","A",2024-04-30,36,"RM03",0
"ODF","12804","BU",2024,"4/30/2024","RMM",1,"2","OSS","W","L","A",2024-04-30,46,"RM04",0
"ODF","12804","BU",2024,"4/30/2024","RMM",6,"3","OSS","W","W","A",2024-04-30,41,"RM05",0
"ODF","12804","BU",2024,"4/30/2024","JW",2,"1","OSS","W","W","A",2024-04-30,45,"JW01",0
"ODF","12804","BU",2024,"4/30/2024","JW",6,"2","OSS","W","W","A",2024-04-30,39,"JW02",0
"ODF","12804","BU",2024,"4/30/2024","JW",6,"2","OSS","W","W","A",2024-04-30,42,"JW03",0
"ODF","12033","BU",2024,"5/13/2024","JW",5,"1","OSS","W","W","A",2024-05-13,32,"JW01",0
"ODF","12033","BU",2024,"5/13/2024","RMM",4,"3","OSS","W","W","A",2024-05-13,53,"RM01",0
"ODF","12421","BU",2024,"5/14/2024","RMM",5,"1","OSS","W","W","A",2024-05-14,47,"RM01",0
"ODF","12421","BU",2024,"5/14/2024","JW",3,"1","ENES","W","W","A",2024-05-14,NA,"",0
"ODF","12421","BU",2024,"5/14/2024","JW",4,"2","OSS","W","W","A",2024-05-14,40,"JW01",0
"ODF","12441","BU",2024,"5/14/2024","RMM",7,"2","OSS","W","L","A",2024-05-14,37,"RM01",0
"ODF","12441","BU",2024,"5/14/2024","RMM",7,"2","ENES","W","L","A",2024-05-14,NA,"",0
"ODF","12441","BU",2024,"5/14/2024","RMM",2,"3","OSS","W","L","A",2024-05-14,45,"RM02",0
"ODF","12441","BU",2024,"5/14/2024","JW",7,"1","OSS","W","W","A",2024-05-14,31,"JW01",0
"ODF","12441","BU",2024,"5/14/2024","JW",7,"1","OSS","W","W","A",2024-05-14,30,"JW02",0
"WY","10444","HU",2024,"5/15/2024","LS",1,"1","OSS","W","W","A",2024-05-15,34,"LS01",0
"WY","10444","HU",2024,"5/15/2024","JW",7,"3","OSS","W","W","A",2024-05-15,39,"JW01",0
"WY","11084","BS",2024,"5/9/2024","JW",1,"2","OSS","R","D","A",2024-05-09,40,"JW01",0
"WY","11084","BS",2024,"5/9/2024","RMM",6,"3","OSS","W","L","A",2024-05-09,NA,"RM01",0
"WY","10968","HU",2024,"5/7/2024","SLG",4,"2","OSS","W","W","A",2024-05-07,33,"SG01",0
"WY","10968","HU",2024,"5/7/2024","RMM",1,"2","OSS","W","W","A",2024-05-07,47,"RM01",0
"WY","10968","HU",2024,"5/7/2024","RMM",7,"2","OSS","W","W","A",2024-05-07,41,"RM02",0
"WY","10399","HU",2024,"5/7/2024","JW",6,"2","OSS","W","D","A",2024-05-07,38,"JW02",0
"WY","10153","BS",2024,"5/8/2024","RMM",6,"1","OSS","W","W","A",2024-05-08,50,"RM01",0
"WY","10153","BS",2024,"5/8/2024","RMM",6,"1","OSS","W","W","A",2024-05-08,46,"RM02",0
"WY","10153","BS",2024,"5/8/2024","RMM",1,"3","OSS","W","W","A",2024-05-08,45,"RM03",0
"WY","10153","BS",2024,"5/8/2024","JW",1,"1","OSS","W","W","A",2024-05-08,42,"JW01",0
"WY","10153","BS",2024,"5/8/2024","JW",4,"2","OSS","W","D","A",2024-05-08,45,"JW02",0
"WY","10153","BS",2024,"5/8/2024","JW",4,"2","OSS","W","D","A",2024-05-08,43,"JW03",0
"WY","10153","BS",2024,"5/8/2024","SLG",7,"2","OSS","W","W","A",2024-05-08,42,"SG01",0
"WY","11081","BS",2024,"5/9/2024","RMM",4,"1","ENES","W","L","A",2024-05-09,NA,"",0
"WY","10597","HB",2024,"5/21/2024","RMM",7,"2","OSS","W","L","A",2024-05-21,54,"RM01",0
"WY","10471.1","BS",2024,"5/27/2024","RMM",3,"2","OSS","W","D","A",2024-05-27,48,"RM01",0
"WY","10471.2","BS",2024,"5/27/2024","SLG",7,"1","OSS","W","D","A",2024-05-27,42,"SG01",0
"ODF","12033","BU",2024,"5/13/2024","RMM",3,"3","OSS","W","W","J",2024-05-13,NA,"",0
"ODF","12804","BU",2024,"4/30/2024","JW",2,"1","OSS","W","W","J",2024-04-30,19,"",0
"BLM","29121","UU",2024,"3/25/2024","JW",5,"1","ENES","W","W","J",2024-03-25,NA,"",0
"BLM","29122","UU",2024,"3/27/2024","SLG",6,"1","ENES","W","W","J",2024-03-27,20,"",0
"BLM","29123","UU",2024,"3/27/2024","JW",1,"3","ENES","W","L","J",2024-03-27,NA,"",0
"BLM","29123","UU",2024,"3/27/2024","RMM",3,"2","ENES","W","W","J",2024-03-27,NA,"",0
"BLM","13924","UU",2024,"4/1/2024","SLG",5,"2","ENES","W","W","J",2024-04-01,23,"",0
"BLM","29431","UU",2024,"4/2/2024","RMM",2,"2","ENES","W","L","J",2024-04-02,20,"",0
"ODF","12364","HB",2024,"4/15/2024","JW",4,"1","ENES","W","W","J",2024-04-15,NA,"",0
"BLM","29889","UU",2024,"4/16/2024","JW",1,"1","ENES","W","W","J",2024-04-16,NA,"",0
"PB","33651","HB",2024,"4/23/2024","RMM",4,"2","OSS","W","L","J",2024-04-23,24,"RM01",0
"PB","408162","HU",2024,"4/24/2024","JW",5,"2","ENES","W","W","J",2024-04-24,NA,"",0
"BLM","10439","UU",2024,"4/25/2024","RMM",7,"3","ENES","W","L","J",2024-04-25,NA,"",0
"BLM","10439","UU",2024,"4/25/2024","JW",7,"2","OSS","W","W","J",2024-04-25,19,"JW03",0
"ODF","12806","BU",2024,"5/2/2024","JW",2,"1","ENES","W","W","J",2024-05-02,NA,"",0
"ODF","12349","BU",2024,"5/2/2024","CH",7,"2","ENES","W","D","J",2024-05-02,NA,"",0
"ODF","12805","BU",2024,"4/30/2024","RMM",2,"3","ENES","W","L","J",2024-04-30,NA,"",0
"ODF","12441","BU",2024,"5/14/2024","RMM",3,"1","TAGR","W","W","J",2024-05-14,NA,"",0
"ODF","12441","BU",2024,"5/14/2024","RMM",4,"1","ENES","W","W","J",2024-05-14,NA,"",0
"WY","11081","BS",2024,"5/9/2024","SLG",5,"1","OSS","W","W","J",2024-05-09,15,"SG01",0
"PB","408162","HU",2024,"4/24/2024","RMM",7,"3","OSS","W","W","SA",2024-04-24,27,"",0
"BLM","10302","UU",2024,"4/24/2024","SLG",7,"3","OSS","W","W","SA",2024-04-24,29,"RM02",1
"BLM","29121","UU",2024,"3/25/2024","JW",5,"1","ENES","W","W","SA",2024-03-25,NA,"",0
"BLM","29121","UU",2024,"3/25/2024","JW",5,"1","ENES","W","W","SA",2024-03-25,NA,"",0
"BLM","29121","UU",2024,"3/25/2024","JW",4,"1","OSS","W","W","SA",2024-03-25,29,"JW01",0
"BLM","29121","UU",2024,"3/25/2024","SLG",4,"3","OSS","W","W","SA",2024-03-25,25,"SG01",0
"BLM","29122","UU",2024,"3/27/2024","JW",6,"2","ENES","W","D","SA",2024-03-27,NA,"",0
"BLM","13924","UU",2024,"4/1/2024","RMM",2,"2","PLDU","R","R","SA",2024-04-01,NA,"",0
"BLM","29431","UU",2024,"4/2/2024","RMM",5,"3","ENES","W","L","SA",2024-04-02,32,"",0
"WY","10422.1","BS",2024,"4/9/2024","SLG",4,"1","OSS","W","W","SA",2024-04-09,26,"SG01",0
"PB","408178.1","BS",2024,"4/10/2024","RMM",6,"1","ENES","W","L","SA",2024-04-10,NA,"",0
"PB","408178.2","HB",2024,"4/10/2024","JW",4,"1","ENES","W","W","SA",2024-04-10,NA,"",0
"PB","408178.2","HB",2024,"4/10/2024","JW",1,"3","ENES","W","W","SA",2024-04-10,NA,"",0
"PB","408178.2","HB",2024,"4/10/2024","SLG",3,"3","ENES","W","D","SA",2024-04-10,NA,"",0
"BLM","12239","UU",2024,"4/11/2024","JW",2,"2","ENES","W","W","SA",2024-04-11,NA,"",0
"BLM","29429","UU",2024,"4/16/2024","RMM",2,"1","ENES","W","L","SA",2024-04-16,NA,"",0
"BLM","29429","UU",2024,"4/16/2024","SLG",5,"3","OSS","W","W","SA",2024-04-16,22,"SG02",0
"BLM","29889","UU",2024,"4/16/2024","JW",4,"2","ENES","W","W","SA",2024-04-16,NA,"",0
"ODF","12560","BU",2024,"4/18/2024","JW",5,"1","ENES","W","W","SA",2024-04-18,NA,"",0
"ODF","12560","BU",2024,"4/18/2024","RMM",6,"1","TAGR","W","L","SA",2024-04-18,NA,"",0
"PB","408180","HB",2024,"4/23/2024","JW",3,"1","OSS","W","W","SA",2024-04-23,30,"JW02",0
"BLM","10302","UU",2024,"4/24/2024","JW",6,"2","ENES","W","W","SA",2024-04-24,NA,"",0
"BLM","10302","UU",2024,"4/24/2024","RMM",7,"1","OSS","W","L","SA",2024-04-24,29,"RM02",0
"BLM","10302","UU",2024,"4/24/2024","JW",6,"2","OSS","W","W","SA",2024-04-24,24,"JW02",0
"PB","408162","HU",2024,"4/24/2024","JW",2,"3","OSS","W","W","SA",2024-04-24,28,"JW05",0
"PB","408162","HU",2024,"4/24/2024","SLG",7,"1","OSS","W","W","SA",2024-04-24,22,"SG01",0
"WY","20039","HU",2024,"5/1/2024","JW",1,"1","ENES","W","W","SA",2024-05-01,NA,"",0
"ODF","12806","BU",2024,"5/2/2024","RMM",7,"3","ENES","W","W","SA",2024-05-02,NA,"",0
"ODF","12806","BU",2024,"5/2/2024","RMM",7,"3","OSS","W","L","SA",2024-05-02,23,"RM02",0
"ODF","12806","BU",2024,"5/2/2024","JW",7,"1","OSS","W","W","SA",2024-05-02,28,"CH01",0
"ODF","12349","BU",2024,"5/2/2024","SLG",6,"3","OSS","W","W","SA",2024-05-02,28,"SG03",0
"ODF","12349","BU",2024,"5/2/2024","SLG",6,"3","ENES","W","L","SA",2024-05-02,NA,"",0
"ODF","12349","BU",2024,"5/2/2024","CH",1,"1","OSS","W","W","SA",2024-05-02,27,"CH02",0
"ODF","12349","BU",2024,"5/2/2024","CH",6,"2","OSS","W","W","SA",2024-05-02,24,"CH03",0
"ODF","12349","BU",2024,"5/2/2024","CH",6,"2","ENES","W","W","SA",2024-05-02,NA,"",0
"ODF","12349","BU",2024,"5/2/2024","RMM",4,"3","ENES","W","W","SA",2024-05-02,NA,"",0
"ODF","12805","BU",2024,"4/30/2024","JW",2,"2","OSS","W","W","SA",2024-04-30,29,"JW01",0
"ODF","12033","BU",2024,"5/13/2024","JW",3,"1","ENES","W","W","SA",2024-05-13,NA,"",0
"ODF","12033","BU",2024,"5/13/2024","RMM",1,"1","TAGR","W","W","SA",2024-05-13,NA,"",0
"ODF","12033","BU",2024,"5/13/2024","RMM",3,"3","OSS","W","W","SA",2024-05-13,29,"RM02",0
"ODF","12441","BU",2024,"5/14/2024","JW",2,"2","OSS","W","W","SA",2024-05-14,28,"JW03",0
"WY","10968","HU",2024,"5/7/2024","SLG",5,"2","OSS","W","W","SA",2024-05-07,24,"SG02",0
"WY","10968","HU",2024,"5/7/2024","JW",4,"3","OSS","W","W","SA",2024-05-07,27,"JW01",0
"WY","10153","BS",2024,"5/8/2024","JW",5,"3","OSS","D","D","SA",2024-05-08,22,"JW04",0
"ODF","12098","BU",2024,"5/23/2024","JW",7,"1","ENES","W","D","SA",2024-05-23,NA,"",0
"ODF","12098","BU",2024,"5/23/2024","SLG",4,"1","OSS","W","W","SA",2024-05-23,30,"SG01",0
"WY","10506","BS",2024,"3/26/2024","RMM",3,"3","OSS","W","D","A",2024-03-26,NA,"JW01",1
"WY","10399","HU",2024,"5/7/2024","RMM",7,"2","OSS","D","W","A",2024-05-07,NA,"JW01",1
