"site_id","landowner","stand","site_rep","trt","year","date","date_mdy","subplot","lat","long","time","weather","canopy_cov","dwd_cov","veg_cov","fwd_cov","soil_moist_avg","jul_date","dwd_count","stumps","logs","size_cl","decay_cl","char_cl","length_cl","plot_id","tree_farm","elev","temp","hum","obs","PLDU","ENES","OSS","TAGR","AMGR","ANFE"
"10024 _ 1 _ 2023","WY",10024,1,"BS",2023,"5/22/23","23-05-22",7,45.08622,122.43843,"8:42","C",0,2,3,3,18.8,142,12,0,12,1.7,1.9,2,1.6,"10024 _ 1 _ 2023 _ 7","CL",830,58.1,63.3,NA,0,0,0,0,0,0
"10078 _ 1 _ 2023","WY",10078,1,"HB",2023,"3/15/23","23-03-15",1,45.094977,122.396292,"","SN",0,1,3,1,26.4,74,5,4,1,1.4,1.8,3,0.4,"10078 _ 1 _ 2023 _ 1","CL",1851.71,37.1,89.7,NA,0,0,0,0,0,0
"10078 _ 1 _ 2023","WY",10078,1,"HB",2023,"3/15/23","23-03-15",2,45.095162,122.39622,"","C",0,1,4,1,28.33333333,74,14,9,5,1.4,1.6,3,0.8,"10078 _ 1 _ 2023 _ 2","CL",1851.71,36.2,86.3,NA,0,0,0,0,0,0
"10078 _ 1 _ 2023","WY",10078,1,"HB",2023,"3/15/23","23-03-15",3,45.095056,122.396072,"","SN",0,1,3,1,26.06666667,74,9,5,4,1.4,1.9,3,1,"10078 _ 1 _ 2023 _ 3","CL",1851.71,36.8,83.2,NA,0,0,0,0,0,0
"10078 _ 1 _ 2023","WY",10078,1,"HB",2023,"3/15/23","23-03-15",4,45.094895,122.396144,"","C",0,1,3,1,32.23333333,74,9,6,3,1.3,1.6,3,0.8,"10078 _ 1 _ 2023 _ 4","CL",1851.71,36.2,92.1,NA,0,0,0,0,0,0
"10078 _ 1 _ 2023","WY",10078,1,"HB",2023,"3/15/23","23-03-15",5,45.09457,122.39622,"","PC",0,1,3,1,33.03333333,74,9,2,7,1.1,2.2,3,1.9,"10078 _ 1 _ 2023 _ 5","CL",1851.71,39.1,87.4,NA,0,0,0,0,0,0
"10078 _ 1 _ 2023","WY",10078,1,"HB",2023,"3/15/23","23-03-15",6,45.09463,122.39655,"","PC",0,1,4,1,31.83333333,74,6,5,1,1.3,2.5,2.3,0.3,"10078 _ 1 _ 2023 _ 6","CL",1851.71,38.5,91.9,NA,0,0,0,0,0,0
"10078 _ 1 _ 2023","WY",10078,1,"HB",2023,"3/15/23","23-03-15",7,45.095091,122.396354,"","PC",0,1,4,1,33,74,8,6,2,1.6,2.8,3,0.5,"10078 _ 1 _ 2023 _ 7","CL",1851.71,38,98.3,NA,0,0,0,0,0,0
"10153 _ 1 _ 2023","WY",10153,1,"BS",2023,"5/4/23","23-05-04",1,45.11827,122.34462,"10:30","R",0,2,2,2,18.93333333,124,8,5,3,1.9,2.4,3,1.1,"10153 _ 1 _ 2023 _ 1","CL",2725,45.2,91.4,NA,0,0,0,0,0,0
"10153 _ 1 _ 2023","WY",10153,1,"BS",2023,"5/4/23","23-05-04",2,45.11856,122.34462,"11:00","R",0,2,3,1,21.86666667,124,12,9,3,1.3,2.3,3,0.7,"10153 _ 1 _ 2023 _ 2","CL",2742,44.7,94.9,NA,0,0,0,0,0,0
"10153 _ 1 _ 2023","WY",10153,1,"BS",2023,"5/4/23","23-05-04",3,45.11854,122.34429,"10:45","R",0,1,3,1,30.1,124,6,2,4,1.7,2.2,3,1.8,"10153 _ 1 _ 2023 _ 3","CL",2736,46,90,NA,0,0,0,0,0,0
"10153 _ 1 _ 2023","WY",10153,1,"BS",2023,"5/4/23","23-05-04",4,45.11827,122.34402,"11:00","R",0,1,2,1,27.03333333,124,5,3,2,1.4,2.6,3,0.8,"10153 _ 1 _ 2023 _ 4","CL",2715,46,92.6,NA,0,1,0,0,0,0
"10153 _ 1 _ 2023","WY",10153,1,"BS",2023,"5/4/23","23-05-04",5,45.118,122.34437,"11:30","R",0,1,2,1,21.03333333,124,6,0,6,1,2,3,2.3,"10153 _ 1 _ 2023 _ 5","CL",2707,44.2,96.9,NA,0,0,0,0,0,0
"10153 _ 1 _ 2023","WY",10153,1,"BS",2023,"5/4/23","23-05-04",6,45.118024,122.344716,"10:30","R",0,2,2,3,29.4,124,5,1,4,1,3,3,1,"10153 _ 1 _ 2023 _ 6","CL",2705,50.3,87,NA,0,0,0,0,0,0
"10153 _ 1 _ 2023","WY",10153,1,"BS",2023,"5/4/23","23-05-04",7,45.118355,122.334962,"11:03","R",0,1,3,3,31.6,124,3,1,2,1.3,1.3,2.3,2,"10153 _ 1 _ 2023 _ 7","CL",2692,44.4,96.2,NA,0,0,0,0,0,0
"10185 _ 1 _ 2023","WY",10185,1,"BS",2023,"4/10/23","23-04-10",1,45.08915,122.34858,"12:20","R",0,2,2,2,36.2,100,5,3,2,1.4,2.2,2.8,0.8,"10185 _ 1 _ 2023 _ 1","CL",2139,44.1,82.1,NA,0,0,0,0,0,0
"10185 _ 1 _ 2023","WY",10185,1,"BS",2023,"4/10/23","23-04-10",2,45.08883,122.34875,"11:00","R",0,1,4,1,32.4,100,8,4,4,1.5,2.8,3,1,"10185 _ 1 _ 2023 _ 2","CL",2176,44,100,NA,0,0,0,0,0,0
"10185 _ 1 _ 2023","WY",10185,1,"BS",2023,"4/10/23","23-04-10",3,45.08908,122.34908,"10:30","R",0,2,3,2,44.4,100,6,4,2,2,2.3,2.8,0.5,"10185 _ 1 _ 2023 _ 3","CL",2105,44.1,95.2,NA,0,0,0,0,0,0
"10185 _ 1 _ 2023","WY",10185,1,"BS",2023,"4/10/23","23-04-10",4,45.089363,122.348834,"10:00","R",0,2,2,3,27.36666667,100,13,7,6,1.2,1.8,3,0.7,"10185 _ 1 _ 2023 _ 4","CL",2120,46.6,89.1,NA,0,1,0,0,0,0
"10185 _ 1 _ 2023","WY",10185,1,"BS",2023,"4/10/23","23-04-10",5,45.08947,122.34829,"10:10","R",0,1,2,2,25.06666667,100,9,4,5,1.8,2.1,3,1.2,"10185 _ 1 _ 2023 _ 5","CL",2143,48.9,79.2,NA,0,0,3,0,0,0
"10185 _ 1 _ 2023","WY",10185,1,"BS",2023,"4/10/23","23-04-10",6,45.09081,122.34813,"10:40","R",0,1,3,2,32.2,100,1,1,0,2,2,3,0,"10185 _ 1 _ 2023 _ 6","CL",2147,44.2,92.7,NA,0,0,0,0,0,0
"10185 _ 1 _ 2023","WY",10185,1,"BS",2023,"4/10/23","23-04-10",7,45.088838,122.348303,"11:10","R",0,1,3,2,35.2,100,5,3,2,1.4,1.4,2.4,0.6,"10185 _ 1 _ 2023 _ 7","CL",2135,45.5,99.1,NA,0,0,0,0,0,0
"10258 _ 1 _ 2023","WY",10258,1,"BS",2023,"3/20/23","23-03-20",1,45.00723,122.50957,"","C",0,1,1,3,30.8,79,2,2,0,2,2.5,2,0,"10258 _ 1 _ 2023 _ 1","CL",1894,45.5,100,NA,0,0,0,0,0,0
"10258 _ 1 _ 2023","WY",10258,1,"BS",2023,"3/20/23","23-03-20",2,45.00746,122.5099,"","C",0,2,1,3,27.43333333,79,10,3,7,1.1,2.1,2,1.4,"10258 _ 1 _ 2023 _ 2","CL",1898,43.8,89.2,NA,0,0,0,0,0,0
"10258 _ 1 _ 2023","WY",10258,1,"BS",2023,"3/20/23","23-03-20",3,45.007509,122.509542,"","C",0,1,1,3,11.36666667,79,3,2,1,1,1,2.3,1,"10258 _ 1 _ 2023 _ 3","CL",1901,45.1,91.7,NA,0,0,0,0,0,0
"10258 _ 1 _ 2023","WY",10258,1,"BS",2023,"3/20/23","23-03-20",4,45.00738,122.50916,"","C",0,2,1,2,15.63333333,79,12,9,3,1.8,2.1,2,0.6,"10258 _ 1 _ 2023 _ 4","CL",1880,42.4,99.5,NA,0,0,0,0,0,0
"10258 _ 1 _ 2023","WY",10258,1,"BS",2023,"3/20/23","23-03-20",5,45.007175,122.509086,"","C",0,1,2,4,18.16666667,79,4,2,2,1.2,1.2,2,1.5,"10258 _ 1 _ 2023 _ 5","CL",1877,44.9,85.6,NA,0,0,0,0,0,0
"10258 _ 1 _ 2023","WY",10258,1,"BS",2023,"3/20/23","23-03-20",6,45.00692,122.50942,"","R",0,1,1,1,7.533333333,79,6,2,4,1,2.3,2,1.8,"10258 _ 1 _ 2023 _ 6","CL",1853,43.7,85.3,NA,0,0,0,0,0,0
"10258 _ 1 _ 2023","WY",10258,1,"BS",2023,"3/20/23","23-03-20",7,45.007015,122.509886,"","C",0,1,4,2,23.96666667,79,4,4,0,1.5,1.5,2.8,0,"10258 _ 1 _ 2023 _ 7","CL",1901,42.9,91.7,NA,0,0,0,0,0,0
"10302 _ 1 _ 2023","BLM",10302,1,"UU",2023,"5/1/23","23-05-01",1,45.148262,122.327983,"9:15","C",4,1,1,2,20.76666667,121,3,1,2,1.3,3,1.3,2,"10302 _ 1 _ 2023 _ 1","CL",2571,43.2,81.7,NA,0,0,0,0,0,0
"10302 _ 1 _ 2023","BLM",10302,1,"UU",2023,"5/1/23","23-05-01",2,45.148469,122.327512,"9:45","C",4,1,2,1,15.6,121,2,0,2,1,3,1,2.5,"10302 _ 1 _ 2023 _ 2","CL",2584,42.8,84,NA,0,0,0,0,0,0
"10302 _ 1 _ 2023","BLM",10302,1,"UU",2023,"5/1/23","23-05-01",3,45.14794,122.32777,"9:18","C",3,1,2,4,13.9,121,2,1,1,1.5,3,1.5,1.5,"10302 _ 1 _ 2023 _ 3","CL",2595,42.3,85.9,NA,0,0,0,0,0,0
"10302 _ 1 _ 2023","BLM",10302,1,"UU",2023,"5/1/23","23-05-01",4,45.14809,122.32824,"9:39","C",4,1,1,4,14,121,5,1,4,1.6,3,1.2,2.2,"10302 _ 1 _ 2023 _ 4","CL",2618,40.7,88.9,NA,0,0,1,0,0,0
"10302 _ 1 _ 2023","BLM",10302,1,"UU",2023,"5/1/23","23-05-01",5,45.14826,122.32848,"9:59","C",4,2,1,4,18.1,121,2,0,2,1.5,3,1,3,"10302 _ 1 _ 2023 _ 5","CL",2650,43.1,85.6,NA,0,0,0,0,0,0
"10302 _ 1 _ 2023","BLM",10302,1,"UU",2023,"5/1/23","23-05-01",6,45.14867,122.328,"9:45","C",4,1,1,3,15,121,7,3,4,1.4,2.9,1.1,1.4,"10302 _ 1 _ 2023 _ 6","CL",2595,45.6,83.4,NA,0,1,4,0,0,0
"10302 _ 1 _ 2023","BLM",10302,1,"UU",2023,"5/1/23","23-05-01",7,45.14862,122.32759,"10:15","R",4,2,1,2,14.53333333,121,8,1,7,1.4,2.8,1,2.4,"10302 _ 1 _ 2023 _ 7","CL",2638,41.5,90.2,NA,0,2,1,0,0,0
"10399 _ 1 _ 2023","WY",10399,1,"HU",2023,"5/9/23","23-05-09",1,45.007055,122.401084,"9:50","PC",0,2,3,4,25.73333333,129,4,2,2,1.5,1.8,1,1.5,"10399 _ 1 _ 2023 _ 1","CL",2866,47.3,86.8,NA,0,0,0,0,0,0
"10399 _ 1 _ 2023","WY",10399,1,"HU",2023,"5/9/23","23-05-09",2,45.006825,122.401007,"10:15","PC",0,2,3,3,22.86666667,129,4,3,1,1.5,1.8,1,0.5,"10399 _ 1 _ 2023 _ 2","CL",2888,52.4,91.1,NA,0,0,0,0,0,0
"10399 _ 1 _ 2023","WY",10399,1,"HU",2023,"5/9/23","23-05-09",3,45.00683,122.40134,"10:10","PC",0,2,4,4,25,129,6,5,1,1.5,2.5,1,0.5,"10399 _ 1 _ 2023 _ 3","CL",2880,52.2,95,NA,0,0,0,0,0,0
"10399 _ 1 _ 2023","WY",10399,1,"HU",2023,"5/9/23","23-05-09",4,45.00716,122.4015,"10:37","PC",0,2,4,4,25.3,129,9,3,6,1.3,2.2,1,1.7,"10399 _ 1 _ 2023 _ 4","CL",2860,51.1,81.1,NA,0,0,0,0,0,0
"10399 _ 1 _ 2023","WY",10399,1,"HU",2023,"5/9/23","23-05-09",5,45.00739,122.40111,"11:15","PC",0,1,3,3,21.63333333,129,6,1,5,1.2,2,1,1.8,"10399 _ 1 _ 2023 _ 5","CL",2830,51.8,93,NA,0,0,0,0,0,0
"10399 _ 1 _ 2023","WY",10399,1,"HU",2023,"5/9/23","23-05-09",6,45.00725,122.40076,"10:50","PC",0,2,4,3,25.93333333,129,12,4,8,1.5,1.8,1,1.6,"10399 _ 1 _ 2023 _ 6","CL",2841,50.4,83,NA,0,0,0,0,0,0
"10399 _ 1 _ 2023","WY",10399,1,"HU",2023,"5/9/23","23-05-09",7,45.007,122.40067,"10:20","PC",0,1,3,3,26.26666667,129,11,5,6,1.2,1.6,1,1.5,"10399 _ 1 _ 2023 _ 7","CL",2880,49.5,90.7,NA,0,0,0,0,0,0
"10403 _ 1 _ 2023","WY",10403,1,"BS",2023,"3/22/23","23-03-22",1,45.04679,122.41316,"","S",0,1,2,2,26.8,81,7,5,2,1.7,2.7,2.7,0.6,"10403 _ 1 _ 2023 _ 1","CL",2073,55.4,54,NA,0,0,0,0,0,0
"10403 _ 1 _ 2023","WY",10403,1,"BS",2023,"3/22/23","23-03-22",2,45.04707,122.41298,"","PC",0,1,2,1,17.2,81,7,2,5,1.1,3,3,1.7,"10403 _ 1 _ 2023 _ 2","CL",2106,55.8,54.5,NA,0,0,0,0,0,0
"10403 _ 1 _ 2023","WY",10403,1,"BS",2023,"3/22/23","23-03-22",3,45.04689,122.41275,"","PC",0,1,2,1,15.46666667,81,6,3,3,1,3,3,1.2,"10403 _ 1 _ 2023 _ 3","CL",2096,55.4,66.7,NA,0,0,0,0,0,0
"10403 _ 1 _ 2023","WY",10403,1,"BS",2023,"3/22/23","23-03-22",4,45.04662,122.41285,"","S",0,1,1,2,25.56666667,81,2,2,0,1,3,3,0,"10403 _ 1 _ 2023 _ 4","CL",2098,62.9,58.2,NA,0,0,0,0,0,0
"10403 _ 1 _ 2023","WY",10403,1,"BS",2023,"3/22/23","23-03-22",5,45.04656,122.914338,"","S",0,1,1,1,17.86666667,81,5,4,1,1.6,2,3,0.2,"10403 _ 1 _ 2023 _ 5","CL",2077,59.2,52.1,NA,0,0,0,0,0,0
"10403 _ 1 _ 2023","WY",10403,1,"BS",2023,"3/22/23","23-03-22",6,45.04686,122.41355,"","PC",0,1,3,1,24.46666667,81,3,1,2,1,3,3,1.3,"10403 _ 1 _ 2023 _ 6","CL",2067,60.1,43.1,NA,0,0,0,0,0,0
"10403 _ 1 _ 2023","WY",10403,1,"BS",2023,"3/22/23","23-03-22",7,45.047102,122.413356,"","S",0,1,1,2,15.7,81,2,1,1,1.5,3,3,0.5,"10403 _ 1 _ 2023 _ 7","CL",2110,63.5,47,NA,0,0,1,0,0,0
"10422 _ 1 _ 2023","WY",10422,1,"BS",2023,"3/30/23","23-03-30",1,45.07703,122.41845,"12:50","C",0,2,1,4,27.86666667,89,14,3,11,1.1,2.3,2.4,1.6,"10422 _ 1 _ 2023 _ 1","CL",1489,45.1,66.5,NA,0,0,0,0,0,0
"10422 _ 1 _ 2023","WY",10422,1,"BS",2023,"3/30/23","23-03-30",2,45.07673,122.41828,"13:30","C",0,2,1,3,31.43333333,89,15,4,11,1.2,2.1,1.5,1.7,"10422 _ 1 _ 2023 _ 2","CL",1511,49,68.6,NA,0,0,0,0,0,0
"10422 _ 1 _ 2023","WY",10422,1,"BS",2023,"3/30/23","23-03-30",3,45.07678,122.41866,"13:00","C",0,1,1,4,26.73333333,89,4,3,1,1.2,1,2.2,0.8,"10422 _ 1 _ 2023 _ 3","CL",1490,48.8,67.3,NA,0,0,0,0,0,0
"10422 _ 1 _ 2023","WY",10422,1,"BS",2023,"3/30/23","23-03-30",4,45.07701,122.41889,"13:26","C",0,2,1,4,21.66666667,89,9,4,5,1.2,1.2,2.3,1.7,"10422 _ 1 _ 2023 _ 4","CL",1480,47.5,64.5,NA,0,0,0,0,0,0
"10422 _ 1 _ 2023","WY",10422,1,"BS",2023,"3/30/23","23-03-30",5,45.07724,122.41867,"13:45","C",0,2,1,4,29.4,89,8,2,6,1,1.1,1.6,2,"10422 _ 1 _ 2023 _ 5","CL",1484,50.5,70.9,NA,0,0,0,0,0,0
"10422 _ 1 _ 2023","WY",10422,1,"BS",2023,"3/30/23","23-03-30",6,45.07729,122.41823,"13:25","C",0,1,2,2,19.96666667,89,5,1,4,1,2.8,2.8,1.4,"10422 _ 1 _ 2023 _ 6","CL",1491,48,79,NA,0,0,0,0,0,0
"10422 _ 1 _ 2023","WY",10422,1,"BS",2023,"3/30/23","23-03-30",7,45.07708,122.41798,"13:10","C",0,1,1,3,27.06666667,89,7,3,4,1.4,2.1,3,1.7,"10422 _ 1 _ 2023 _ 7","CL",1499,47.4,69.4,NA,0,0,0,0,0,0
"10439 _ 1 _ 2023","BLM",10439,1,"UU",2023,"5/4/23","23-05-04",1,45.141325,122.350265,"13:40","R",4,3,2,1,25.96666667,124,7,1,6,1.4,2.7,1,2.6,"10439 _ 1 _ 2023 _ 1","CL",2812,44.8,100,NA,0,0,1,0,0,0
"10439 _ 1 _ 2023","BLM",10439,1,"UU",2023,"5/4/23","23-05-04",2,45.1409,122.350091,"14:20","R",4,3,1,2,19.76666667,124,7,3,4,1.7,2.9,1,1.1,"10439 _ 1 _ 2023 _ 2","CL",2761,44.3,100,NA,0,0,0,0,0,0
"10439 _ 1 _ 2023","BLM",10439,1,"UU",2023,"5/4/23","23-05-04",3,45.14094,122.350611,"13:55","R",4,2,1,4,19.63333333,124,6,3,3,1.3,2.7,1,1,"10439 _ 1 _ 2023 _ 3","CL",2720,44.5,99.5,NA,0,1,1,0,0,0
"10439 _ 1 _ 2023","BLM",10439,1,"UU",2023,"5/4/23","23-05-04",4,45.141264,122.350761,"14:30","R",3,2,1,4,27.36666667,124,4,2,2,1.5,2.8,1,1.2,"10439 _ 1 _ 2023 _ 4","CL",2759,45,99.8,NA,0,0,0,0,0,0
"10439 _ 1 _ 2023","BLM",10439,1,"UU",2023,"5/4/23","23-05-04",5,45.141539,122.350516,"14:55","C",2,2,1,4,28.56666667,124,6,2,4,1.7,2.7,1,2,"10439 _ 1 _ 2023 _ 5","CL",2808,46.3,95.4,NA,0,0,2,0,0,0
"10439 _ 1 _ 2023","BLM",10439,1,"UU",2023,"5/4/23","23-05-04",6,45.14148,122.35032,"14:36","R",4,1,4,1,31.3,124,3,0,3,2,3,1,3,"10439 _ 1 _ 2023 _ 6","CL",2778,46,100,NA,0,0,0,0,0,0
"10439 _ 1 _ 2023","BLM",10439,1,"UU",2023,"5/4/23","23-05-04",7,45.14109,122.34996,"14:10","R",4,1,1,3,24.63333333,124,3,1,2,1.3,3,1,1.7,"10439 _ 1 _ 2023 _ 7","CL",2802,43.8,100,NA,0,0,1,0,0,0
"10444 _ 1 _ 2023","WY",10444,1,"HU",2023,"3/22/23","23-03-22",1,45.04747,122.4257,"","S",0,1,1,4,20.93333333,81,4,3,1,1,1.2,1,0.8,"10444 _ 1 _ 2023 _ 1","CL",2172,47.3,53.6,NA,0,0,0,0,0,0
"10444 _ 1 _ 2023","WY",10444,1,"HU",2023,"3/22/23","23-03-22",2,45.0476,122.42527,"","S",0,1,1,4,19.83333333,81,8,4,4,1.5,1.8,1,1,"10444 _ 1 _ 2023 _ 2","CL",2185,50.4,54.8,NA,0,0,0,0,0,0
"10444 _ 1 _ 2023","WY",10444,1,"HU",2023,"3/22/23","23-03-22",3,45.047355,122.425299,"","S",0,1,1,4,19.13333333,81,2,2,0,1,1,1,0,"10444 _ 1 _ 2023 _ 3","CL",2159,53.3,55.4,NA,0,0,0,0,0,0
"10444 _ 1 _ 2023","WY",10444,1,"HU",2023,"3/22/23","23-03-22",4,45.047157,122.425789,"","S",0,0,1,4,18.46666667,81,2,2,0,1.5,1,1,0,"10444 _ 1 _ 2023 _ 4","CL",2165,48,63.4,NA,0,0,0,0,0,0
"10444 _ 1 _ 2023","WY",10444,1,"HU",2023,"3/22/23","23-03-22",5,45.04745,122.42603,"","S",0,2,1,4,19.66666667,81,6,5,1,1.3,1.7,2,0.3,"10444 _ 1 _ 2023 _ 5","CL",2125,50.2,55.5,NA,0,0,1,0,0,0
"10444 _ 1 _ 2023","WY",10444,1,"HU",2023,"3/22/23","23-03-22",6,45.04761,122.42603,"","S",0,1,1,4,25.3,81,8,5,3,1.2,2.2,2,1,"10444 _ 1 _ 2023 _ 6","CL",2131,51.8,52.6,NA,0,0,0,0,0,0
"10444 _ 1 _ 2023","WY",10444,1,"HU",2023,"3/22/23","23-03-22",7,45.04781,122.42561,"","S",0,1,1,4,14.1,81,4,4,0,1.8,1.5,1,0,"10444 _ 1 _ 2023 _ 7","CL",2180,52.8,53.1,NA,0,0,0,0,0,0
"10467 _ 1 _ 2023","WY",10467,1,"HB",2023,"3/14/23","23-03-14",1,45.079726,122.410628,"","PC",0,1,1,1,30.96666667,73,3,1,2,1.3,2,3,1.3,"10467 _ 1 _ 2023 _ 1","CL",1550.98,32.3,94.8,NA,0,0,0,0,0,0
"10467 _ 1 _ 2023","WY",10467,1,"HB",2023,"3/14/23","23-03-14",2,45.079585,122.410308,"","PC",0,1,3,1,27.9,73,7,2,5,1.3,2,3,1.9,"10467 _ 1 _ 2023 _ 2","CL",1550.98,34.5,93.2,NA,0,0,0,0,0,0
"10467 _ 1 _ 2023","WY",10467,1,"HB",2023,"3/14/23","23-03-14",3,45.0749142,122.410755,"","PC",0,1,3,1,31.33333333,73,6,1,5,1.2,2.2,2.8,1.3,"10467 _ 1 _ 2023 _ 3","CL",1550.98,34,85,NA,0,0,0,0,0,0
"10467 _ 1 _ 2023","WY",10467,1,"HB",2023,"3/14/23","23-03-14",4,45.0796,122.41102,"","PC",0,1,4,1,27.73333333,73,2,2,0,2,1,3,0,"10467 _ 1 _ 2023 _ 4","CL",1550.98,31.2,92.4,NA,0,0,0,0,0,0
"10467 _ 1 _ 2023","WY",10467,1,"HB",2023,"3/14/23","23-03-14",5,45.079878,122.411029,"","PC",0,1,2,1,25.06666667,73,6,4,2,1.5,2.7,3,0.7,"10467 _ 1 _ 2023 _ 5","CL",1550.98,31.7,86.8,NA,0,0,0,0,0,0
"10467 _ 1 _ 2023","WY",10467,1,"HB",2023,"3/14/23","23-03-14",6,45.080006,122.410608,"","PC",0,1,4,1,29.26666667,73,1,0,1,1,2,3,2,"10467 _ 1 _ 2023 _ 6","CL",1550.98,33.5,85.9,NA,0,0,0,0,0,0
"10467 _ 1 _ 2023","WY",10467,1,"HB",2023,"3/14/23","23-03-14",7,45.079881,122.410216,"","PC",0,1,3,1,30.46666667,NA,NA,NA,NA,NA,NA,NA,NA,"10467 _ 1 _ 2023 _ 7","CL",1550.98,34.4,86.4,NA,0,0,0,0,0,0
"10488 _ 1 _ 2023","WY",10488,1,"HB",2023,"3/21/23","23-03-21",1,45.05027,122.40631,"","S",0,1,1,1,17.4,80,1,1,0,2,2,3,0,"10488 _ 1 _ 2023 _ 1","CL",2378,45.2,76.6,NA,0,0,0,0,0,0
"10488 _ 1 _ 2023","WY",10488,1,"HB",2023,"3/21/23","23-03-21",2,45.05058,122.40639,"","S",0,1,1,1,14.76666667,80,3,3,0,1.3,2.3,3,0,"10488 _ 1 _ 2023 _ 2","CL",2370,47,60.5,NA,0,0,0,0,0,0
"10488 _ 1 _ 2023","WY",10488,1,"HB",2023,"3/21/23","23-03-21",3,45.05057,122.40608,"","S",0,1,1,1,21.06666667,80,4,4,0,1.5,2.8,3,0,"10488 _ 1 _ 2023 _ 3","CL",2361,48.5,52.2,NA,0,0,0,0,0,0
