subplot_code,site_rep,date,obs,pass,spp,under,cover_obj,substrate,age_class
BLM12213_UU_04,1,4/24/2023,JB,1,ENES,Y,W,W,J
BLM12213_UU_05,1,4/24/2023,JB,3,OSS,Y,W,W,
BLM12213_UU_05,1,4/24/2023,JB,3,ENES,Y,W,W,SA
BLM12213_UU_05,1,4/24/2023,JB,3,OSS,Y,W,W,J
BLM12213_UU_07,1,4/24/2023,JB,3,OSS,Y,W,W,J
BLM13924_UU_03,1,3/16/2023,JW,1,ENES,Y,W,W,A
BLM15562_BU_02,1,3/27/2023,JB,1,ENES,Y,W,W,
BLM15562_BU_02,1,3/27/2023,BZ,2,ENES,Y,W,W,
BLM15562_BU_05,1,3/27/2023,JW,1,OSS,Y,W,W,J
BLM15562_BU_06,1,3/27/2023,BZ,1,ENES,Y,W,W,SA
BLM15562_BU_06,1,3/27/2023,BZ,1,ENES,Y,W,W,SA
BLM29121_UU_04,1,5/15/2023,JW,1,ENES,Y,W,D,A
BLM29121_UU_06,1,5/15/2023,BZ,1,OSS,Y,W,W,A
BLM29121_UU_07,1,5/15/2023,JB,3,OSS,Y,W,W,A
BLM29122_UU_01,1,5/16/2023,JB,1,OSS,Y,W,W,A
BLM29122_UU_01,1,5/16/2023,JW,2,OSS,Y,W,W,A
BLM29122_UU_02,1,5/16/2023,JB,1,ENES,Y,W,D,A
BLM29122_UU_02,1,5/16/2023,JB,1,OSS,Y,W,W,A
BLM29122_UU_02,1,5/16/2023,JW,2,OSS,Y,W,W,A
BLM29122_UU_02,1,5/16/2023,JW,2,ENES,Y,W,D,J
BLM29122_UU_03,1,5/16/2023,JW,1,ENES,Y,W,D,A
BLM29122_UU_03,1,5/16/2023,JW,1,ENES,Y,W,D,A
BLM29122_UU_05,1,5/16/2023,JB,2,OSS,Y,W,W,A
BLM29122_UU_05,1,5/16/2023,JB,2,OSS,Y,W,W,A
BLM29122_UU_05,1,5/16/2023,JB,2,OSS,Y,W,W,A
BLM29122_UU_06,1,5/16/2023,BZ,1,OSS,Y,W,W,A
BLM29122_UU_06,1,5/16/2023,BZ,1,OSS,Y,W,W,A
BLM29122_UU_07,1,5/16/2023,BZ,1,OSS,Y,W,W,A
BLM29123_UU_06,1,5/16/2023,BZ,3,ENES,Y,W,W,SA
BLM29429_UU_02,1,5/18/2023,JW,2,OSS,Y,W,W,A
BLM29429_UU_06,1,5/18/2023,BZ,2,ENES,Y,W,W,A
BLM29889_UU_04,1,5/18/2023,BZ,1,ENES,Y,W,W,A
ODF12033_BU_02,1,4/26/2023,JB,1,OSS,Y,W,W,J
ODF12033_BU_02,1,4/26/2023,JB,1,ENES,Y,W,W,J
ODF12033_BU_02,1,4/26/2023,JW,2,ENES,Y,W,W,A
ODF12033_BU_03,1,4/26/2023,JB,2,ENES,Y,W,W,J
ODF12033_BU_05,1,4/26/2023,JW,3,OSS,Y,W,W,SA
ODF12033_BU_05,1,4/26/2023,JW,3,ENES,Y,W,L,J
ODF12033_BU_05,1,4/26/2023,BZ,1,ENES,Y,W,W,A
ODF12033_BU_05,1,4/26/2023,JB,2,OSS,Y,W,D,SA
ODF12033_BU_05,1,4/26/2023,JB,2,ENES,Y,W,W,SA
ODF12033_BU_06,1,4/26/2023,JW,1,ENES,Y,W,D,SA
ODF12033_BU_06,1,4/26/2023,JW,1,ENES,Y,W,D,J
ODF12033_BU_06,1,4/26/2023,BZ,2,ENES,Y,W,D,A
ODF12033_BU_07,1,4/26/2023,BZ,2,ENES,Y,W,D,A
ODF12033_BU_07,1,4/26/2023,BZ,2,ENES,Y,W,D,A
ODF12098_BU_06,1,5/2/2023,JB,3,OSS,Y,W,W,A
ODF12349_BU_01,1,5/2/2023,BZ,1,OSS,Y,W,W,SA
ODF12349_BU_01,1,5/2/2023,JB,3,OSS,Y,W,D,SA
ODF12349_BU_02,1,5/2/2023,BZ,1,OSS,Y,W,W,A
ODF12349_BU_04,1,5/2/2023,JB,1,OSS,Y,W,W,A
ODF12349_BU_04,1,5/2/2023,BZ,2,OSS,Y,W,W,A
ODF12349_BU_04,1,5/2/2023,JW,3,OSS,Y,W,W,A
ODF12349_BU_06,1,5/2/2023,JW,1,OSS,Y,W,W,A
ODF12349_BU_07,1,5/2/2023,JW,1,OSS,Y,W,W,J
ODF12349_BU_07,1,5/2/2023,JW,1,ENES,Y,W,W,A
ODF12351_BU_03,1,5/23/2023,BZ,3,ENES,Y,W,D,SA
ODF12351_BU_06,1,5/23/2023,BZ,1,ENES,Y,W,W,SA
ODF12362_HB_05,1,4/25/2023,JW,1,ENES,Y,W,W,
ODF12392_BU_03,1,5/11/2023,BZ,1,ENES,Y,W,D,J
ODF12392_BU_06,1,5/11/2023,JW,1,ENES,Y,W,D,J
ODF12421_BU_01,1,4/27/2023,BZ,1,OSS,Y,W,W,A
ODF12421_BU_01,1,4/27/2023,JW,2,OSS,Y,W,W,J
ODF12421_BU_02,1,4/27/2023,BZ,1,OSS,Y,W,D,A
ODF12421_BU_02,1,4/27/2023,BZ,1,OSS,Y,W,R,A
ODF12421_BU_02,1,4/27/2023,JB,3,ENES,Y,W,D,A
ODF12421_BU_02,1,4/27/2023,JW,2,OSS,Y,W,W,A
ODF12421_BU_03,1,4/27/2023,JW,3,OSS,Y,W,W,J
ODF12421_BU_04,1,4/27/2023,JB,1,ENES,Y,W,D,A
ODF12421_BU_05,1,4/27/2023,JB,1,OSS,Y,W,W,J
ODF12421_BU_05,1,4/27/2023,JB,1,OSS,Y,W,W,
ODF12441_BU_03,1,4/27/2023,JB,1,OSS,Y,W,W,A
ODF12441_BU_04,1,4/27/2023,BZ,3,OSS,Y,W,W,A
ODF12441_BU_04,1,4/27/2023,BZ,3,OSS,Y,W,W,A
ODF12441_BU_04,1,4/27/2023,BZ,3,ENES,Y,W,D,A
ODF12441_BU_05,1,4/27/2023,JW,2,ENES,Y,W,D,
ODF12441_BU_06,1,4/27/2023,BZ,1,ENES,Y,W,W,J
ODF12441_BU_06,1,4/27/2023,BZ,2,ENES,Y,W,W,SA
ODF12560_BU_05,1,4/26/2023,BZ,3,ENES,Y,W,W,SA
ODF12804_BU_01,1,5/8/2023,JW,1,OSS,Y,W,D,
ODF12804_BU_05,1,5/8/2023,JB,3,OSS,Y,W,D,A
ODF12804_BU_05,1,5/8/2023,JW,2,OSS,Y,W,W,A
ODF12804_BU_06,1,5/8/2023,JB,1,OSS,Y,W,W,A
ODF12804_BU_07,1,5/8/2023,JB,1,OSS,Y,W,D,A
PB33651_HB_01,1,4/11/2023,JW,2,OSS,Y,W,D,J
PB33651_HB_01,1,4/11/2023,BZ,3,OSS,Y,W,D,A
PB33651_HB_03,1,4/11/2023,BZ,3,OSS,Y,W,D,A
PB33651_HB_03,1,4/11/2023,BZ,3,OSS,Y,W,D,A
PB33651_HB_03,1,4/11/2023,BZ,3,ENES,Y,W,D,J
PB33651_HB_03,1,4/11/2023,JB,2,OSS,Y,W,W,
PB33651_HB_07,1,4/11/2023,BZ,1,AMGR,Y,W,D,A
PB33754_HU_06,1,4/5/2023,BZ,1,OSS,Y,W,D,A
PB34007_HB_01,1,4/17/2023,JW,2,ENES,Y,W,D,A
PB34007_HB_02,1,4/18/2023,JW,3,OSS,Y,W,O,A
PB34007_HB_02,1,4/19/2023,JW,3,OSS,Y,W,O,A
PB34007_HB_02,1,4/20/2023,JW,3,OSS,Y,W,O,A
PB34007_HB_02,1,4/22/2023,BZ,1,OSS,Y,W,W,A
PB34007_HB_02,1,4/23/2023,BZ,1,OSS,Y,W,W,A
PB34007_HB_04,1,4/23/2023,JW,1,OSS,Y,W,D,A
PB34007_HB_06,1,4/23/2023,JB,1,OSS,Y,W,W,A
PB34007_HB_06,1,4/23/2023,JB,1,ENES,Y,W,W,J
PB34007_HB_06,1,4/23/2023,JW,2,OSS,Y,W,D,J
PB408143_HU_05,1,4/4/2023,JB,3,OSS,Y,W,W,A
PB408161_HU_05,1,4/5/2023,JB,2,ENES,Y,W,W,A
PB408161_HU_05,1,4/5/2023,JB,2,ENES,Y,W,W,A
PB408161_HU_06,1,4/5/2023,JB,3,ENES,Y,W,W,J
PB408162_HB_02,1,4/12/2023,BZ,3,ENES,Y,W,W,A
PB408162_HB_02,1,4/12/2023,BZ,3,ENES,Y,W,D,A
PB408162_HB_03,1,4/12/2023,JW,1,OSS,Y,W,O,A
PB408162_HB_03,1,4/12/2023,JB,2,OSS,Y,W,W,J
PB408162_HB_03,1,4/12/2023,JB,2,OSS,Y,W,W,J
PB408162_HB_04,1,4/12/2023,JW,1,OSS,Y,W,D,A
PB408162_HB_04,1,4/12/2023,BZ,2,ENES,Y,W,D,SA
PB408162_HB_05,1,4/12/2023,JB,3,OSS,Y,W,L,
PB408178_BS_05,1,4/18/2023,BZ,1,OSS,Y,W,L,A
PB408178_BS_07,1,4/18/2023,JB,1,ANFE,Y,W,W,A
PB408178_HB_06,2,4/19/2023,JW,2,OSS,Y,W,W,
PB408180_HB_01,1,4/11/2023,JW,2,OSS,Y,W,D,A
PB408180_HB_01,1,4/11/2023,BZ,3,ENES,Y,W,W,A
PB408180_HB_04,1,4/11/2023,JW,1,ENES,Y,W,D,A
PB408180_HB_07,1,4/11/2023,JW,2,OSS,Y,W,D,A
PB9757_BU_07,1,4/19/2023,JW,3,OSS,Y,W,W,
WY10153_BS_04,1,5/4/2023,BZ,1,ENES,Y,W,W,A
WY10185_BS_04,1,4/10/2023,JW,1,ENES,Y,W,D,
WY10185_BS_05,1,4/10/2023,BZ,1,OSS,Y,W,D,
WY10185_BS_05,1,4/10/2023,BZ,1,OSS,Y,W,D,
WY10185_BS_05,1,4/10/2023,JB,3,OSS,Y,W,W,J
WY10403_BS_07,1,3/22/2023,JW,1,OSS,Y,W,W,
WY10444_HU_05,1,3/22/2023,BZ,1,OSS,Y,W,W,SA
WY10488_HB_07,1,3/21/2023,BZ,1,OSS,Y,W,D,A
WY10506_BS_02,1,3/13/2023,JW,2,OSS,Y,W,L,J
WY10506_BS_03,1,3/13/2023,JB,1,OSS,Y,W,L,J
WY10553_HB_01,1,5/10/2023,JW,1,OSS,Y,W,W,A
WY10553_HB_01,1,5/10/2023,JB,2,OSS,Y,W,W,A
WY10553_HB_04,1,5/10/2023,JB,1,OSS,Y,W,W,A
WY10553_HB_07,1,5/10/2023,JB,2,OSS,Y,W,W,A
WY10553_HB_07,1,5/10/2023,JW,3,OSS,Y,W,W,A
WY10963_UU_04,1,3/21/2023,BZ,1,OSS,Y,W,W,SA
WY10963_UU_04,1,3/21/2023,JW,3,OSS,Y,W,W,
WY20616_UU_01,1,5/15/2023,BZ,1,ENES,Y,W,D,J
WY20616_UU_05,1,5/15/2023,JW,1,ENES,Y,W,W,A
WY29431_UU_03,1,6/2/2023,JB,1,OSS,Y,W,W,A
WY33810_HU_02,1,4/10/2023,BZ,3,ENES,Y,W,W,A
WY33810_HU_04,1,4/10/2023,JB,2,OSS,Y,W,D,A
WY33810_HU_07,1,4/10/2023,JW,2,OSS,Y,W,W,A
ODF12033_BU_07,1,4/26/2023,JW,1,OSS,N,N,W,SA
ODF12441_BU_05,1,4/27/2023,JB,1,OSS,N,N,R,A
