"site_id","date_mdy","lat","long","survey_date_str","precip_mm","days_since_rain","rain_event","last_rain_date"
"10553 _ 1 _ 2023",2023-05-10,45.049503,-122.366246,"20230510",0,1,0,2023-05-09
"10597 _ 1 _ 2023",2023-03-23,45.08598,-122.3481,"20230323",4.43,0,1,NA
"10597 _ 1 _ 2024",2024-05-21,45.08609,-122.344644,"20240521",0.35,1,0,2024-05-20
"10956 _ 1 _ 2023",2023-03-28,45.09761,-122.4143,"20230328",5.01,0,1,NA
"10956 _ 1 _ 2024",2024-04-03,45.097601,-122.411146,"20240403",7.84,0,1,NA
"10963 _ 1 _ 2023",2023-03-21,45.06031,-122.41493,"20230321",4.69,0,1,NA
"10965 _ 1 _ 2023",2023-05-09,45.03403,-122.38007,"20230509",10.38,0,1,NA
"10968 _ 1 _ 2023",2023-05-03,45.019687,-122.413868,"20230503",0,1,0,2023-05-02
"10968 _ 1 _ 2024",2024-05-07,45.020566,-122.416108,"20240507",21.22,0,1,NA
"11079 _ 1 _ 2023",2023-03-20,45.01457,-122.51431,"20230320",6.33,0,1,NA
"11081 _ 1 _ 2024",2024-05-09,45.007567,-122.51089,"20240509",0,1,0,2024-05-08
"11084 _ 1 _ 2024",2024-05-09,45.001301,-122.516805,"20240509",0,1,0,2024-05-08
"12033 _ 1 _ 2023",2023-04-26,44.72604,-122.41039,"20230426",0,1,0,2023-04-25
"12033 _ 1 _ 2024",2024-05-13,44.72649,-122.405416,"20240513",0,5,0,2024-05-08
"12098 _ 1 _ 2023",2023-05-02,44.81936,-122.6042,"20230502",0.64,7,0,2023-04-25
"12098 _ 1 _ 2024",2024-05-23,45.818237,-122.605556,"20240523",1.68,0,1,NA
"12213 _ 1 _ 2023",2023-04-24,45.081147,-122.591321,"20230424",2.52,0,1,NA
"12213 _ 1 _ 2024",2024-04-11,45.079487,-122.593992,"20240411",0,3,0,2024-04-08
"12239 _ 1 _ 2023",2023-03-15,45.07887,-122.58288,"20230315",0.63,1,0,2023-03-14
"12239 _ 1 _ 2024",2024-04-11,45.077243,-122.580155,"20240411",0,3,0,2024-04-08
"12349 _ 1 _ 2023",2023-05-02,44.81345,-122.61021,"20230502",0.64,7,0,2023-04-25
"12349 _ 1 _ 2024",2024-05-02,44.817198,-122.607298,"20240502",13.08,0,1,NA
"12351 _ 1 _ 2023",2023-05-23,44.8117,-122.609689,"20230523",0,14,0,2023-05-09
"12362 _ 1 _ 2023",2023-04-25,44.78274,-122.46156,"20230425",2.39,0,1,NA
"12362 _ 1 _ 2024",2024-04-15,44.781005,-122.458444,"20240415",0.7,1,0,2024-04-14
"12364 _ 1 _ 2023",2023-04-25,44.77559,-122.47537,"20230425",2.39,0,1,NA
"12364 _ 1 _ 2024",2024-04-15,44.777021,-122.476137,"20240415",0.7,1,0,2024-04-14
"12392 _ 1 _ 2023",2023-05-11,44.73231,-122.13914,"20230511",0.73,2,0,2023-05-09
"12421 _ 1 _ 2023",2023-04-27,44.766,-122.37062,"20230427",0,2,0,2023-04-25
"12421 _ 1 _ 2024",2024-05-14,44.766283,-122.369181,"20240514",0,6,0,2024-05-08
"12441 _ 1 _ 2023",2023-04-27,44.772018,-122.377738,"20230427",0,2,0,2023-04-25
"12441 _ 1 _ 2024",2024-05-14,44.770862,-122.37755,"20240514",0,6,0,2024-05-08
"12560 _ 1 _ 2023",2023-04-26,44.73774,-122.40174,"20230426",0,1,0,2023-04-25
"12560 _ 1 _ 2024",2024-04-18,44.736851,-122.39994,"20240418",0,4,0,2024-04-14
"12776 _ 1 _ 2024",2024-04-18,44.734938,-122.410678,"20240418",0,4,0,2024-04-14
"12804 _ 1 _ 2023",2023-05-08,44.820936,-122.61328,"20230508",0.11,1,0,2023-05-07
"12804 _ 1 _ 2024",2024-04-30,44.822106,-122.61463,"20240430",13.01,0,1,NA
"12805 _ 1 _ 2023",2023-05-08,44.82108,-122.60849,"20230508",0.11,1,0,2023-05-07
"12805 _ 1 _ 2024",2024-04-30,44.820874,-122.60985,"20240430",13.01,0,1,NA
"12806 _ 1 _ 2024",2024-05-02,44.82299,-122.602337,"20240502",13.24,0,1,NA
"13924 _ 1 _ 2023",2023-03-16,45.03622,-122.613896,"20230316",0,2,0,2023-03-14
"13924 _ 1 _ 2024",2024-04-01,45.037674,-122.612181,"20240401",0,3,0,2024-03-29
"15562 _ 1 _ 2023",2023-03-27,45.0008,-122.5664,"20230327",1.75,0,1,NA
"15562 _ 1 _ 2024",2024-04-01,45.002449,-122.563947,"20240401",0,3,0,2024-03-29
"16804 _ 1 _ 2023",2023-03-29,44.99322,-122.47645,"20230329",15.09,0,1,NA
"20039 _ 1 _ 2023",2023-06-01,44.53026,-122.58302,"20230601",0,23,0,2023-05-09
"20039 _ 1 _ 2024",2024-05-01,44.529163,-122.581837,"20240501",13.45,0,1,NA
"20053 _ 1 _ 2023",2023-06-01,44.550347,-122.56924,"20230601",0,23,0,2023-05-09
"20053 _ 1 _ 2024",2024-05-01,44.548884,-122.567289,"20240501",13.45,0,1,NA
"20550 _ 1 _ 2023",2023-06-02,44.63104,-122.65192,"20230602",0,24,0,2023-05-09
"20550 _ 1 _ 2024",2024-04-02,44.631311,-122.653161,"20240402",0,4,0,2024-03-29
"20616 _ 1 _ 2023",2023-05-15,44.6305,-122.69066,"20230515",0,6,0,2023-05-09
"20616 _ 1 _ 2024",2024-03-21,44.628833,-122.688821,"20240321",0.49,8,0,2024-03-13
"20626 _ 1 _ 2024",2024-05-23,44.699422,-122.561388,"20240523",9.42,0,1,NA
"21026 _ 1 _ 2023",2023-05-17,44.64622,-122.60661,"20230517",0,8,0,2023-05-09
"21159 _ 1 _ 2023",2023-05-17,44.6489,-122.62019,"20230517",0,8,0,2023-05-09
"25954 _ 1 _ 2023",2023-05-23,44.79337,-122.51745,"20230523",0,14,0,2023-05-09
"29121 _ 1 _ 2023",2023-05-15,44.66118,-122.69572,"20230515",0,6,0,2023-05-09
"29121 _ 1 _ 2024",2024-03-25,44.660577,-122.699407,"20240325",5.9,0,1,NA
"29122 _ 1 _ 2023",2023-05-16,44.65305,-122.6896,"20230516",0,7,0,2023-05-09
"29122 _ 1 _ 2024",2024-03-27,44.654463,-122.683966,"20240327",7.05,0,1,NA
"29123 _ 1 _ 2023",2023-05-16,44.65113,-122.69785,"20230516",0,7,0,2023-05-09
"29123 _ 1 _ 2024",2024-03-27,44.653356,-122.697667,"20240327",6.29,0,1,NA
"29429 _ 1 _ 2023",2023-05-18,44.63895,-122.67381,"20230518",0,9,0,2023-05-09
"29429 _ 1 _ 2024",2024-04-16,44.640682,-122.67365,"20240416",2.07,0,1,NA
"29431 _ 1 _ 2023",2023-06-02,44.646637,-122.671847,"20230602",0,24,0,2023-05-09
"29431 _ 1 _ 2024",2024-04-02,44.648918,-122.670677,"20240402",0,4,0,2024-03-29
"29889 _ 1 _ 2023",2023-05-18,44.637141,-122.662706,"20230518",0,9,0,2023-05-09
"29889 _ 1 _ 2024",2024-04-16,44.637613,-122.66338,"20240416",2.07,0,1,NA
"33628 _ 1 _ 2023",2023-04-06,45.19673,-122.28101,"20230406",7.7,0,1,NA
"33628 _ 1 _ 2024",2024-04-23,45.199967,-122.281082,"20240423",0,7,0,2024-04-16
"33651 _ 1 _ 2023",2023-04-11,45.18903,-122.26685,"20230411",27.21,0,1,NA
"33651 _ 1 _ 2024",2024-04-23,45.191346,-122.263034,"20240423",0,2,0,2024-04-21
"33689 _ 1 _ 2023",2023-04-06,45.1778,-122.33579,"20230406",9.48,0,1,NA
"33689 _ 1 _ 2024",2024-04-22,45.173905,-122.33654,"20240422",0,1,0,2024-04-21
"33754 _ 1 _ 2023",2023-04-05,45.12338,-122.41965,"20230405",3.01,0,1,NA
"33810 _ 1 _ 2023",2023-04-10,45.14533,-122.34016,"20230410",16.79,0,1,NA
"33810 _ 1 _ 2024",2024-04-25,45.14797,-122.341516,"20240425",2.37,0,1,NA
"34007 _ 1 _ 2023",2023-04-17,45.16938,-122.29936,"20230417",6.37,0,1,NA
"34007 _ 1 _ 2024",2024-04-22,45.170956,-122.293462,"20240422",0,1,0,2024-04-21
"34017 _ 1 _ 2023",2023-04-20,45.213726,-122.521086,"20230420",3.53,0,1,NA
"34017 _ 1 _ 2024",2024-03-28,45.213388,-122.525313,"20240328",9.4,0,1,NA
"408143 _ 1 _ 2023",2023-04-04,45.16277,-122.36936,"20230404",8.48,0,1,NA
"408143 _ 1 _ 2024",2024-05-08,45.161514,-122.369793,"20240508",4.07,0,1,NA
"408161 _ 1 _ 2023",2023-04-05,45.15833,-122.35439,"20230405",2.59,0,1,NA
"408162 _ 1 _ 2023",2023-04-12,45.16629,-122.31811,"20230412",4.69,0,1,NA
"408162 _ 1 _ 2024",2024-04-24,45.162737,-122.319453,"20240424",0,3,0,2024-04-21
"408178 _ 1 _ 2023",2023-04-18,45.208404,-122.267934,"20230418",5.23,0,1,NA
"408178 _ 1 _ 2024",2024-04-10,45.208114,-122.257323,"20240410",0.68,1,0,2024-04-09
"408178 _ 2 _ 2023",2023-04-19,45.208375,-122.25864,"20230419",3.39,0,1,NA
"408178 _ 2 _ 2024",2024-04-10,45.209387,-122.26803,"20240410",0.68,1,0,2024-04-09
"408180 _ 1 _ 2023",2023-04-11,45.1884,-122.25643,"20230411",27.21,0,1,NA
"408180 _ 1 _ 2024",2024-04-23,45.189664,-122.251165,"20240423",0,2,0,2024-04-21
"9757 _ 1 _ 2023",2023-04-19,45.212388,-122.273739,"20230419",3.01,0,1,NA
"9757 _ 1 _ 2024",2024-04-10,45.213441,-122.273943,"20240410",0.62,1,0,2024-04-09
