"site_id","date_mdy","precip_mm"
"12441 _ 1 _ 2024",2023-02-10,1.14
"12560 _ 1 _ 2023",2023-02-10,1.42
"12560 _ 1 _ 2024",2023-02-10,1.42
"12776 _ 1 _ 2024",2023-02-10,1.42
"12804 _ 1 _ 2023",2023-02-10,2.13
"12804 _ 1 _ 2024",2023-02-10,2.13
"12805 _ 1 _ 2023",2023-02-10,2.13
"12805 _ 1 _ 2024",2023-02-10,2.13
"12806 _ 1 _ 2024",2023-02-10,2.26
"13924 _ 1 _ 2023",2023-02-10,0.99
"13924 _ 1 _ 2024",2023-02-10,0.99
"15562 _ 1 _ 2023",2023-02-10,1.42
"15562 _ 1 _ 2024",2023-02-10,1.42
"16804 _ 1 _ 2023",2023-02-10,1.5
"20039 _ 1 _ 2023",2023-02-10,1.15
"20039 _ 1 _ 2024",2023-02-10,1.15
"20053 _ 1 _ 2023",2023-02-10,1.15
"20053 _ 1 _ 2024",2023-02-10,1.15
"20550 _ 1 _ 2023",2023-02-10,2.1
"20550 _ 1 _ 2024",2023-02-10,2.1
"20616 _ 1 _ 2023",2023-02-10,1.65
"20616 _ 1 _ 2024",2023-02-10,1.65
"20626 _ 1 _ 2024",2023-02-10,1.77
"21026 _ 1 _ 2023",2023-02-10,1.89
"21159 _ 1 _ 2023",2023-02-10,1.89
"25954 _ 1 _ 2023",2023-02-10,1.82
"29121 _ 1 _ 2023",2023-02-10,1.89
"29121 _ 1 _ 2024",2023-02-10,1.89
"29122 _ 1 _ 2023",2023-02-10,1.89
"29122 _ 1 _ 2024",2023-02-10,2
"29123 _ 1 _ 2023",2023-02-10,1.89
"29123 _ 1 _ 2024",2023-02-10,1.89
"29429 _ 1 _ 2023",2023-02-10,2.1
"29429 _ 1 _ 2024",2023-02-10,2.1
"29431 _ 1 _ 2023",2023-02-10,2
"29431 _ 1 _ 2024",2023-02-10,2
"29889 _ 1 _ 2023",2023-02-10,2.1
"29889 _ 1 _ 2024",2023-02-10,2.1
"33628 _ 1 _ 2023",2023-02-10,1.46
"33628 _ 1 _ 2024",2023-02-10,1.46
"33651 _ 1 _ 2023",2023-02-10,1.48
"33651 _ 1 _ 2024",2023-02-10,1.48
"33689 _ 1 _ 2023",2023-02-10,1.69
"33689 _ 1 _ 2024",2023-02-10,1.69
"33754 _ 1 _ 2023",2023-02-10,1.3
"33810 _ 1 _ 2023",2023-02-10,2.04
"33810 _ 1 _ 2024",2023-02-10,1.69
"34007 _ 1 _ 2023",2023-02-10,1.53
"34007 _ 1 _ 2024",2023-02-10,1.53
"34017 _ 1 _ 2023",2023-02-10,0.69
"34017 _ 1 _ 2024",2023-02-10,0.69
"408143 _ 1 _ 2023",2023-02-10,1.41
"408143 _ 1 _ 2024",2023-02-10,1.41
"408161 _ 1 _ 2023",2023-02-10,1.41
"408162 _ 1 _ 2023",2023-02-10,1.69
"408162 _ 1 _ 2024",2023-02-10,1.69
"408178 _ 1 _ 2023",2023-02-10,1.48
"408178 _ 1 _ 2024",2023-02-10,1.48
"408178 _ 2 _ 2023",2023-02-10,1.48
"408178 _ 2 _ 2024",2023-02-10,1.48
"408180 _ 1 _ 2023",2023-02-10,1.48
"408180 _ 1 _ 2024",2023-02-10,1.48
"9757 _ 1 _ 2023",2023-02-10,1.46
"9757 _ 1 _ 2024",2023-02-10,1.46
"10024 _ 1 _ 2023",2023-02-11,0.28
"10024 _ 1 _ 2024",2023-02-11,0.1
"10078 _ 1 _ 2023",2023-02-11,0.1
"10078 _ 1 _ 2024",2023-02-11,0.1
"10153 _ 1 _ 2023",2023-02-11,0.01
"10153 _ 1 _ 2024",2023-02-11,0.01
"10185 _ 1 _ 2023",2023-02-11,0
"10185 _ 1 _ 2024",2023-02-11,0
"10258 _ 1 _ 2023",2023-02-11,0.02
"10302 _ 1 _ 2023",2023-02-11,0
"10302 _ 1 _ 2024",2023-02-11,0
"10399 _ 1 _ 2023",2023-02-11,0
"10399 _ 1 _ 2024",2023-02-11,0
"10403 _ 1 _ 2023",2023-02-11,0
"10403 _ 1 _ 2024",2023-02-11,0
"10422 _ 1 _ 2023",2023-02-11,0.1
"10422 _ 1 _ 2024",2023-02-11,0.1
"10422 _ 2 _ 2024",2023-02-11,0.1
"10439 _ 1 _ 2023",2023-02-11,0.01
"10439 _ 1 _ 2024",2023-02-11,0.01
"10444 _ 1 _ 2023",2023-02-11,0
"10444 _ 1 _ 2024",2023-02-11,0
"10463 _ 1 _ 2024",2023-02-11,0.1
"10467 _ 1 _ 2023",2023-02-11,0.1
"10467 _ 1 _ 2024",2023-02-11,0.1
"10471 _ 1 _ 2024",2023-02-11,0.1
"10471 _ 2 _ 2024",2023-02-11,0.1
"10488 _ 1 _ 2023",2023-02-11,0
"10498 _ 1 _ 2023",2023-02-11,0
"10506 _ 1 _ 2023",2023-02-11,0.1
"10506 _ 1 _ 2024",2023-02-11,0.1
"10550 _ 1 _ 2023",2023-02-11,0.1
"10553 _ 1 _ 2023",2023-02-11,0
"10597 _ 1 _ 2023",2023-02-11,0
"10597 _ 1 _ 2024",2023-02-11,0
"10956 _ 1 _ 2023",2023-02-11,0.1
"10956 _ 1 _ 2024",2023-02-11,0.1
"10963 _ 1 _ 2023",2023-02-11,0
"10965 _ 1 _ 2023",2023-02-11,0
"10968 _ 1 _ 2023",2023-02-11,0
"10968 _ 1 _ 2024",2023-02-11,0
"11079 _ 1 _ 2023",2023-02-11,0.02
"11081 _ 1 _ 2024",2023-02-11,0.02
"11084 _ 1 _ 2024",2023-02-11,0.02
"12033 _ 1 _ 2023",2023-02-11,0.08
"12033 _ 1 _ 2024",2023-02-11,0.08
"12098 _ 1 _ 2023",2023-02-11,0.76
"12098 _ 1 _ 2024",2023-02-11,0.75
"12213 _ 1 _ 2023",2023-02-11,0.09
"12213 _ 1 _ 2024",2023-02-11,0.09
"12239 _ 1 _ 2023",2023-02-11,0.09
"12239 _ 1 _ 2024",2023-02-11,0.09
"12349 _ 1 _ 2023",2023-02-11,0.76
"12349 _ 1 _ 2024",2023-02-11,0.76
"12351 _ 1 _ 2023",2023-02-11,0.39
"12362 _ 1 _ 2023",2023-02-11,0.07
"12362 _ 1 _ 2024",2023-02-11,0.07
"12364 _ 1 _ 2023",2023-02-11,0.07
"12364 _ 1 _ 2024",2023-02-11,0.07
"12392 _ 1 _ 2023",2023-02-11,0.55
"12421 _ 1 _ 2023",2023-02-11,0.03
"12421 _ 1 _ 2024",2023-02-11,0.03
"12441 _ 1 _ 2023",2023-02-11,0.26
"12441 _ 1 _ 2024",2023-02-11,0.26
"12560 _ 1 _ 2023",2023-02-11,0.03
"12560 _ 1 _ 2024",2023-02-11,0.03
"12776 _ 1 _ 2024",2023-02-11,0.03
"12804 _ 1 _ 2023",2023-02-11,0.76
"12804 _ 1 _ 2024",2023-02-11,0.76
"12805 _ 1 _ 2023",2023-02-11,0.76
"12805 _ 1 _ 2024",2023-02-11,0.76
"12806 _ 1 _ 2024",2023-02-11,0.49
"13924 _ 1 _ 2023",2023-02-11,0.01
"13924 _ 1 _ 2024",2023-02-11,0.01
"15562 _ 1 _ 2023",2023-02-11,0.02
"15562 _ 1 _ 2024",2023-02-11,0.02
"16804 _ 1 _ 2023",2023-02-11,0
"20039 _ 1 _ 2023",2023-02-11,0
"20039 _ 1 _ 2024",2023-02-11,0
"20053 _ 1 _ 2023",2023-02-11,0
"20053 _ 1 _ 2024",2023-02-11,0
"20550 _ 1 _ 2023",2023-02-11,0.07
"20550 _ 1 _ 2024",2023-02-11,0.07
"20616 _ 1 _ 2023",2023-02-11,0
"20616 _ 1 _ 2024",2023-02-11,0
"20626 _ 1 _ 2024",2023-02-11,0
"21026 _ 1 _ 2023",2023-02-11,0.1
"21159 _ 1 _ 2023",2023-02-11,0.1
"25954 _ 1 _ 2023",2023-02-11,0
"29121 _ 1 _ 2023",2023-02-11,0
"29121 _ 1 _ 2024",2023-02-11,0
"29122 _ 1 _ 2023",2023-02-11,0
"29122 _ 1 _ 2024",2023-02-11,0.01
"29123 _ 1 _ 2023",2023-02-11,0
"29123 _ 1 _ 2024",2023-02-11,0
"29429 _ 1 _ 2023",2023-02-11,0.07
"29429 _ 1 _ 2024",2023-02-11,0.07
"29431 _ 1 _ 2023",2023-02-11,0.01
"29431 _ 1 _ 2024",2023-02-11,0.01
"29889 _ 1 _ 2023",2023-02-11,0.07
"29889 _ 1 _ 2024",2023-02-11,0.07
"33628 _ 1 _ 2023",2023-02-11,0
"33628 _ 1 _ 2024",2023-02-11,0
"33651 _ 1 _ 2023",2023-02-11,0
"33651 _ 1 _ 2024",2023-02-11,0
"33689 _ 1 _ 2023",2023-02-11,0
"33689 _ 1 _ 2024",2023-02-11,0
"33754 _ 1 _ 2023",2023-02-11,0.33
"33810 _ 1 _ 2023",2023-02-11,0.01
"33810 _ 1 _ 2024",2023-02-11,0
"34007 _ 1 _ 2023",2023-02-11,0.15
"34007 _ 1 _ 2024",2023-02-11,0.15
"34017 _ 1 _ 2023",2023-02-11,0
"34017 _ 1 _ 2024",2023-02-11,0
"408143 _ 1 _ 2023",2023-02-11,0.13
"408143 _ 1 _ 2024",2023-02-11,0.13
"408161 _ 1 _ 2023",2023-02-11,0.13
"408162 _ 1 _ 2023",2023-02-11,0
"408162 _ 1 _ 2024",2023-02-11,0
"408178 _ 1 _ 2023",2023-02-11,0
"408178 _ 1 _ 2024",2023-02-11,0
"408178 _ 2 _ 2023",2023-02-11,0
"408178 _ 2 _ 2024",2023-02-11,0
"408180 _ 1 _ 2023",2023-02-11,0
"408180 _ 1 _ 2024",2023-02-11,0
"9757 _ 1 _ 2023",2023-02-11,0
"9757 _ 1 _ 2024",2023-02-11,0
"10024 _ 1 _ 2023",2023-02-12,0
"10024 _ 1 _ 2024",2023-02-12,0
"10078 _ 1 _ 2023",2023-02-12,0
"10078 _ 1 _ 2024",2023-02-12,0
"10153 _ 1 _ 2023",2023-02-12,0
"10153 _ 1 _ 2024",2023-02-12,0
"10185 _ 1 _ 2023",2023-02-12,0
"10185 _ 1 _ 2024",2023-02-12,0
"10258 _ 1 _ 2023",2023-02-12,0
"10302 _ 1 _ 2023",2023-02-12,0
"10302 _ 1 _ 2024",2023-02-12,0
"10399 _ 1 _ 2023",2023-02-12,0
"10399 _ 1 _ 2024",2023-02-12,0
"10403 _ 1 _ 2023",2023-02-12,0
"10403 _ 1 _ 2024",2023-02-12,0
"10422 _ 1 _ 2023",2023-02-12,0
"10422 _ 1 _ 2024",2023-02-12,0
"10422 _ 2 _ 2024",2023-02-12,0
"10439 _ 1 _ 2023",2023-02-12,0
"10439 _ 1 _ 2024",2023-02-12,0
"10444 _ 1 _ 2023",2023-02-12,0
"10444 _ 1 _ 2024",2023-02-12,0
"10463 _ 1 _ 2024",2023-02-12,0
"10467 _ 1 _ 2023",2023-02-12,0
"10467 _ 1 _ 2024",2023-02-12,0
"10471 _ 1 _ 2024",2023-02-12,0
"10471 _ 2 _ 2024",2023-02-12,0
"10488 _ 1 _ 2023",2023-02-12,0
"10498 _ 1 _ 2023",2023-02-12,0
"10506 _ 1 _ 2023",2023-02-12,0
"10506 _ 1 _ 2024",2023-02-12,0
"10550 _ 1 _ 2023",2023-02-12,0
"10553 _ 1 _ 2023",2023-02-12,0
"10597 _ 1 _ 2023",2023-02-12,0
"10597 _ 1 _ 2024",2023-02-12,0
"10956 _ 1 _ 2023",2023-02-12,0
"10956 _ 1 _ 2024",2023-02-12,0
"10963 _ 1 _ 2023",2023-02-12,0
"10965 _ 1 _ 2023",2023-02-12,0
"10968 _ 1 _ 2023",2023-02-12,0
"10968 _ 1 _ 2024",2023-02-12,0
"11079 _ 1 _ 2023",2023-02-12,0
"11081 _ 1 _ 2024",2023-02-12,0
"11084 _ 1 _ 2024",2023-02-12,0
"12033 _ 1 _ 2023",2023-02-12,0
"12033 _ 1 _ 2024",2023-02-12,0
"12098 _ 1 _ 2023",2023-02-12,0
"12098 _ 1 _ 2024",2023-02-12,0
"12213 _ 1 _ 2023",2023-02-12,0
"12213 _ 1 _ 2024",2023-02-12,0
"12239 _ 1 _ 2023",2023-02-12,0
"12239 _ 1 _ 2024",2023-02-12,0
"12349 _ 1 _ 2023",2023-02-12,0
"12349 _ 1 _ 2024",2023-02-12,0
"12351 _ 1 _ 2023",2023-02-12,0
"12362 _ 1 _ 2023",2023-02-12,0
"12362 _ 1 _ 2024",2023-02-12,0
"12364 _ 1 _ 2023",2023-02-12,0
"12364 _ 1 _ 2024",2023-02-12,0
"12392 _ 1 _ 2023",2023-02-12,0
"12421 _ 1 _ 2023",2023-02-12,0
"12421 _ 1 _ 2024",2023-02-12,0
"12441 _ 1 _ 2023",2023-02-12,0
"12441 _ 1 _ 2024",2023-02-12,0
"12560 _ 1 _ 2023",2023-02-12,0
"12560 _ 1 _ 2024",2023-02-12,0
"12776 _ 1 _ 2024",2023-02-12,0
"12804 _ 1 _ 2023",2023-02-12,0
"12804 _ 1 _ 2024",2023-02-12,0
"12805 _ 1 _ 2023",2023-02-12,0
"12805 _ 1 _ 2024",2023-02-12,0
"12806 _ 1 _ 2024",2023-02-12,0
"13924 _ 1 _ 2023",2023-02-12,0
"13924 _ 1 _ 2024",2023-02-12,0
"15562 _ 1 _ 2023",2023-02-12,0
"15562 _ 1 _ 2024",2023-02-12,0
"16804 _ 1 _ 2023",2023-02-12,0
"20039 _ 1 _ 2023",2023-02-12,0
"20039 _ 1 _ 2024",2023-02-12,0
"20053 _ 1 _ 2023",2023-02-12,0
"20053 _ 1 _ 2024",2023-02-12,0
"20550 _ 1 _ 2023",2023-02-12,0
"20550 _ 1 _ 2024",2023-02-12,0
"20616 _ 1 _ 2023",2023-02-12,0
"20616 _ 1 _ 2024",2023-02-12,0
"20626 _ 1 _ 2024",2023-02-12,0
"21026 _ 1 _ 2023",2023-02-12,0
"21159 _ 1 _ 2023",2023-02-12,0
"25954 _ 1 _ 2023",2023-02-12,0
"29121 _ 1 _ 2023",2023-02-12,0
"29121 _ 1 _ 2024",2023-02-12,0
"29122 _ 1 _ 2023",2023-02-12,0
"29122 _ 1 _ 2024",2023-02-12,0
"29123 _ 1 _ 2023",2023-02-12,0
"29123 _ 1 _ 2024",2023-02-12,0
"29429 _ 1 _ 2023",2023-02-12,0
"29429 _ 1 _ 2024",2023-02-12,0
"29431 _ 1 _ 2023",2023-02-12,0
"29431 _ 1 _ 2024",2023-02-12,0
"29889 _ 1 _ 2023",2023-02-12,0
"29889 _ 1 _ 2024",2023-02-12,0
"33628 _ 1 _ 2023",2023-02-12,0
"33628 _ 1 _ 2024",2023-02-12,0
"33651 _ 1 _ 2023",2023-02-12,0
"33651 _ 1 _ 2024",2023-02-12,0
"33689 _ 1 _ 2023",2023-02-12,0
"33689 _ 1 _ 2024",2023-02-12,0
"33754 _ 1 _ 2023",2023-02-12,0
"33810 _ 1 _ 2023",2023-02-12,0
"33810 _ 1 _ 2024",2023-02-12,0
"34007 _ 1 _ 2023",2023-02-12,0
"34007 _ 1 _ 2024",2023-02-12,0
"34017 _ 1 _ 2023",2023-02-12,0
"34017 _ 1 _ 2024",2023-02-12,0
"408143 _ 1 _ 2023",2023-02-12,0
"408143 _ 1 _ 2024",2023-02-12,0
"408161 _ 1 _ 2023",2023-02-12,0
"408162 _ 1 _ 2023",2023-02-12,0
"408162 _ 1 _ 2024",2023-02-12,0
"408178 _ 1 _ 2023",2023-02-12,0
"408178 _ 1 _ 2024",2023-02-12,0
"408178 _ 2 _ 2023",2023-02-12,0
"408178 _ 2 _ 2024",2023-02-12,0
"408180 _ 1 _ 2023",2023-02-12,0
"408180 _ 1 _ 2024",2023-02-12,0
"9757 _ 1 _ 2023",2023-02-12,0
"9757 _ 1 _ 2024",2023-02-12,0
"10024 _ 1 _ 2023",2023-02-13,2.46
"10024 _ 1 _ 2024",2023-02-13,2.75
"10078 _ 1 _ 2023",2023-02-13,2.75
"10078 _ 1 _ 2024",2023-02-13,2.75
"10153 _ 1 _ 2023",2023-02-13,2.24
"10153 _ 1 _ 2024",2023-02-13,2.24
"10185 _ 1 _ 2023",2023-02-13,2.97
"10185 _ 1 _ 2024",2023-02-13,2.97
"10258 _ 1 _ 2023",2023-02-13,3.02
"10302 _ 1 _ 2023",2023-02-13,1.66
"10302 _ 1 _ 2024",2023-02-13,1.66
"10399 _ 1 _ 2023",2023-02-13,3.02
"10399 _ 1 _ 2024",2023-02-13,3.02
"10403 _ 1 _ 2023",2023-02-13,2.95
"10403 _ 1 _ 2024",2023-02-13,2.95
"10422 _ 1 _ 2023",2023-02-13,2.75
"10422 _ 1 _ 2024",2023-02-13,2.75
"10422 _ 2 _ 2024",2023-02-13,2.75
"10439 _ 1 _ 2023",2023-02-13,2.24
"10439 _ 1 _ 2024",2023-02-13,2.24
"10444 _ 1 _ 2023",2023-02-13,2.95
"10444 _ 1 _ 2024",2023-02-13,2.95
"10463 _ 1 _ 2024",2023-02-13,2.75
"10467 _ 1 _ 2023",2023-02-13,2.75
"10467 _ 1 _ 2024",2023-02-13,2.75
"10471 _ 1 _ 2024",2023-02-13,2.75
"10471 _ 2 _ 2024",2023-02-13,2.75
"10488 _ 1 _ 2023",2023-02-13,2.95
"10498 _ 1 _ 2023",2023-02-13,3.09
"10506 _ 1 _ 2023",2023-02-13,2.75
"10506 _ 1 _ 2024",2023-02-13,2.75
"10550 _ 1 _ 2023",2023-02-13,2.75
"10553 _ 1 _ 2023",2023-02-13,3.09
"10597 _ 1 _ 2023",2023-02-13,2.97
"10597 _ 1 _ 2024",2023-02-13,2.97
"10956 _ 1 _ 2023",2023-02-13,2.75
"10956 _ 1 _ 2024",2023-02-13,2.75
"10963 _ 1 _ 2023",2023-02-13,2.95
"10965 _ 1 _ 2023",2023-02-13,3.09
"10968 _ 1 _ 2023",2023-02-13,3.02
"10968 _ 1 _ 2024",2023-02-13,3.02
"11079 _ 1 _ 2023",2023-02-13,3.02
"11081 _ 1 _ 2024",2023-02-13,3.02
"11084 _ 1 _ 2024",2023-02-13,3.02
"12033 _ 1 _ 2023",2023-02-13,2.21
"12033 _ 1 _ 2024",2023-02-13,2.21
"12098 _ 1 _ 2023",2023-02-13,4.45
"12098 _ 1 _ 2024",2023-02-13,1.82
"12213 _ 1 _ 2023",2023-02-13,1.45
"12213 _ 1 _ 2024",2023-02-13,1.45
"12239 _ 1 _ 2023",2023-02-13,1.45
"12239 _ 1 _ 2024",2023-02-13,1.45
"12349 _ 1 _ 2023",2023-02-13,4.45
"12349 _ 1 _ 2024",2023-02-13,4.45
"12351 _ 1 _ 2023",2023-02-13,4.17
"12362 _ 1 _ 2023",2023-02-13,3.2
"12362 _ 1 _ 2024",2023-02-13,3.2
"12364 _ 1 _ 2023",2023-02-13,3.2
"12364 _ 1 _ 2024",2023-02-13,3.2
"12392 _ 1 _ 2023",2023-02-13,1.12
"12421 _ 1 _ 2023",2023-02-13,2.26
"12421 _ 1 _ 2024",2023-02-13,2.26
"12441 _ 1 _ 2023",2023-02-13,2.52
"12441 _ 1 _ 2024",2023-02-13,2.52
"12560 _ 1 _ 2023",2023-02-13,2.84
"12560 _ 1 _ 2024",2023-02-13,2.84
"12776 _ 1 _ 2024",2023-02-13,2.84
"12804 _ 1 _ 2023",2023-02-13,4.45
"12804 _ 1 _ 2024",2023-02-13,4.45
"12805 _ 1 _ 2023",2023-02-13,4.45
"12805 _ 1 _ 2024",2023-02-13,4.45
"12806 _ 1 _ 2024",2023-02-13,4.31
"13924 _ 1 _ 2023",2023-02-13,1.28
"13924 _ 1 _ 2024",2023-02-13,1.28
"15562 _ 1 _ 2023",2023-02-13,2.29
"15562 _ 1 _ 2024",2023-02-13,2.29
"16804 _ 1 _ 2023",2023-02-13,2.97
"20039 _ 1 _ 2023",2023-02-13,3.53
"20039 _ 1 _ 2024",2023-02-13,3.53
"20053 _ 1 _ 2023",2023-02-13,3.53
"20053 _ 1 _ 2024",2023-02-13,3.53
"20550 _ 1 _ 2023",2023-02-13,3.93
"20550 _ 1 _ 2024",2023-02-13,3.93
"20616 _ 1 _ 2023",2023-02-13,2.12
"20616 _ 1 _ 2024",2023-02-13,2.12
"20626 _ 1 _ 2024",2023-02-13,3.92
"21026 _ 1 _ 2023",2023-02-13,4.13
"21159 _ 1 _ 2023",2023-02-13,4.13
"25954 _ 1 _ 2023",2023-02-13,3.75
"29121 _ 1 _ 2023",2023-02-13,2.65
"29121 _ 1 _ 2024",2023-02-13,2.65
"29122 _ 1 _ 2023",2023-02-13,2.65
"29122 _ 1 _ 2024",2023-02-13,3.5
"29123 _ 1 _ 2023",2023-02-13,2.65
"29123 _ 1 _ 2024",2023-02-13,2.65
"29429 _ 1 _ 2023",2023-02-13,3.93
"29429 _ 1 _ 2024",2023-02-13,3.93
"29431 _ 1 _ 2023",2023-02-13,3.5
"29431 _ 1 _ 2024",2023-02-13,3.5
"29889 _ 1 _ 2023",2023-02-13,3.93
"29889 _ 1 _ 2024",2023-02-13,3.93
"33628 _ 1 _ 2023",2023-02-13,1.64
"33628 _ 1 _ 2024",2023-02-13,1.64
"33651 _ 1 _ 2023",2023-02-13,1.57
"33651 _ 1 _ 2024",2023-02-13,1.57
"33689 _ 1 _ 2023",2023-02-13,1.66
"33689 _ 1 _ 2024",2023-02-13,1.66
"33754 _ 1 _ 2023",2023-02-13,1.97
"33810 _ 1 _ 2023",2023-02-13,2.24
"33810 _ 1 _ 2024",2023-02-13,1.66
"34007 _ 1 _ 2023",2023-02-13,1.72
"34007 _ 1 _ 2024",2023-02-13,1.72
"34017 _ 1 _ 2023",2023-02-13,1.13
"34017 _ 1 _ 2024",2023-02-13,1.13
"408143 _ 1 _ 2023",2023-02-13,1.54
"408143 _ 1 _ 2024",2023-02-13,1.54
"408161 _ 1 _ 2023",2023-02-13,1.54
"408162 _ 1 _ 2023",2023-02-13,1.66
"408162 _ 1 _ 2024",2023-02-13,1.66
"408178 _ 1 _ 2023",2023-02-13,1.57
"408178 _ 1 _ 2024",2023-02-13,1.57
"408178 _ 2 _ 2023",2023-02-13,1.57
"408178 _ 2 _ 2024",2023-02-13,1.57
"408180 _ 1 _ 2023",2023-02-13,1.57
"408180 _ 1 _ 2024",2023-02-13,1.57
"9757 _ 1 _ 2023",2023-02-13,1.64
"9757 _ 1 _ 2024",2023-02-13,1.64
"10024 _ 1 _ 2023",2023-02-14,11.54
"10024 _ 1 _ 2024",2023-02-14,15.65
"10078 _ 1 _ 2023",2023-02-14,15.65
"10078 _ 1 _ 2024",2023-02-14,15.65
"10153 _ 1 _ 2023",2023-02-14,26.45
"10153 _ 1 _ 2024",2023-02-14,26.45
"10185 _ 1 _ 2023",2023-02-14,27.53
"10185 _ 1 _ 2024",2023-02-14,27.53
"10258 _ 1 _ 2023",2023-02-14,17.07
"10302 _ 1 _ 2023",2023-02-14,15.66
"10302 _ 1 _ 2024",2023-02-14,15.66
"10399 _ 1 _ 2023",2023-02-14,25.96
"10399 _ 1 _ 2024",2023-02-14,25.96
"10403 _ 1 _ 2023",2023-02-14,22.87
"10403 _ 1 _ 2024",2023-02-14,22.87
"10422 _ 1 _ 2023",2023-02-14,15.65
"10422 _ 1 _ 2024",2023-02-14,15.65
"10422 _ 2 _ 2024",2023-02-14,15.65
"10439 _ 1 _ 2023",2023-02-14,26.45
"10439 _ 1 _ 2024",2023-02-14,26.45
"10444 _ 1 _ 2023",2023-02-14,22.87
"10444 _ 1 _ 2024",2023-02-14,22.87
"10463 _ 1 _ 2024",2023-02-14,15.65
"10467 _ 1 _ 2023",2023-02-14,15.65
"10467 _ 1 _ 2024",2023-02-14,15.65
"10471 _ 1 _ 2024",2023-02-14,15.65
"10471 _ 2 _ 2024",2023-02-14,15.65
"10488 _ 1 _ 2023",2023-02-14,22.87
"10498 _ 1 _ 2023",2023-02-14,28.3
"10506 _ 1 _ 2023",2023-02-14,15.65
"10506 _ 1 _ 2024",2023-02-14,15.65
"10550 _ 1 _ 2023",2023-02-14,15.65
"10553 _ 1 _ 2023",2023-02-14,28.3
"10597 _ 1 _ 2023",2023-02-14,27.53
"10597 _ 1 _ 2024",2023-02-14,27.53
"10956 _ 1 _ 2023",2023-02-14,15.65
"10956 _ 1 _ 2024",2023-02-14,15.65
"10963 _ 1 _ 2023",2023-02-14,22.87
"10965 _ 1 _ 2023",2023-02-14,28.3
"10968 _ 1 _ 2023",2023-02-14,25.96
"10968 _ 1 _ 2024",2023-02-14,25.96
"11079 _ 1 _ 2023",2023-02-14,17.07
"11081 _ 1 _ 2024",2023-02-14,17.07
