"site_id","subplot","counts"
"10467 _ 1 _ 2024",1,1
"10467 _ 1 _ 2024",2,0
"10467 _ 1 _ 2024",3,0
"10467 _ 1 _ 2024",4,0
"10467 _ 1 _ 2024",5,0
"10467 _ 1 _ 2024",6,0
"10467 _ 1 _ 2024",7,0
"10471 _ 1 _ 2024",1,0
"10471 _ 1 _ 2024",2,0
"10471 _ 1 _ 2024",3,1
"10471 _ 1 _ 2024",4,0
"10471 _ 1 _ 2024",5,0
"10471 _ 1 _ 2024",6,0
"10471 _ 1 _ 2024",7,0
"10471 _ 2 _ 2024",1,0
"10471 _ 2 _ 2024",2,0
"10471 _ 2 _ 2024",3,0
"10471 _ 2 _ 2024",4,0
"10471 _ 2 _ 2024",5,0
"10471 _ 2 _ 2024",6,0
"10471 _ 2 _ 2024",7,1
"10488 _ 1 _ 2023",1,0
"10488 _ 1 _ 2023",2,0
"10488 _ 1 _ 2023",3,0
"10488 _ 1 _ 2023",4,0
"10488 _ 1 _ 2023",5,0
"10488 _ 1 _ 2023",6,0
"10488 _ 1 _ 2023",7,1
"10498 _ 1 _ 2023",1,0
"10498 _ 1 _ 2023",2,0
"10498 _ 1 _ 2023",3,0
"10498 _ 1 _ 2023",4,0
"10498 _ 1 _ 2023",5,0
"10498 _ 1 _ 2023",6,0
"10498 _ 1 _ 2023",7,0
"10506 _ 1 _ 2023",1,0
"10506 _ 1 _ 2023",2,1
"10506 _ 1 _ 2023",3,1
"10506 _ 1 _ 2023",4,0
"10506 _ 1 _ 2023",5,0
"10506 _ 1 _ 2023",6,0
"10506 _ 1 _ 2023",7,0
"10506 _ 1 _ 2024",1,0
"10506 _ 1 _ 2024",2,1
"10506 _ 1 _ 2024",3,3
"10506 _ 1 _ 2024",4,0
"10506 _ 1 _ 2024",5,0
"10506 _ 1 _ 2024",6,0
"10506 _ 1 _ 2024",7,0
"10550 _ 1 _ 2023",1,0
"10550 _ 1 _ 2023",2,0
"10550 _ 1 _ 2023",3,0
"10550 _ 1 _ 2023",4,0
"10550 _ 1 _ 2023",5,0
"10550 _ 1 _ 2023",6,0
"10550 _ 1 _ 2023",7,0
"10553 _ 1 _ 2023",1,2
"10553 _ 1 _ 2023",2,0
"10553 _ 1 _ 2023",3,0
"10553 _ 1 _ 2023",4,1
"10553 _ 1 _ 2023",5,0
"10553 _ 1 _ 2023",6,0
"10553 _ 1 _ 2023",7,2
"10597 _ 1 _ 2023",1,0
"10597 _ 1 _ 2023",2,0
"10597 _ 1 _ 2023",3,0
"10597 _ 1 _ 2023",4,0
"10597 _ 1 _ 2023",5,0
"10597 _ 1 _ 2023",6,0
"10597 _ 1 _ 2023",7,0
"10597 _ 1 _ 2024",1,0
"10597 _ 1 _ 2024",2,0
"10597 _ 1 _ 2024",3,0
"10597 _ 1 _ 2024",4,0
"10597 _ 1 _ 2024",5,0
"10597 _ 1 _ 2024",6,0
"10597 _ 1 _ 2024",7,1
"10956 _ 1 _ 2023",1,0
"10956 _ 1 _ 2023",2,0
"10956 _ 1 _ 2023",3,0
"10956 _ 1 _ 2023",4,0
"10956 _ 1 _ 2023",5,0
"10956 _ 1 _ 2023",6,0
"10956 _ 1 _ 2023",7,0
"10956 _ 1 _ 2024",1,0
"10956 _ 1 _ 2024",2,0
"10956 _ 1 _ 2024",3,0
"10956 _ 1 _ 2024",4,0
"10956 _ 1 _ 2024",5,0
"10956 _ 1 _ 2024",6,0
"10956 _ 1 _ 2024",7,0
"10963 _ 1 _ 2023",1,0
"10963 _ 1 _ 2023",2,0
"10963 _ 1 _ 2023",3,0
"10963 _ 1 _ 2023",4,2
"10963 _ 1 _ 2023",5,0
"10963 _ 1 _ 2023",6,0
"10963 _ 1 _ 2023",7,0
"10965 _ 1 _ 2023",1,0
"10965 _ 1 _ 2023",2,0
"10965 _ 1 _ 2023",3,0
"10965 _ 1 _ 2023",4,0
"10965 _ 1 _ 2023",5,0
"10965 _ 1 _ 2023",6,0
"10965 _ 1 _ 2023",7,0
"10968 _ 1 _ 2023",1,0
"10968 _ 1 _ 2023",2,0
"10968 _ 1 _ 2023",3,0
"10968 _ 1 _ 2023",4,0
"10968 _ 1 _ 2023",5,0
"10968 _ 1 _ 2023",6,0
"10968 _ 1 _ 2023",7,0
"10968 _ 1 _ 2024",1,1
"10968 _ 1 _ 2024",2,0
"10968 _ 1 _ 2024",3,0
"10968 _ 1 _ 2024",4,2
"10968 _ 1 _ 2024",5,1
"10968 _ 1 _ 2024",6,0
"10968 _ 1 _ 2024",7,2
"11079 _ 1 _ 2023",1,0
"11079 _ 1 _ 2023",2,0
"11079 _ 1 _ 2023",3,0
"11079 _ 1 _ 2023",4,0
"11079 _ 1 _ 2023",5,0
"11079 _ 1 _ 2023",6,0
"11079 _ 1 _ 2023",7,0
"11081 _ 1 _ 2024",1,0
"11081 _ 1 _ 2024",2,0
"11081 _ 1 _ 2024",3,0
"11081 _ 1 _ 2024",4,0
"11081 _ 1 _ 2024",5,1
"11081 _ 1 _ 2024",6,0
"11081 _ 1 _ 2024",7,0
"11084 _ 1 _ 2024",1,1
"11084 _ 1 _ 2024",2,0
"11084 _ 1 _ 2024",3,0
"11084 _ 1 _ 2024",4,0
"11084 _ 1 _ 2024",5,0
"11084 _ 1 _ 2024",6,1
"11084 _ 1 _ 2024",7,0
"12033 _ 1 _ 2023",1,0
"12033 _ 1 _ 2023",2,1
"12033 _ 1 _ 2023",3,0
"12033 _ 1 _ 2023",4,0
"12033 _ 1 _ 2023",5,2
"12033 _ 1 _ 2023",6,0
"12033 _ 1 _ 2023",7,1
"12033 _ 1 _ 2024",1,0
"12033 _ 1 _ 2024",2,0
"12033 _ 1 _ 2024",3,2
"12033 _ 1 _ 2024",4,1
"12033 _ 1 _ 2024",5,1
"12033 _ 1 _ 2024",6,0
"12033 _ 1 _ 2024",7,0
"12098 _ 1 _ 2023",1,0
"12098 _ 1 _ 2023",2,0
"12098 _ 1 _ 2023",3,0
"12098 _ 1 _ 2023",4,0
"12098 _ 1 _ 2023",5,0
"12098 _ 1 _ 2023",6,1
"12098 _ 1 _ 2023",7,0
"12098 _ 1 _ 2024",1,0
"12098 _ 1 _ 2024",2,0
"12098 _ 1 _ 2024",3,0
"12098 _ 1 _ 2024",4,1
"12098 _ 1 _ 2024",5,0
"12098 _ 1 _ 2024",6,0
"12098 _ 1 _ 2024",7,0
"12213 _ 1 _ 2023",1,2
"12213 _ 1 _ 2023",2,1
"12213 _ 1 _ 2023",3,0
"12213 _ 1 _ 2023",4,0
"12213 _ 1 _ 2023",5,2
"12213 _ 1 _ 2023",6,0
"12213 _ 1 _ 2023",7,2
"12213 _ 1 _ 2024",1,0
"12213 _ 1 _ 2024",2,0
"12213 _ 1 _ 2024",3,0
"12213 _ 1 _ 2024",4,0
"12213 _ 1 _ 2024",5,0
"12213 _ 1 _ 2024",6,1
"12213 _ 1 _ 2024",7,0
"12239 _ 1 _ 2023",1,0
"12239 _ 1 _ 2023",2,0
"12239 _ 1 _ 2023",3,0
"12239 _ 1 _ 2023",4,0
"12239 _ 1 _ 2023",5,0
"12239 _ 1 _ 2023",6,0
"12239 _ 1 _ 2023",7,0
"12239 _ 1 _ 2024",1,0
"12239 _ 1 _ 2024",2,0
"12239 _ 1 _ 2024",3,0
"12239 _ 1 _ 2024",4,0
"12239 _ 1 _ 2024",5,0
"12239 _ 1 _ 2024",6,1
"12239 _ 1 _ 2024",7,0
"12349 _ 1 _ 2023",1,2
"12349 _ 1 _ 2023",2,1
"12349 _ 1 _ 2023",3,0
"12349 _ 1 _ 2023",4,3
"12349 _ 1 _ 2023",5,0
"12349 _ 1 _ 2023",6,1
"12349 _ 1 _ 2023",7,1
"12349 _ 1 _ 2024",1,1
"12349 _ 1 _ 2024",2,0
"12349 _ 1 _ 2024",3,0
"12349 _ 1 _ 2024",4,0
"12349 _ 1 _ 2024",5,1
"12349 _ 1 _ 2024",6,5
"12349 _ 1 _ 2024",7,0
"12351 _ 1 _ 2023",1,0
"12351 _ 1 _ 2023",2,0
"12351 _ 1 _ 2023",3,0
"12351 _ 1 _ 2023",4,0
"12351 _ 1 _ 2023",5,0
"12351 _ 1 _ 2023",6,0
"12351 _ 1 _ 2023",7,0
"12362 _ 1 _ 2023",1,0
"12362 _ 1 _ 2023",2,0
"12362 _ 1 _ 2023",3,0
"12362 _ 1 _ 2023",4,0
"12362 _ 1 _ 2023",5,0
"12362 _ 1 _ 2023",6,0
"12362 _ 1 _ 2023",7,0
"12362 _ 1 _ 2024",1,0
"12362 _ 1 _ 2024",2,0
"12362 _ 1 _ 2024",3,0
"12362 _ 1 _ 2024",4,1
"12362 _ 1 _ 2024",5,0
"12362 _ 1 _ 2024",6,2
"12362 _ 1 _ 2024",7,0
"12364 _ 1 _ 2023",1,0
"12364 _ 1 _ 2023",2,0
"12364 _ 1 _ 2023",3,0
"12364 _ 1 _ 2023",4,0
"12364 _ 1 _ 2023",5,0
"12364 _ 1 _ 2023",6,0
"12364 _ 1 _ 2023",7,0
"12364 _ 1 _ 2024",1,1
"12364 _ 1 _ 2024",2,0
"12364 _ 1 _ 2024",3,0
"12364 _ 1 _ 2024",4,0
"12364 _ 1 _ 2024",5,0
"12364 _ 1 _ 2024",6,0
"12364 _ 1 _ 2024",7,0
"12392 _ 1 _ 2023",1,0
"12392 _ 1 _ 2023",2,0
"12392 _ 1 _ 2023",3,0
"12392 _ 1 _ 2023",4,0
"12392 _ 1 _ 2023",5,0
"12392 _ 1 _ 2023",6,0
"12392 _ 1 _ 2023",7,0
"12421 _ 1 _ 2023",1,2
"12421 _ 1 _ 2023",2,3
"12421 _ 1 _ 2023",3,1
"12421 _ 1 _ 2023",4,0
"12421 _ 1 _ 2023",5,2
"12421 _ 1 _ 2023",6,0
"12421 _ 1 _ 2023",7,0
"12421 _ 1 _ 2024",1,0
"12421 _ 1 _ 2024",2,0
"12421 _ 1 _ 2024",3,0
"12421 _ 1 _ 2024",4,2
"12421 _ 1 _ 2024",5,1
"12421 _ 1 _ 2024",6,0
"12421 _ 1 _ 2024",7,0
"12441 _ 1 _ 2023",1,0
"12441 _ 1 _ 2023",2,0
"12441 _ 1 _ 2023",3,1
"12441 _ 1 _ 2023",4,2
"12441 _ 1 _ 2023",5,1
"12441 _ 1 _ 2023",6,0
"12441 _ 1 _ 2023",7,0
"12441 _ 1 _ 2024",1,0
"12441 _ 1 _ 2024",2,2
"12441 _ 1 _ 2024",3,0
"12441 _ 1 _ 2024",4,1
"12441 _ 1 _ 2024",5,0
"12441 _ 1 _ 2024",6,0
"12441 _ 1 _ 2024",7,3
"12560 _ 1 _ 2023",1,0
"12560 _ 1 _ 2023",2,0
"12560 _ 1 _ 2023",3,0
"12560 _ 1 _ 2023",4,0
"12560 _ 1 _ 2023",5,0
"12560 _ 1 _ 2023",6,0
"12560 _ 1 _ 2023",7,0
"12560 _ 1 _ 2024",1,0
"12560 _ 1 _ 2024",2,0
"12560 _ 1 _ 2024",3,0
"12560 _ 1 _ 2024",4,0
"12560 _ 1 _ 2024",5,1
"12560 _ 1 _ 2024",6,0
"12560 _ 1 _ 2024",7,0
"12776 _ 1 _ 2024",1,0
"12776 _ 1 _ 2024",2,0
"12776 _ 1 _ 2024",3,0
"12776 _ 1 _ 2024",4,0
"12776 _ 1 _ 2024",5,0
"12776 _ 1 _ 2024",6,0
"12776 _ 1 _ 2024",7,0
"12804 _ 1 _ 2023",1,1
"12804 _ 1 _ 2023",2,0
"12804 _ 1 _ 2023",3,0
"12804 _ 1 _ 2023",4,0
"12804 _ 1 _ 2023",5,2
"12804 _ 1 _ 2023",6,1
"12804 _ 1 _ 2023",7,1
"12804 _ 1 _ 2024",1,4
"12804 _ 1 _ 2024",2,2
"12804 _ 1 _ 2024",3,0
"12804 _ 1 _ 2024",4,0
"12804 _ 1 _ 2024",5,0
"12804 _ 1 _ 2024",6,3
"12804 _ 1 _ 2024",7,0
"12805 _ 1 _ 2023",1,0
"12805 _ 1 _ 2023",2,0
"12805 _ 1 _ 2023",3,0
"12805 _ 1 _ 2023",4,0
"12805 _ 1 _ 2023",5,0
"12805 _ 1 _ 2023",6,0
"12805 _ 1 _ 2023",7,0
"12805 _ 1 _ 2024",1,0
"12805 _ 1 _ 2024",2,1
"12805 _ 1 _ 2024",3,0
"12805 _ 1 _ 2024",4,0
"12805 _ 1 _ 2024",5,0
"12805 _ 1 _ 2024",6,1
"12805 _ 1 _ 2024",7,0
"12806 _ 1 _ 2024",1,0
"12806 _ 1 _ 2024",2,0
"12806 _ 1 _ 2024",3,3
"12806 _ 1 _ 2024",4,1
"12806 _ 1 _ 2024",5,0
"12806 _ 1 _ 2024",6,1
"12806 _ 1 _ 2024",7,2
"13924 _ 1 _ 2023",1,0
"13924 _ 1 _ 2023",2,0
"13924 _ 1 _ 2023",3,0
"13924 _ 1 _ 2023",4,0
"13924 _ 1 _ 2023",5,0
"13924 _ 1 _ 2023",6,0
"13924 _ 1 _ 2023",7,0
"13924 _ 1 _ 2024",1,0
"13924 _ 1 _ 2024",2,0
"13924 _ 1 _ 2024",3,1
"13924 _ 1 _ 2024",4,0
"13924 _ 1 _ 2024",5,0
"13924 _ 1 _ 2024",6,0
"13924 _ 1 _ 2024",7,0
"15562 _ 1 _ 2023",1,0
"15562 _ 1 _ 2023",2,0
"15562 _ 1 _ 2023",3,0
"15562 _ 1 _ 2023",4,0
"15562 _ 1 _ 2023",5,1
"15562 _ 1 _ 2023",6,0
"15562 _ 1 _ 2023",7,0
"15562 _ 1 _ 2024",1,0
"15562 _ 1 _ 2024",2,0
"15562 _ 1 _ 2024",3,0
"15562 _ 1 _ 2024",4,0
"15562 _ 1 _ 2024",5,0
"15562 _ 1 _ 2024",6,0
"15562 _ 1 _ 2024",7,2
"16804 _ 1 _ 2023",1,0
"16804 _ 1 _ 2023",2,0
"16804 _ 1 _ 2023",3,0
"16804 _ 1 _ 2023",4,0
"16804 _ 1 _ 2023",5,0
"16804 _ 1 _ 2023",6,0
"16804 _ 1 _ 2023",7,0
"20039 _ 1 _ 2023",1,0
"20039 _ 1 _ 2023",2,0
"20039 _ 1 _ 2023",3,0
"20039 _ 1 _ 2023",4,0
"20039 _ 1 _ 2023",5,0
"20039 _ 1 _ 2023",6,0
"20039 _ 1 _ 2023",7,0
"20039 _ 1 _ 2024",1,0
"20039 _ 1 _ 2024",2,0
"20039 _ 1 _ 2024",3,0
"20039 _ 1 _ 2024",4,0
"20039 _ 1 _ 2024",5,0
"20039 _ 1 _ 2024",6,0
"20039 _ 1 _ 2024",7,0
"20053 _ 1 _ 2023",1,0
"20053 _ 1 _ 2023",2,0
"20053 _ 1 _ 2023",3,0
"20053 _ 1 _ 2023",4,0
"20053 _ 1 _ 2023",5,0
"20053 _ 1 _ 2023",6,0
"20053 _ 1 _ 2023",7,0
"20053 _ 1 _ 2024",1,2
"20053 _ 1 _ 2024",2,0
"20053 _ 1 _ 2024",3,0
"20053 _ 1 _ 2024",4,0
"20053 _ 1 _ 2024",5,1
"20053 _ 1 _ 2024",6,1
"20053 _ 1 _ 2024",7,0
"20550 _ 1 _ 2023",1,0
"20550 _ 1 _ 2023",2,0
"20550 _ 1 _ 2023",3,0
"20550 _ 1 _ 2023",4,0
"20550 _ 1 _ 2023",5,0
"20550 _ 1 _ 2023",6,0
"20550 _ 1 _ 2023",7,0
"20550 _ 1 _ 2024",1,0
"20550 _ 1 _ 2024",2,0
"20550 _ 1 _ 2024",3,0
"20550 _ 1 _ 2024",4,0
"20550 _ 1 _ 2024",5,0
"20550 _ 1 _ 2024",6,0
"20550 _ 1 _ 2024",7,0
"20616 _ 1 _ 2023",1,0
"20616 _ 1 _ 2023",2,0
"20616 _ 1 _ 2023",3,0
"20616 _ 1 _ 2023",4,0
"20616 _ 1 _ 2023",5,0
"20616 _ 1 _ 2023",6,0
"20616 _ 1 _ 2023",7,0
"20616 _ 1 _ 2024",1,0
"20616 _ 1 _ 2024",2,0
"20616 _ 1 _ 2024",3,0
"20616 _ 1 _ 2024",4,0
"20616 _ 1 _ 2024",5,0
"20616 _ 1 _ 2024",6,0
"20616 _ 1 _ 2024",7,0
"20626 _ 1 _ 2024",1,0
"20626 _ 1 _ 2024",2,0
"20626 _ 1 _ 2024",3,0
"20626 _ 1 _ 2024",4,0
"20626 _ 1 _ 2024",5,0
"20626 _ 1 _ 2024",6,0
"20626 _ 1 _ 2024",7,0
"21026 _ 1 _ 2023",1,0
"21026 _ 1 _ 2023",2,0
"21026 _ 1 _ 2023",3,0
"21026 _ 1 _ 2023",4,0
"21026 _ 1 _ 2023",5,0
"21026 _ 1 _ 2023",6,0
"21026 _ 1 _ 2023",7,0
"21159 _ 1 _ 2023",1,0
"21159 _ 1 _ 2023",2,0
"21159 _ 1 _ 2023",3,0
"21159 _ 1 _ 2023",4,0
"21159 _ 1 _ 2023",5,0
"21159 _ 1 _ 2023",6,0
"21159 _ 1 _ 2023",7,0
"25954 _ 1 _ 2023",1,0
"25954 _ 1 _ 2023",2,0
"25954 _ 1 _ 2023",3,0
"25954 _ 1 _ 2023",4,0
"25954 _ 1 _ 2023",5,0
"25954 _ 1 _ 2023",6,0
"25954 _ 1 _ 2023",7,0
"29121 _ 1 _ 2023",1,0
"29121 _ 1 _ 2023",2,0
"29121 _ 1 _ 2023",3,0
"29121 _ 1 _ 2023",4,0
"29121 _ 1 _ 2023",5,0
"29121 _ 1 _ 2023",6,1
"29121 _ 1 _ 2023",7,1
"29121 _ 1 _ 2024",1,0
"29121 _ 1 _ 2024",2,0
"29121 _ 1 _ 2024",3,0
"29121 _ 1 _ 2024",4,2
"29121 _ 1 _ 2024",5,0
"29121 _ 1 _ 2024",6,0
"29121 _ 1 _ 2024",7,0
"29122 _ 1 _ 2023",1,2
"29122 _ 1 _ 2023",2,2
"29122 _ 1 _ 2023",3,0
"29122 _ 1 _ 2023",4,0
"29122 _ 1 _ 2023",5,3
"29122 _ 1 _ 2023",6,2
"29122 _ 1 _ 2023",7,1
"29122 _ 1 _ 2024",1,0
"29122 _ 1 _ 2024",2,0
"29122 _ 1 _ 2024",3,0
"29122 _ 1 _ 2024",4,1
"29122 _ 1 _ 2024",5,1
"29122 _ 1 _ 2024",6,1
"29122 _ 1 _ 2024",7,0
"29123 _ 1 _ 2023",1,0
"29123 _ 1 _ 2023",2,0
"29123 _ 1 _ 2023",3,0
"29123 _ 1 _ 2023",4,0
"29123 _ 1 _ 2023",5,0
"29123 _ 1 _ 2023",6,0
"29123 _ 1 _ 2023",7,0
"29123 _ 1 _ 2024",1,0
"29123 _ 1 _ 2024",2,1
"29123 _ 1 _ 2024",3,4
"29123 _ 1 _ 2024",4,0
"29123 _ 1 _ 2024",5,0
"29123 _ 1 _ 2024",6,0
"29123 _ 1 _ 2024",7,0
"29429 _ 1 _ 2023",1,0
"29429 _ 1 _ 2023",2,1
"29429 _ 1 _ 2023",3,0
"29429 _ 1 _ 2023",4,0
"29429 _ 1 _ 2023",5,0
"29429 _ 1 _ 2023",6,0
"29429 _ 1 _ 2023",7,0
"29429 _ 1 _ 2024",1,2
"29429 _ 1 _ 2024",2,1
"29429 _ 1 _ 2024",3,2
"29429 _ 1 _ 2024",4,1
"29429 _ 1 _ 2024",5,1
"29429 _ 1 _ 2024",6,0
"29429 _ 1 _ 2024",7,0
"29431 _ 1 _ 2023",1,0
"29431 _ 1 _ 2023",2,0
"29431 _ 1 _ 2023",3,1
"29431 _ 1 _ 2023",4,0
"29431 _ 1 _ 2023",5,0
"29431 _ 1 _ 2023",6,0
"29431 _ 1 _ 2023",7,0
"29431 _ 1 _ 2024",1,1
"29431 _ 1 _ 2024",2,0
"29431 _ 1 _ 2024",3,0
"29431 _ 1 _ 2024",4,0
"29431 _ 1 _ 2024",5,0
"29431 _ 1 _ 2024",6,0
"29431 _ 1 _ 2024",7,0
"29889 _ 1 _ 2023",1,0
"29889 _ 1 _ 2023",2,0
"29889 _ 1 _ 2023",3,0
"29889 _ 1 _ 2023",4,0
"29889 _ 1 _ 2023",5,0
"29889 _ 1 _ 2023",6,0
"29889 _ 1 _ 2023",7,0
"29889 _ 1 _ 2024",1,0
"29889 _ 1 _ 2024",2,0
"29889 _ 1 _ 2024",3,0
"29889 _ 1 _ 2024",4,0
"29889 _ 1 _ 2024",5,0
"29889 _ 1 _ 2024",6,1
"29889 _ 1 _ 2024",7,0
"33628 _ 1 _ 2023",1,0
"33628 _ 1 _ 2023",2,4
"33628 _ 1 _ 2023",3,0
"33628 _ 1 _ 2023",4,0
"33628 _ 1 _ 2023",5,0
"33628 _ 1 _ 2023",6,0
"33628 _ 1 _ 2023",7,0
"33628 _ 1 _ 2024",1,0
"33628 _ 1 _ 2024",2,0
"33628 _ 1 _ 2024",3,0
"33628 _ 1 _ 2024",4,0
"33628 _ 1 _ 2024",5,0
"33628 _ 1 _ 2024",6,0
"33628 _ 1 _ 2024",7,0
"33651 _ 1 _ 2023",1,2
"33651 _ 1 _ 2023",2,0
"33651 _ 1 _ 2023",3,3
"33651 _ 1 _ 2023",4,0
"33651 _ 1 _ 2023",5,0
"33651 _ 1 _ 2023",6,0
"33651 _ 1 _ 2023",7,0
"33651 _ 1 _ 2024",1,0
"33651 _ 1 _ 2024",2,0
"33651 _ 1 _ 2024",3,0
"33651 _ 1 _ 2024",4,3
"33651 _ 1 _ 2024",5,0
"33651 _ 1 _ 2024",6,0
"33651 _ 1 _ 2024",7,0
