"plot_id","site_id","landowner","tree_farm","stand","subplot","trt","year","date","date_mdy","lat","long","weather","elev","temp","hum","canopy_cov","veg_cov","dwd_cov","fwd_cov","soil_moist_avg","obs","PLDU","ENES","OSS","TAGR","AMGR","ANFE"
"10153 _ 1 _ 2023 _ 3","10153 _ 1 _ 2023","WY","CL",10153,3,"BS",2023,"5/4/2023",2023-05-04,45.11854,122.34429,"R",2736,46,90,0,3,1,1,30.1,NA,0,0,0,0,0,0
"10153 _ 1 _ 2023 _ 4","10153 _ 1 _ 2023","WY","CL",10153,4,"BS",2023,"5/4/2023",2023-05-04,45.11827,122.34402,"R",2715,46,92.6,0,2,1,1,27.03333333,NA,0,1,0,0,0,0
"10153 _ 1 _ 2023 _ 5","10153 _ 1 _ 2023","WY","CL",10153,5,"BS",2023,"5/4/2023",2023-05-04,45.118,122.34437,"R",2707,44.2,96.9,0,2,1,1,21.03333333,NA,0,0,0,0,0,0
"10153 _ 1 _ 2023 _ 6","10153 _ 1 _ 2023","WY","CL",10153,6,"BS",2023,"5/4/2023",2023-05-04,45.118024,122.344716,"R",2705,50.3,87,0,2,2,3,29.4,NA,0,0,0,0,0,0
"10153 _ 1 _ 2023 _ 7","10153 _ 1 _ 2023","WY","CL",10153,7,"BS",2023,"5/4/2023",2023-05-04,45.118355,122.334962,"R",2692,44.4,96.2,0,3,1,3,31.6,NA,0,0,0,0,0,0
"10153 _ 1 _ 2024 _ 1","10153 _ 1 _ 2024","WY","CL",10153,1,"BS",2024,"5/8/2024",2024-05-08,45.116638,122.342062,"C",2588,46.8,96,0,3,2,3,25.9,"JW",0,0,2,0,0,0
"10153 _ 1 _ 2024 _ 2","10153 _ 1 _ 2024","WY","CL",10153,2,"BS",2024,"5/8/2024",2024-05-08,45.117297,122.342098,"PC",2588,46.8,96,0,3,2,2,24.4,"JW",0,0,0,0,0,0
"10153 _ 1 _ 2024 _ 3","10153 _ 1 _ 2024","WY","CL",10153,3,"BS",2024,"5/8/2024",2024-05-08,45.116901,122.341589,"PC",2588,46.8,96,0,4,2,3,24.13,"SLG",0,0,0,0,0,0
"10153 _ 1 _ 2024 _ 4","10153 _ 1 _ 2024","WY","CL",10153,4,"BS",2024,"5/8/2024",2024-05-08,45.116519,122.341404,"C",2588,46.8,96,0,4,3,3,27.1,"SLG",0,0,2,0,0,0
"10153 _ 1 _ 2024 _ 5","10153 _ 1 _ 2024","WY","CL",10153,5,"BS",2024,"5/8/2024",2024-05-08,45.11613,122.341896,"C",2588,46.8,96,0,4,3,4,27.83,"RMM",0,0,1,0,0,0
"10153 _ 1 _ 2024 _ 6","10153 _ 1 _ 2024","WY","CL",10153,6,"BS",2024,"5/8/2024",2024-05-08,45.116366,122.34237,"C",2588,46.8,96,0,4,2,4,25.73,"RMM",0,0,2,0,0,0
"10153 _ 1 _ 2024 _ 7","10153 _ 1 _ 2024","WY","CL",10153,7,"BS",2024,"5/8/2024",2024-05-08,45.116965,122.342528,"PC",2588,46.8,96,0,4,2,4,24.67,"RMM",0,0,1,0,0,0
"10185 _ 1 _ 2023 _ 1","10185 _ 1 _ 2023","WY","CL",10185,1,"BS",2023,"4/10/2023",2023-04-10,45.08915,122.34858,"R",2139,44.1,82.1,0,2,2,2,36.2,NA,0,0,0,0,0,0
"10185 _ 1 _ 2023 _ 2","10185 _ 1 _ 2023","WY","CL",10185,2,"BS",2023,"4/10/2023",2023-04-10,45.08883,122.34875,"R",2176,44,100,0,4,1,1,32.4,NA,0,0,0,0,0,0
"10185 _ 1 _ 2023 _ 3","10185 _ 1 _ 2023","WY","CL",10185,3,"BS",2023,"4/10/2023",2023-04-10,45.08908,122.34908,"R",2105,44.1,95.2,0,3,2,2,44.4,NA,0,0,0,0,0,0
"10185 _ 1 _ 2023 _ 4","10185 _ 1 _ 2023","WY","CL",10185,4,"BS",2023,"4/10/2023",2023-04-10,45.089363,122.348834,"R",2120,46.6,89.1,0,2,2,3,27.36666667,NA,0,1,0,0,0,0
"10185 _ 1 _ 2023 _ 5","10185 _ 1 _ 2023","WY","CL",10185,5,"BS",2023,"4/10/2023",2023-04-10,45.08947,122.34829,"R",2143,48.9,79.2,0,2,1,2,25.06666667,NA,0,0,3,0,0,0
"10185 _ 1 _ 2023 _ 6","10185 _ 1 _ 2023","WY","CL",10185,6,"BS",2023,"4/10/2023",2023-04-10,45.09081,122.34813,"R",2147,44.2,92.7,0,3,1,2,32.2,NA,0,0,0,0,0,0
"10185 _ 1 _ 2023 _ 7","10185 _ 1 _ 2023","WY","CL",10185,7,"BS",2023,"4/10/2023",2023-04-10,45.088838,122.348303,"R",2135,45.5,99.1,0,3,1,2,35.2,NA,0,0,0,0,0,0
"10185 _ 1 _ 2024 _ 1","10185 _ 1 _ 2024","WY","CL",10185,1,"BS",2024,"5/21/2024",2024-05-21,45.087933,122.345356,"C",2131,56.9,69.2,0,2,1,1,7.77,"JW",0,0,0,0,0,0
"10185 _ 1 _ 2024 _ 2","10185 _ 1 _ 2024","WY","CL",10185,2,"BS",2024,"5/21/2024",2024-05-21,45.087838,122.344996,"C",2131,56.9,69.2,0,3,2,2,11.53,"JW",0,0,0,0,0,0
"10185 _ 1 _ 2024 _ 3","10185 _ 1 _ 2024","WY","CL",10185,3,"BS",2024,"5/21/2024",2024-05-21,45.087722,122.345345,"C",2131,56.9,69.2,0,4,3,1,12.37,"SLG",0,0,0,0,0,0
"10185 _ 1 _ 2024 _ 4","10185 _ 1 _ 2024","WY","CL",10185,4,"BS",2024,"5/21/2024",2024-05-21,45.087934,122.345688,"C",2131,56.9,69.2,0,3,3,1,7.5,"SLG",0,0,0,0,0,0
"10185 _ 1 _ 2024 _ 5","10185 _ 1 _ 2024","WY","CL",10185,5,"BS",2024,"5/21/2024",2024-05-21,45.08819,122.345879,"R",2131,56.9,69.2,0,4,2,3,5.57,"RMM",0,0,0,0,0,0
"10185 _ 1 _ 2024 _ 6","10185 _ 1 _ 2024","WY","CL",10185,6,"BS",2024,"5/21/2024",2024-05-21,45.08818,122.345488,"C",2131,56.9,69.2,0,4,3,2,11.73,"RMM",0,0,0,0,0,0
"10185 _ 1 _ 2024 _ 7","10185 _ 1 _ 2024","WY","CL",10185,7,"BS",2024,"5/21/2024",2024-05-21,45.088111,122.344954,"C",2131,56.9,69.2,0,4,2,4,20.33,"RMM",0,0,0,0,0,0
"10258 _ 1 _ 2023 _ 1","10258 _ 1 _ 2023","WY","CL",10258,1,"BS",2023,"3/20/2023",2023-03-20,45.00723,122.50957,"C",1894,45.5,100,0,1,1,3,30.8,NA,0,0,0,0,0,0
"10258 _ 1 _ 2023 _ 2","10258 _ 1 _ 2023","WY","CL",10258,2,"BS",2023,"3/20/2023",2023-03-20,45.00746,122.5099,"C",1898,43.8,89.2,0,1,2,3,27.43333333,NA,0,0,0,0,0,0
"10258 _ 1 _ 2023 _ 3","10258 _ 1 _ 2023","WY","CL",10258,3,"BS",2023,"3/20/2023",2023-03-20,45.007509,122.509542,"C",1901,45.1,91.7,0,1,1,3,11.36666667,NA,0,0,0,0,0,0
"10258 _ 1 _ 2023 _ 4","10258 _ 1 _ 2023","WY","CL",10258,4,"BS",2023,"3/20/2023",2023-03-20,45.00738,122.50916,"C",1880,42.4,99.5,0,1,2,2,15.63333333,NA,0,0,0,0,0,0
"10258 _ 1 _ 2023 _ 5","10258 _ 1 _ 2023","WY","CL",10258,5,"BS",2023,"3/20/2023",2023-03-20,45.007175,122.509086,"C",1877,44.9,85.6,0,2,1,4,18.16666667,NA,0,0,0,0,0,0
"10258 _ 1 _ 2023 _ 6","10258 _ 1 _ 2023","WY","CL",10258,6,"BS",2023,"3/20/2023",2023-03-20,45.00692,122.50942,"R",1853,43.7,85.3,0,1,1,1,7.533333333,NA,0,0,0,0,0,0
"10258 _ 1 _ 2023 _ 7","10258 _ 1 _ 2023","WY","CL",10258,7,"BS",2023,"3/20/2023",2023-03-20,45.007015,122.509886,"C",1901,42.9,91.7,0,4,1,2,23.96666667,NA,0,0,0,0,0,0
"10302 _ 1 _ 2023 _ 1","10302 _ 1 _ 2023","BLM","CL",10302,1,"UU",2023,"5/1/2023",2023-05-01,45.148262,122.327983,"C",2571,43.2,81.7,4,1,1,2,20.76666667,NA,0,0,0,0,0,0
"10302 _ 1 _ 2023 _ 2","10302 _ 1 _ 2023","BLM","CL",10302,2,"UU",2023,"5/1/2023",2023-05-01,45.148469,122.327512,"C",2584,42.8,84,4,2,1,1,15.6,NA,0,0,0,0,0,0
"10302 _ 1 _ 2023 _ 3","10302 _ 1 _ 2023","BLM","CL",10302,3,"UU",2023,"5/1/2023",2023-05-01,45.14794,122.32777,"C",2595,42.3,85.9,3,2,1,4,13.9,NA,0,0,0,0,0,0
"10302 _ 1 _ 2023 _ 4","10302 _ 1 _ 2023","BLM","CL",10302,4,"UU",2023,"5/1/2023",2023-05-01,45.14809,122.32824,"C",2618,40.7,88.9,4,1,1,4,14,NA,0,0,1,0,0,0
"10302 _ 1 _ 2023 _ 5","10302 _ 1 _ 2023","BLM","CL",10302,5,"UU",2023,"5/1/2023",2023-05-01,45.14826,122.32848,"C",2650,43.1,85.6,4,1,2,4,18.1,NA,0,0,0,0,0,0
"10302 _ 1 _ 2023 _ 6","10302 _ 1 _ 2023","BLM","CL",10302,6,"UU",2023,"5/1/2023",2023-05-01,45.14867,122.328,"C",2595,45.6,83.4,4,1,1,3,15,NA,0,1,4,0,0,0
"10302 _ 1 _ 2023 _ 7","10302 _ 1 _ 2023","BLM","CL",10302,7,"UU",2023,"5/1/2023",2023-05-01,45.14862,122.32759,"R",2638,41.5,90.2,4,1,2,2,14.53333333,NA,0,2,1,0,0,0
"10302 _ 1 _ 2024 _ 1","10302 _ 1 _ 2024","BLM","CL",10302,1,"UU",2024,"4/24/2024",2024-04-24,45.151407,122.324939,"SU",2502,51.2,73.3,4,1,2,4,14.53,"SLG",0,0,0,0,0,0
"10302 _ 1 _ 2024 _ 2","10302 _ 1 _ 2024","BLM","CL",10302,2,"UU",2024,"4/24/2024",2024-04-24,45.15123,122.324163,"SU",2502,51.2,73.3,4,1,1,4,14.33,"SLG",0,0,1,0,0,0
"10302 _ 1 _ 2024 _ 3","10302 _ 1 _ 2024","BLM","CL",10302,3,"UU",2024,"4/24/2024",2024-04-24,45.15003,122.324668,"SU",2502,51.2,73.3,4,1,2,3,13.53,"JW",0,0,0,0,0,0
"10302 _ 1 _ 2024 _ 4","10302 _ 1 _ 2024","BLM","CL",10302,4,"UU",2024,"4/24/2024",2024-04-24,45.151,122.325084,"SU",2502,51.2,73.3,4,1,3,3,13.9,"JW",0,0,1,0,0,0
"10302 _ 1 _ 2024 _ 5","10302 _ 1 _ 2024","BLM","CL",10302,5,"UU",2024,"4/24/2024",2024-04-24,45.15153,122.325381,"SU",2502,51.2,73.3,3,1,3,3,16.63,"JW",0,0,0,0,0,0
"10302 _ 1 _ 2024 _ 6","10302 _ 1 _ 2024","BLM","CL",10302,6,"UU",2024,"4/24/2024",2024-04-24,45.15175,122.324753,"SU",2502,51.2,73.3,4,1,3,4,12.87,"RMM",0,1,3,0,0,0
"10302 _ 1 _ 2024 _ 7","10302 _ 1 _ 2024","BLM","CL",10302,7,"UU",2024,"4/24/2024",2024-04-24,45.151571,122.324564,"SU",2502,51.2,73.3,4,1,2,4,10.87,"RMM",0,0,3,0,0,0
"10399 _ 1 _ 2023 _ 1","10399 _ 1 _ 2023","WY","CL",10399,1,"HU",2023,"5/9/2023",2023-05-09,45.007055,122.401084,"PC",2866,47.3,86.8,0,3,2,4,25.73333333,NA,0,0,0,0,0,0
"10399 _ 1 _ 2023 _ 2","10399 _ 1 _ 2023","WY","CL",10399,2,"HU",2023,"5/9/2023",2023-05-09,45.006825,122.401007,"PC",2888,52.4,91.1,0,3,2,3,22.86666667,NA,0,0,0,0,0,0
"10399 _ 1 _ 2023 _ 3","10399 _ 1 _ 2023","WY","CL",10399,3,"HU",2023,"5/9/2023",2023-05-09,45.00683,122.40134,"PC",2880,52.2,95,0,4,2,4,25,NA,0,0,0,0,0,0
"10399 _ 1 _ 2023 _ 4","10399 _ 1 _ 2023","WY","CL",10399,4,"HU",2023,"5/9/2023",2023-05-09,45.00716,122.4015,"PC",2860,51.1,81.1,0,4,2,4,25.3,NA,0,0,0,0,0,0
"10399 _ 1 _ 2023 _ 5","10399 _ 1 _ 2023","WY","CL",10399,5,"HU",2023,"5/9/2023",2023-05-09,45.00739,122.40111,"PC",2830,51.8,93,0,3,1,3,21.63333333,NA,0,0,0,0,0,0
"10399 _ 1 _ 2023 _ 6","10399 _ 1 _ 2023","WY","CL",10399,6,"HU",2023,"5/9/2023",2023-05-09,45.00725,122.40076,"PC",2841,50.4,83,0,4,2,3,25.93333333,NA,0,0,0,0,0,0
"10399 _ 1 _ 2023 _ 7","10399 _ 1 _ 2023","WY","CL",10399,7,"HU",2023,"5/9/2023",2023-05-09,45.007,122.40067,"PC",2880,49.5,90.7,0,3,1,3,26.26666667,NA,0,0,0,0,0,0
"10399 _ 1 _ 2024 _ 1","10399 _ 1 _ 2024","WY","CL",10399,1,"HU",2024,"5/7/2024",2024-05-07,45.006865,122.397391,"C",2828,40.7,94,0,4,2,1,40.87,"RMM",0,0,0,0,0,0
"10399 _ 1 _ 2024 _ 2","10399 _ 1 _ 2024","WY","CL",10399,2,"HU",2024,"5/7/2024",2024-05-07,45.006659,122.397423,"SN",2828,40.7,94,0,2,2,1,43.3,"RMM",0,0,0,0,0,0
"10399 _ 1 _ 2024 _ 3","10399 _ 1 _ 2024","WY","CL",10399,3,"HU",2024,"5/7/2024",2024-05-07,45.006813,122.397599,"PC",2828,40.7,94,1,2,3,2,35.43,"SLG",0,0,0,0,0,0
"10399 _ 1 _ 2024 _ 4","10399 _ 1 _ 2024","WY","CL",10399,4,"HU",2024,"5/7/2024",2024-05-07,45.00705,122.397743,"SN",2828,40.7,94,0,2,3,3,32.37,"SLG",0,0,0,0,0,0
"10399 _ 1 _ 2024 _ 5","10399 _ 1 _ 2024","WY","CL",10399,5,"HU",2024,"5/7/2024",2024-05-07,45.007202,122.397364,"PC",2828,40.7,94,0,1,3,4,34.23,"SLG",0,0,0,0,0,0
"10399 _ 1 _ 2024 _ 6","10399 _ 1 _ 2024","WY","CL",10399,6,"HU",2024,"5/7/2024",2024-05-07,45.007008,122.397008,"SN",2828,40.7,94,0,2,1,3,34.47,"JW",0,0,1,0,0,0
"10399 _ 1 _ 2024 _ 7","10399 _ 1 _ 2024","WY","CL",10399,7,"HU",2024,"5/7/2024",2024-05-07,45.006756,122.396965,"PC",2828,40.7,94,0,2,1,3,36.47,"JW",0,0,2,0,0,0
"10403 _ 1 _ 2023 _ 1","10403 _ 1 _ 2023","WY","CL",10403,1,"BS",2023,"3/22/2023",2023-03-22,45.04679,122.41316,"S",2073,55.4,54,0,2,1,2,26.8,NA,0,0,0,0,0,0
"10403 _ 1 _ 2023 _ 2","10403 _ 1 _ 2023","WY","CL",10403,2,"BS",2023,"3/22/2023",2023-03-22,45.04707,122.41298,"PC",2106,55.8,54.5,0,2,1,1,17.2,NA,0,0,0,0,0,0
"10403 _ 1 _ 2023 _ 3","10403 _ 1 _ 2023","WY","CL",10403,3,"BS",2023,"3/22/2023",2023-03-22,45.04689,122.41275,"PC",2096,55.4,66.7,0,2,1,1,15.46666667,NA,0,0,0,0,0,0
"10403 _ 1 _ 2023 _ 4","10403 _ 1 _ 2023","WY","CL",10403,4,"BS",2023,"3/22/2023",2023-03-22,45.04662,122.41285,"S",2098,62.9,58.2,0,1,1,2,25.56666667,NA,0,0,0,0,0,0
"10403 _ 1 _ 2023 _ 5","10403 _ 1 _ 2023","WY","CL",10403,5,"BS",2023,"3/22/2023",2023-03-22,45.04656,122.914338,"S",2077,59.2,52.1,0,1,1,1,17.86666667,NA,0,0,0,0,0,0
"10403 _ 1 _ 2023 _ 6","10403 _ 1 _ 2023","WY","CL",10403,6,"BS",2023,"3/22/2023",2023-03-22,45.04686,122.41355,"PC",2067,60.1,43.1,0,3,1,1,24.46666667,NA,0,0,0,0,0,0
"10403 _ 1 _ 2023 _ 7","10403 _ 1 _ 2023","WY","CL",10403,7,"BS",2023,"3/22/2023",2023-03-22,45.047102,122.413356,"S",2110,63.5,47,0,1,1,2,15.7,NA,0,0,1,0,0,0
"10403 _ 1 _ 2024 _ 1","10403 _ 1 _ 2024","WY","CL",10403,1,"BS",2024,"5/15/2024",2024-05-15,45.047758,122.413473,"SU",2141,64.5,59,0,1,1,1,7.8,"JW",0,0,0,0,0,0
"10403 _ 1 _ 2024 _ 2","10403 _ 1 _ 2024","WY","CL",10403,2,"BS",2024,"5/15/2024",2024-05-15,45.04804,122.41287,"SU",2141,64.5,59,0,1,1,2,10.2,"LS",0,0,0,0,0,0
"10403 _ 1 _ 2024 _ 3","10403 _ 1 _ 2024","WY","CL",10403,3,"BS",2024,"5/15/2024",2024-05-15,45.047612,122.412831,"PC",2141,64.5,59,0,3,2,1,10,"SLG",0,0,0,0,0,0
"10403 _ 1 _ 2024 _ 4","10403 _ 1 _ 2024","WY","CL",10403,4,"BS",2024,"5/15/2024",2024-05-15,45.047351,122.413208,"PC",2141,64.5,59,0,4,2,1,11.17,"SLG",0,0,0,0,0,0
"10403 _ 1 _ 2024 _ 5","10403 _ 1 _ 2024","WY","CL",10403,5,"BS",2024,"5/15/2024",2024-05-15,45.047702,122.413938,"SU",2141,64.5,59,0,2,1,3,10.73,"RMM",0,0,0,0,0,0
"10403 _ 1 _ 2024 _ 6","10403 _ 1 _ 2024","WY","CL",10403,6,"BS",2024,"5/15/2024",2024-05-15,45.048066,122.413836,"SU",2141,64.5,59,0,1,1,3,23.7,"RMM",0,0,0,0,0,0
"10403 _ 1 _ 2024 _ 7","10403 _ 1 _ 2024","WY","CL",10403,7,"BS",2024,"5/15/2024",2024-05-15,45.048079,122.413608,"SU",2141,64.5,59,0,3,3,4,8.27,"RMM",0,0,0,0,0,0
"10422 _ 1 _ 2023 _ 1","10422 _ 1 _ 2023","WY","CL",10422,1,"BS",2023,"3/30/2023",2023-03-30,45.07703,122.41845,"C",1489,45.1,66.5,0,1,2,4,27.86666667,NA,0,0,0,0,0,0
"10422 _ 1 _ 2023 _ 2","10422 _ 1 _ 2023","WY","CL",10422,2,"BS",2023,"3/30/2023",2023-03-30,45.07673,122.41828,"C",1511,49,68.6,0,1,2,3,31.43333333,NA,0,0,0,0,0,0
"10422 _ 1 _ 2023 _ 3","10422 _ 1 _ 2023","WY","CL",10422,3,"BS",2023,"3/30/2023",2023-03-30,45.07678,122.41866,"C",1490,48.8,67.3,0,1,1,4,26.73333333,NA,0,0,0,0,0,0
"10422 _ 1 _ 2023 _ 4","10422 _ 1 _ 2023","WY","CL",10422,4,"BS",2023,"3/30/2023",2023-03-30,45.07701,122.41889,"C",1480,47.5,64.5,0,1,2,4,21.66666667,NA,0,0,0,0,0,0
"10422 _ 1 _ 2023 _ 5","10422 _ 1 _ 2023","WY","CL",10422,5,"BS",2023,"3/30/2023",2023-03-30,45.07724,122.41867,"C",1484,50.5,70.9,0,1,2,4,29.4,NA,0,0,0,0,0,0
"10422 _ 1 _ 2023 _ 6","10422 _ 1 _ 2023","WY","CL",10422,6,"BS",2023,"3/30/2023",2023-03-30,45.07729,122.41823,"C",1491,48,79,0,2,1,2,19.96666667,NA,0,0,0,0,0,0
"10422 _ 1 _ 2023 _ 7","10422 _ 1 _ 2023","WY","CL",10422,7,"BS",2023,"3/30/2023",2023-03-30,45.07708,122.41798,"C",1499,47.4,69.4,0,1,1,3,27.06666667,NA,0,0,0,0,0,0
"10422 _ 1 _ 2024 _ 1","10422 _ 1 _ 2024","WY","CL",10422,1,"BS",2024,"4/9/2024",2024-04-09,45.076974,122.420849,"C",1445,62.1,67.2,0,3,3,3,27,"RMM",0,0,0,0,0,0
"10422 _ 1 _ 2024 _ 2","10422 _ 1 _ 2024","WY","CL",10422,2,"BS",2024,"4/9/2024",2024-04-09,45.076738,122.420537,"PC",1445,62.1,67.2,0,2,3,3,28.57,"RMM",0,0,0,0,0,0
"10422 _ 1 _ 2024 _ 3","10422 _ 1 _ 2024","WY","CL",10422,3,"BS",2024,"4/9/2024",2024-04-09,45.076631,122.420979,"PC",1445,62.1,67.2,0,3,2,4,34.43,"SLG",0,0,0,0,0,0
