X,Y,UTMX,UTMY,Owner,Tree_Farm,Stand__,Pass,OSS,ENES
-122.410915336338,45.0790438014051,546365.000000,4991900.000000,WY,CL,10467.000000,3.000000,Y,
-122.410256173515,45.0788963705855,546417.000000,4991884.000000,WY,CL,10467.000000,4.000000,Y,
-122.40960842096,45.0788750201849,546468.000000,4991882.000000,WY,CL,10467.000000,5.000000,Y,
-122.409214483739,45.0788819848039,546499.000000,4991883.000000,WY,CL,10467.000000,6.000000,Y,
-122.408858196334,45.0789341519662,546527.000000,4991889.000000,WY,CL,10467.000000,7.000000,Y,
-122.390528984332,45.0653530890545,547981.000000,4990391.000000,WY,CL,10482.000000,1.000000,Y,
-122.390240292092,45.0650274823508,548004.000000,4990355.000000,WY,CL,10482.000000,2.000000,,
-122.389786867001,45.0646649875157,548040.000000,4990315.000000,WY,CL,10482.000000,3.000000,,
-122.389420920025,45.0644379859678,548069.000000,4990290.000000,WY,CL,10482.000000,4.000000,,
-122.389094709855,45.0640581647678,548095.000000,4990248.000000,WY,CL,10482.000000,5.000000,,
-122.388563269043,45.0638662823618,548137.000000,4990227.000000,WY,CL,10482.000000,6.000000,,
-122.387943403357,45.0636289144771,548186.000000,4990201.000000,WY,CL,10482.000000,7.000000,,
-122.402992275599,45.0480453755624,547014.000000,4988461.000000,WY,CL,10488.000000,1.000000,Y,
-122.402797967909,45.0484134355194,547029.000000,4988502.000000,WY,CL,10488.000000,2.000000,Y,
-122.403237995197,45.0488388226575,546994.000000,4988549.000000,WY,CL,10488.000000,3.000000,Y,
-122.403642553831,45.0490119710786,546962.000000,4988568.000000,WY,CL,10488.000000,4.000000,Y,
-122.404121247136,45.0493835455785,546924.000000,4988609.000000,WY,CL,10488.000000,5.000000,,
-122.404322268049,45.0495916367904,546908.000000,4988632.000000,WY,CL,10488.000000,6.000000,Y,Y
-122.405098815702,45.0494066457487,546847.000000,4988611.000000,WY,CL,10488.000000,7.000000,Y,
-122.376972969067,45.0492206633195,549062.000000,4988607.000000,WY,CL,10498.000000,1.000000,Y,
-122.377513906676,45.0496917092287,549019.000000,4988659.000000,WY,CL,10498.000000,2.000000,,
-122.377914684749,45.0502069983864,548987.000000,4988716.000000,WY,CL,10498.000000,3.000000,,
-122.378064722291,45.0504238599108,548975.000000,4988740.000000,WY,CL,10498.000000,4.000000,Y,
-122.377909220294,45.0507110720689,548987.000000,4988772.000000,WY,CL,10498.000000,5.000000,Y,
-122.377185900885,45.0518323604416,549043.000000,4988897.000000,WY,CL,10498.000000,6.000000,,
-122.37792222436,45.0518543773474,548985.000000,4988899.000000,WY,CL,10498.000000,7.000000,,
-122.423021207882,45.0843266469191,545408.000000,4992480.000000,WY,CL,10506.000000,1.000000,Y,
-122.42254074158,45.0840901718628,545446.000000,4992454.000000,WY,CL,10506.000000,2.000000,Y,
-122.422124806467,45.0837550015764,545479.000000,4992417.000000,WY,CL,10506.000000,3.000000,Y,
-122.421747628957,45.0833570134338,545509.000000,4992373.000000,WY,CL,10506.000000,4.000000,Y,
-122.421384434351,45.0828330697125,545538.000000,4992315.000000,WY,CL,10506.000000,5.000000,Y,
-122.42093846655,45.0829568345003,545573.000000,4992329.000000,WY,CL,10506.000000,6.000000,Y,
-122.420701699823,45.0824965421205,545592.000000,4992278.000000,WY,CL,10506.000000,7.000000,Y,
-122.369612534164,45.0476229516011,549643.000000,4988434.000000,WY,CL,10553.000000,1.000000,Y,
-122.369229329368,45.0478278782955,549673.000000,4988457.000000,WY,CL,10553.000000,2.000000,,
-122.368617760678,45.0480135376897,549721.000000,4988478.000000,WY,CL,10553.000000,3.000000,Y,
-122.368247842044,45.0481645234246,549750.000000,4988495.000000,WY,CL,10553.000000,4.000000,,
-122.367826832829,45.0483422307073,549783.000000,4988515.000000,WY,CL,10553.000000,5.000000,Y,
-122.367276262355,45.048753266795,549826.000000,4988561.000000,WY,CL,10553.000000,6.000000,Y,
-122.366741759086,45.048858326408,549868.000000,4988573.000000,WY,CL,10553.000000,7.000000,,
-122.341499807745,45.0862081526213,551822.000000,4992738.000000,WY,CL,10597.000000,1.000000,Y,
-122.342263208098,45.0861225339462,551762.000000,4992728.000000,WY,CL,10597.000000,2.000000,Y,
-122.344018196284,45.0859976011732,551624.000000,4992713.000000,WY,CL,10597.000000,3.000000,,
-122.344599999819,45.0862349881403,551578.000000,4992739.000000,WY,CL,10597.000000,4.000000,Y,
-122.345070538282,45.0862016803711,551541.000000,4992735.000000,WY,CL,10597.000000,5.000000,,
-122.345375588198,45.0861944275615,551517.000000,4992734.000000,WY,CL,10597.000000,6.000000,Y,
-122.345894895814,45.0863414317618,551476.000000,4992750.000000,WY,CL,10597.000000,7.000000,,
-122.298687428673,44.9960066634389,555278.000000,4982746.000000,WY,CL,10711.000000,1.000000,Y,Y
-122.298347321805,44.9958065318098,555305.000000,4982724.000000,WY,CL,10711.000000,2.000000,,
-122.298004579636,44.9958224293458,555332.000000,4982726.000000,WY,CL,10711.000000,3.000000,,
-122.297520201468,44.9960084914154,555370.000000,4982747.000000,WY,CL,10711.000000,4.000000,,
-122.297010227868,44.9962123977324,555410.000000,4982770.000000,WY,CL,10711.000000,5.000000,Y,
-122.296016964862,44.9965123448317,555488.000000,4982804.000000,WY,CL,10711.000000,6.000000,,
-122.295523969238,44.9963652738272,555527.000000,4982788.000000,WY,CL,10711.000000,7.000000,,
-122.412831143971,45.0594567099482,546230.000000,4989723.000000,WY,CL,10963.000000,1.000000,,
-122.41233444655,45.0595891826366,546269.000000,4989738.000000,WY,CL,10963.000000,2.000000,,
-122.411634355446,45.0597386091452,546324.000000,4989755.000000,WY,CL,10963.000000,3.000000,Y,
-122.412235517914,45.0593276203676,546277.000000,4989709.000000,WY,CL,10963.000000,4.000000,Y,
-122.412585873692,45.0598425274628,546249.000000,4989766.000000,WY,CL,10963.000000,5.000000,Y,
-122.413180032638,45.0601156369823,546202.000000,4989796.000000,WY,CL,10963.000000,6.000000,,
-122.413123889486,45.0606374547265,546206.000000,4989854.000000,WY,CL,10963.000000,7.000000,,
-122.376090519195,45.0357760691509,549143.000000,4987114.000000,WY,CL,10965.000000,1.000000,Y,
-122.37676306334,45.0358067470069,549090.000000,4987117.000000,WY,CL,10965.000000,2.000000,,
-122.377475352591,45.0356846057664,549034.000000,4987103.000000,WY,CL,10965.000000,3.000000,,
-122.378075528931,45.0353638084351,548987.000000,4987067.000000,WY,CL,10965.000000,4.000000,,
-122.378710958575,45.035304253988,548937.000000,4987060.000000,WY,CL,10965.000000,5.000000,,
-122.380035606733,45.0349063684832,548833.000000,4987015.000000,WY,CL,10965.000000,6.000000,,
-122.380430701489,45.0347644826742,548802.000000,4986999.000000,WY,CL,10965.000000,7.000000,,
-122.41352212796,45.0204281792337,546207.000000,4985387.000000,WY,CL,10968.000000,1.000000,,
-122.413944169414,45.0201152794946,546174.000000,4985352.000000,WY,CL,10968.000000,2.000000,,
-122.414628969271,45.0201728029989,546120.000000,4985358.000000,WY,CL,10968.000000,3.000000,,
-122.158776426822,45.019321908467,566279.000000,4985441.000000,WY,CL,10968.000000,4.000000,Y,
-122.412295156941,45.0212590477702,546303.000000,4985480.000000,WY,CL,10968.000000,5.000000,Y,
-122.414628969271,45.0201728029989,546120.000000,4985358.000000,WY,CL,10968.000000,6.000000,,
-122.438132332614,42.3210240305664,546298.000000,4685573.000000,WY,CL,10968.000000,7.000000,,
-122.51553059593,45.0144521111639,538174.000000,4984670.000000,WY,CL,11079.000000,1.000000,,Y
-122.515085512329,45.0145582450378,538209.000000,4984682.000000,WY,CL,11079.000000,2.000000,,
-122.514593086444,45.0142590902909,538248.000000,4984649.000000,WY,CL,11079.000000,3.000000,Y,Y
-122.514236456385,45.0144106063027,538276.000000,4984666.000000,WY,CL,11079.000000,4.000000,,
-122.513667283396,45.0141831363238,538321.000000,4984641.000000,WY,CL,11079.000000,5.000000,,
-122.513480049872,45.0138132607582,538336.000000,4984600.000000,WY,CL,11079.000000,6.000000,,
-122.604958539136,44.5370814847011,531385.000000,4931604.000000,WY,SP,20031.000000,1.000000,Y,
-122.604997820627,44.5368565541554,531382.000000,4931579.000000,WY,SP,20031.000000,2.000000,,Y
-122.604900354199,44.5363790762219,531390.000000,4931526.000000,WY,SP,20031.000000,3.000000,,
-122.605029566228,44.5358843769676,531380.000000,4931471.000000,WY,SP,20031.000000,4.000000,,Y
-122.604871848232,44.535010573557,531393.000000,4931374.000000,WY,SP,20031.000000,5.000000,Y,
-122.605099555945,44.534840310567,531375.000000,4931355.000000,WY,SP,20031.000000,6.000000,,
-122.605040154381,44.5343179508879,531380.000000,4931297.000000,WY,SP,20031.000000,7.000000,,
-122.547283069063,44.5633351791325,535951.000000,4934544.000000,WY,SP,20088.000000,1.000000,,
-122.547623268275,44.5633095192799,535924.000000,4934541.000000,WY,SP,20088.000000,2.000000,,
-122.548204461052,44.5630597466376,535878.000000,4934513.000000,WY,SP,20088.000000,3.000000,Y,
-122.548709609048,44.5628726888727,535838.000000,4934492.000000,WY,SP,20088.000000,4.000000,Y,
-122.549225816536,44.5628837300354,535797.000000,4934493.000000,WY,SP,20088.000000,5.000000,,
-122.548422231392,44.5609539958143,535862.000000,4934279.000000,WY,SP,20088.000000,6.000000,,
-122.550097240365,44.5625540693308,535728.000000,4934456.000000,WY,SP,20088.000000,7.000000,,
-122.542043286563,44.5683107375766,536364.000000,4935099.000000,WY,SP,20090.000000,1.000000,,
-122.541853044642,44.5684810241041,536379.000000,4935118.000000,WY,SP,20090.000000,2.000000,,
-122.540253864437,44.5668541287812,536507.000000,4934938.000000,WY,SP,20090.000000,3.000000,,
-122.539773841096,44.567041250252,536545.000000,4934959.000000,WY,SP,20090.000000,4.000000,,
-122.539331664876,44.5672195197528,536580.000000,4934979.000000,WY,SP,20090.000000,5.000000,Y,
-122.540122369133,44.5691582665349,536516.000000,4935194.000000,WY,SP,20090.000000,6.000000,,Y
-122.542752318989,44.5678274376775,536308.000000,4935045.000000,WY,SP,20090.000000,7.000000,,
-122.562351011779,44.6060301319683,534729.000000,4939280.000000,WY,SP,20232.000000,1.000000,Y,
-122.562681013885,44.6057163069063,534703.000000,4939245.000000,WY,SP,20232.000000,2.000000,,
-122.562846655012,44.6054738722598,534690.000000,4939218.000000,WY,SP,20232.000000,3.000000,,
-122.563214657498,44.6051331834253,534661.000000,4939180.000000,WY,SP,20232.000000,4.000000,Y,
-122.563431710987,44.6047559062862,534644.000000,4939138.000000,WY,SP,20232.000000,5.000000,,
-122.563775379085,44.6042980894389,534617.000000,4939087.000000,WY,SP,20232.000000,6.000000,Y,
-122.564016213844,44.6041099555105,534598.000000,4939066.000000,WY,SP,20232.000000,7.000000,,Y
-122.571074242374,44.6090790783315,534035.000000,4939615.000000,WY,SP,20236.000000,1.000000,,
-122.57143533528,44.6096746016213,534006.000000,4939681.000000,WY,SP,20236.000000,2.000000,,
-122.571735871262,44.6099368026519,533982.000000,4939710.000000,WY,SP,20236.000000,3.000000,,
-122.5725788406,44.6101290138569,533915.000000,4939731.000000,WY,SP,20236.000000,4.000000,Y,
-122.572804759375,44.61025589468,533897.000000,4939745.000000,WY,SP,20236.000000,5.000000,,
-122.573357617206,44.6104830247737,533853.000000,4939770.000000,WY,SP,20236.000000,6.000000,,
-122.573482126296,44.610690548235,533843.000000,4939793.000000,WY,SP,20236.000000,7.000000,,
-122.57279380846,44.6083113047011,533899.000000,4939529.000000,WY,SP,20237.000000,1.000000,,
-122.572758246268,44.6080050851944,533902.000000,4939495.000000,WY,SP,20237.000000,2.000000,,
-122.575320501338,44.607456483703,533699.000000,4939433.000000,WY,SP,20237.000000,3.000000,,
-122.57261507696,44.6069062390871,533914.000000,4939373.000000,WY,SP,20237.000000,4.000000,,
-122.5727658351,44.6069698209569,533902.000000,4939380.000000,WY,SP,20237.000000,5.000000,,
-122.572809182554,44.6062137692391,533899.000000,4939296.000000,WY,SP,20237.000000,6.000000,,
-122.573036933171,44.6060885852356,533881.000000,4939282.000000,WY,SP,20237.000000,7.000000,Y,
-122.613437680964,44.592899685427,530682.000000,4937801.000000,WY,SP,20281.000000,1.000000,,Y
-122.613590356792,44.5926751378654,530670.000000,4937776.000000,WY,SP,20281.000000,2.000000,,
-122.613971892214,44.5921362739321,530640.000000,4937716.000000,WY,SP,20281.000000,3.000000,,
-122.614263087874,44.5919211961171,530617.000000,4937692.000000,WY,SP,20281.000000,4.000000,,Y
-122.61426582703,44.5915070871419,530617.000000,4937646.000000,WY,SP,20281.000000,5.000000,Y,
-122.614293584141,44.5911200703416,530615.000000,4937603.000000,WY,SP,20281.000000,6.000000,,
-122.614597371799,44.5909050341595,530591.000000,4937579.000000,WY,SP,20281.000000,7.000000,Y,
-122.600256599716,44.5914319057501,531729.000000,4937643.000000,WY,SP,20283.000000,1.000000,,Y
-122.600291926693,44.591792132193,531726.000000,4937683.000000,WY,SP,20283.000000,2.000000,,
-122.600402104996,44.5922606513439,531717.000000,4937735.000000,WY,SP,20283.000000,3.000000,,
-122.600589418452,44.592504375916,531702.000000,4937762.000000,WY,SP,20283.000000,4.000000,Y,
-122.60011888715,44.5931419117761,531739.000000,4937833.000000,WY,SP,20283.000000,5.000000,Y,
-122.600734314643,44.5934231444747,531690.000000,4937864.000000,WY,SP,20283.000000,6.000000,,Y
-122.600315407293,44.593880810173,531723.000000,4937915.000000,WY,SP,20283.000000,7.000000,,
-122.614682091171,44.6028697249028,530578.000000,4938908.000000,WY,SP,20288.000000,1.000000,,
-122.614620872296,44.6025994417659,530583.000000,4938878.000000,WY,SP,20288.000000,2.000000,Y,
-122.613930391721,44.6022100000098,530638.000000,4938835.000000,WY,SP,20288.000000,3.000000,,
-122.61357894407,44.602001752724,530666.000000,4938812.000000,WY,SP,20288.000000,4.000000,Y,
-122.613140489352,44.6016131585806,530701.000000,4938769.000000,WY,SP,20288.000000,5.000000,Y,
-122.612954050591,44.6012254170572,530716.000000,4938726.000000,WY,SP,20288.000000,6.000000,Y,
-122.612401962652,44.6008724451041,530760.000000,4938687.000000,WY,SP,20288.000000,7.000000,Y,Y
-122.617112467826,44.6050385107359,530384.000000,4939148.000000,WY,SP,20291.000000,1.000000,,Y
-122.617316273723,44.6143028094166,530363.000000,4940177.000000,WY,SP,20291.000000,2.000000,Y,
-122.61734876101,44.6055164377446,530365.000000,4939201.000000,WY,SP,20291.000000,3.000000,Y,
-122.617926952043,44.6057434371601,530319.000000,4939226.000000,WY,SP,20291.000000,4.000000,Y,
-122.618441491648,44.606069249033,530278.000000,4939262.000000,WY,SP,20291.000000,5.000000,,Y
-122.618654304626,44.6062860209458,530261.000000,4939286.000000,WY,SP,20291.000000,6.000000,Y,
-122.618942493698,44.6065390541548,530238.000000,4939314.000000,WY,SP,20291.000000,7.000000,,
-122.682728649415,44.5425725439969,525204.000000,4932187.000000,WY,SP,20360.000000,1.000000,,Y
-122.682931864422,44.5422400103074,525188.000000,4932150.000000,WY,SP,20360.000000,2.000000,,Y
-122.683022373082,44.5417991317005,525181.000000,4932101.000000,WY,SP,20360.000000,3.000000,Y,
-122.683023545418,44.5415830713508,525181.000000,4932077.000000,WY,SP,20360.000000,4.000000,,
-122.683038819596,44.5410879679518,525180.000000,4932022.000000,WY,SP,20360.000000,5.000000,Y,
-122.683141278388,44.5407641567961,525172.000000,4931986.000000,WY,SP,20360.000000,6.000000,,
-122.683472554432,44.5400268578801,525146.000000,4931904.000000,WY,SP,20360.000000,7.000000,Y,Y
-122.686332268352,44.5349032329481,524921.000000,4931334.000000,WY,SP,20361.000000,1.000000,Y,
-122.686847003794,44.5351477172487,524880.000000,4931361.000000,WY,SP,20361.000000,2.000000,,
-122.687109196007,44.5355445528756,524859.000000,4931405.000000,WY,SP,20361.000000,3.000000,Y,
-122.687547843748,44.5358968574362,524824.000000,4931444.000000,WY,SP,20361.000000,4.000000,Y,
-122.687873217498,44.5362488507901,524798.000000,4931483.000000,WY,SP,20361.000000,5.000000,,
-122.688439661915,44.5362413947151,524753.000000,4931482.000000,WY,SP,20361.000000,6.000000,Y,
-122.688665021236,44.5364670757067,524735.000000,4931507.000000,WY,SP,20361.000000,7.000000,,
-122.648750484928,44.6120811554921,527870.000000,4939919.000000,WY,SP,20535.000000,1.000000,,
-122.64821067953,44.6117283950536,527913.000000,4939880.000000,WY,SP,20535.000000,2.000000,Y,Y
-122.647606778176,44.6115554850849,527961.000000,4939861.000000,WY,SP,20535.000000,3.000000,,
-122.647103920487,44.6113468740161,528001.000000,4939838.000000,WY,SP,20535.000000,4.000000,,Y
-122.646412845267,44.6110026400719,528056.000000,4939800.000000,WY,SP,20535.000000,5.000000,Y,Y
-122.64593241245,44.6112532227995,528094.000000,4939828.000000,WY,SP,20535.000000,6.000000,Y,
-122.645252084744,44.6112151015094,528148.000000,4939824.000000,WY,SP,20535.000000,7.000000,,
-122.668734423447,44.61289708004,526284.000000,4940003.000000,WY,SP,20536.000000,1.000000,,Y
-122.630826843186,44.6123937297233,529292.000000,4939960.000000,WY,SP,20536.000000,2.000000,,
-122.63085284746,44.6122677782456,529290.000000,4939946.000000,WY,SP,20536.000000,3.000000,,Y
-122.736000207037,4.46774178436148,529288.000000,493835.000000,WY,SP,20536.000000,4.000000,,
-122.630721688453,44.6110880216408,529301.000000,4939815.000000,WY,SP,20536.000000,5.000000,,
-122.630259159548,44.6104923575405,529338.000000,4939749.000000,WY,SP,20536.000000,6.000000,,
-122.630172712783,44.6102129988764,529345.000000,4939718.000000,WY,SP,20536.000000,7.000000,,
-122.629256122089,44.6195816649026,529413.000000,4940759.000000,WY,SP,20538.000000,1.000000,Y,
-122.629621595352,44.6195918532279,529384.000000,4940760.000000,WY,SP,20538.000000,2.000000,Y,
-122.62859954036,44.6197595821741,529465.000000,4940779.000000,WY,SP,20538.000000,3.000000,,
-122.627957801301,44.6195864454961,529516.000000,4940760.000000,WY,SP,20538.000000,4.000000,Y,
-122.627591177487,44.6197562986209,529545.000000,4940779.000000,WY,SP,20538.000000,5.000000,,
-122.627238711324,44.6196831285683,529573.000000,4940771.000000,WY,SP,20538.000000,6.000000,,
-122.630214692664,44.6194857447584,529337.000000,4940748.000000,WY,SP,20538.000000,7.000000,,
-122.617388956707,44.6281849444136,530350.000000,4941719.000000,WY,SP,20540.000000,1.000000,,
-122.617855982127,44.6280964829016,530313.000000,4941709.000000,WY,SP,20540.000000,2.000000,,
-122.618474871541,44.6279185017603,530264.000000,4941689.000000,WY,SP,20540.000000,3.000000,Y,
-122.619017648594,44.627812283495,530221.000000,4941677.000000,WY,SP,20540.000000,4.000000,Y,
-122.619396836661,44.627660505038,530191.000000,4941660.000000,WY,SP,20540.000000,5.000000,,
-122.619978133146,44.627446380396,530145.000000,4941636.000000,WY,SP,20540.000000,6.000000,,
-122.620609674021,44.6272594272462,530095.000000,4941615.000000,WY,SP,20540.000000,7.000000,Y,
-122.662237801141,44.6247883966577,526794.000000,4941326.000000,WY,SP,20543.000000,1.000000,,
-122.662930383762,44.6249164780448,526739.000000,4941340.000000,WY,SP,20543.000000,2.000000,Y,
-122.663358665393,44.6249717563448,526705.000000,4941346.000000,WY,SP,20543.000000,3.000000,,
-122.663594950413,44.6255306086818,526686.000000,4941408.000000,WY,SP,20543.000000,4.000000,,
-122.66382029667,44.6258013477361,526668.000000,4941438.000000,WY,SP,20543.000000,5.000000,,Y
-122.664158735232,44.6261354365601,526641.000000,4941475.000000,WY,SP,20543.000000,6.000000,,
-122.66464891661,44.6263889473743,526602.000000,4941503.000000,WY,SP,20543.000000,7.000000,Y,
-122.648082043474,44.6309393849291,527914.000000,4942014.000000,WY,SP,20550.000000,1.000000,Y,
-122.64842047549,44.6312645175568,527887.000000,4942050.000000,WY,SP,20550.000000,2.000000,,
-122.648723316314,44.6312204368683,527863.000000,4942045.000000,WY,SP,20550.000000,3.000000,Y,Y
-122.64950365281,44.6314388944919,527801.000000,4942069.000000,WY,SP,20550.000000,4.000000,Y,
-122.649892632578,44.6317461728285,527770.000000,4942103.000000,WY,SP,20550.000000,5.000000,Y,Y
-122.650142774692,44.6320800321302,527750.000000,4942140.000000,WY,SP,20550.000000,6.000000,Y,
-122.650583973857,44.6320903853043,527715.000000,4942141.000000,WY,SP,20550.000000,7.000000,,
-122.652959551249,44.6248416031812,527530.000000,4941335.000000,WY,SP,20560.000000,1.000000,,Y
-122.652266508133,44.6247944825945,527585.000000,4941330.000000,WY,SP,20560.000000,2.000000,Y,
-122.651850951847,44.6247211964522,527618.000000,4941322.000000,WY,SP,20560.000000,3.000000,,
-122.651160067621,44.6243139749699,527673.000000,4941277.000000,WY,SP,20560.000000,4.000000,,
-122.650818314579,44.6245469961156,527700.000000,4941303.000000,WY,SP,20560.000000,5.000000,,
-122.650480069986,44.6241948632284,527727.000000,4941264.000000,WY,SP,20560.000000,6.000000,,
-122.650139342275,44.6242568376188,527754.000000,4941271.000000,WY,SP,20560.000000,7.000000,,
-122.74813228977,4.4694377826318,527942.000000,494022.000000,WY,SP,20565.000000,1.000000,Y,
-122.648444379351,44.6147719720673,527893.000000,4940218.000000,WY,SP,20565.000000,2.000000,,Y
-122.648847256889,44.6148452317441,527861.000000,4940226.000000,WY,SP,20565.000000,3.000000,,
-122.649501989218,44.6149552733247,527809.000000,4940238.000000,WY,SP,20565.000000,4.000000,Y,
-122.649866193225,44.6151724512553,527780.000000,4940262.000000,WY,SP,20565.000000,5.000000,,
-122.650357300482,44.6152459760515,527741.000000,4940270.000000,WY,SP,20565.000000,6.000000,,
-122.650898661613,44.6153466599549,527698.000000,4940281.000000,WY,SP,20565.000000,7.000000,,Y
-122.679415998623,44.6025386242724,525441.000000,4938849.000000,WY,SP,20571.000000,1.000000,Y,
-122.6790782033,44.6020965504352,525468.000000,4938800.000000,WY,SP,20571.000000,2.000000,,
-122.678601209926,44.6017621146009,525506.000000,4938763.000000,WY,SP,20571.000000,3.000000,,
-122.678108688598,44.6019587837601,525545.000000,4938785.000000,WY,SP,20571.000000,4.000000,,
-122.677740479858,44.6024618884675,525574.000000,4938841.000000,WY,SP,20571.000000,5.000000,,
-122.677174637594,44.602244229175,525619.000000,4938817.000000,WY,SP,20571.000000,6.000000,,Y
-122.676292280726,44.6022957470539,525689.000000,4938823.000000,WY,SP,20571.000000,7.000000,,
-122.6324715036,44.6273882398957,529154.000000,4941625.000000,WY,SP,20600.000000,1.000000,Y,
-122.632759402603,44.6277132564975,529131.000000,4941661.000000,WY,SP,20600.000000,2.000000,Y,
-122.633281700905,44.626850693368,529090.000000,4941565.000000,WY,SP,20600.000000,3.000000,Y,
-122.633813080549,44.6265463128271,529048.000000,4941531.000000,WY,SP,20600.000000,4.000000,Y,
-122.633982219846,44.6257096209993,529035.000000,4941438.000000,WY,SP,20600.000000,5.000000,,
-122.634360281799,44.6257288370134,529005.000000,4941440.000000,WY,SP,20600.000000,6.000000,,
-122.634991194227,44.6256318274327,528955.000000,4941429.000000,WY,SP,20600.000000,7.000000,Y,
-122.690301005722,44.6314307747646,524565.000000,4942055.000000,WY,SP,20616.000000,1.000000,,
-122.690465712037,44.6312781786249,524552.000000,4942038.000000,WY,SP,20616.000000,2.000000,,Y
-122.690770911824,44.6307838673662,524528.000000,4941983.000000,WY,SP,20616.000000,3.000000,,
-122.691099696704,44.6305957043871,524502.000000,4941962.000000,WY,SP,20616.000000,4.000000,,Y
-122.691542370909,44.6303268255103,524467.000000,4941932.000000,WY,SP,20616.000000,5.000000,,
-122.691682810287,44.6299941118276,524456.000000,4941895.000000,WY,SP,20616.000000,6.000000,,
-122.692010778421,44.6299589866826,524430.000000,4941891.000000,WY,SP,20616.000000,7.000000,,
-122.708834744185,44.5429121591342,523130.000000,4932217.000000,WY,SP,20666.000000,1.000000,,
-122.709262603356,44.5429402570167,523096.000000,4932220.000000,WY,SP,20666.000000,2.000000,,
-122.709651624867,44.5431843181322,523065.000000,4932247.000000,WY,SP,20666.000000,3.000000,,
-122.710306563563,44.5431139600147,523013.000000,4932239.000000,WY,SP,20666.000000,4.000000,,
-122.710796340334,44.5433492700881,522974.000000,4932265.000000,WY,SP,20666.000000,5.000000,Y,Y
-122.711324286039,44.5435036507015,522932.000000,4932282.000000,WY,SP,20666.000000,6.000000,,
-122.71177688296,44.5436218281603,522896.000000,4932295.000000,WY,SP,20666.000000,7.000000,,
-122.601157074287,44.6733938667274,531613.000000,4946747.000000,WY,SP,20698.000000,1.000000,,
-122.601761599819,44.6735490177829,531565.000000,4946764.000000,WY,SP,20698.000000,2.000000,Y,
-122.602440410109,44.6739114803793,531511.000000,4946804.000000,WY,SP,20698.000000,3.000000,,
-122.602362188745,44.6742803081094,531517.000000,4946845.000000,WY,SP,20698.000000,4.000000,,Y
-122.600652924244,44.6733200854646,531653.000000,4946739.000000,WY,SP,20698.000000,5.000000,Y,
-122.600426329325,44.6732472733814,531671.000000,4946731.000000,WY,SP,20698.000000,6.000000,,
-122.599988172358,44.6727506052801,531706.000000,4946676.000000,WY,SP,20698.000000,7.000000,Y,
